dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001068,22.150000,0.001250,0.050000,1.000000,20.000000,6.283160
0.050000,0.004744,22.150000,0.004926,0.073518,0.470360,-10.592803,6.283073
0.050000,0.010870,22.149999,0.011052,0.122531,0.980270,10.198195,6.282928
0.050000,0.019448,22.149996,0.019630,0.171547,0.980314,0.000891,6.282724
0.050000,0.030476,22.149989,0.030658,0.220566,0.980377,0.001248,6.282464
0.050000,0.043955,22.149977,0.044138,0.269589,0.980457,0.001605,6.282145
0.050000,0.059886,22.149958,0.060068,0.318617,0.980555,0.001963,6.281770
0.050000,0.078269,22.149928,0.078451,0.367650,0.980671,0.002321,6.281338
0.050000,0.099103,22.149884,0.099285,0.416690,0.980805,0.002681,6.280849
0.050000,0.122390,22.149823,0.122572,0.465738,0.980957,0.003041,6.280304
0.050000,0.148130,22.149741,0.148312,0.514795,0.981127,0.003402,6.279704
0.050000,0.176322,22.149634,0.176505,0.563860,0.981315,0.003764,6.279048
0.050000,0.206969,22.149496,0.207152,0.612936,0.981522,0.004127,6.278339
0.050000,0.240070,22.149323,0.240253,0.662024,0.981746,0.004492,6.277575
0.050000,0.275625,22.149109,0.275809,0.711123,0.981989,0.004858,6.276759
0.050000,0.313636,22.148848,0.313821,0.760236,0.982250,0.005225,6.275891
0.050000,0.354103,22.148535,0.354289,0.809362,0.982530,0.005594,6.274971
0.050000,0.397027,22.148161,0.397214,0.858504,0.982828,0.005963,6.274000
0.050000,0.442407,22.147721,0.442597,0.907661,0.983145,0.006335,6.272980
0.050000,0.490246,22.147207,0.490439,0.956835,0.983480,0.006708,6.271912
0.050000,0.540544,22.146612,0.540740,1.006027,0.983835,0.007082,6.270796
0.050000,0.593302,22.145928,0.593502,1.055237,0.984207,0.007458,6.269633
0.050000,0.648519,22.145146,0.648726,1.104467,0.984599,0.007835,6.268426
0.050000,0.706199,22.144258,0.706412,1.153718,0.985010,0.008213,6.267174
0.050000,0.766340,22.143256,0.766561,1.202989,0.985439,0.008593,6.265879
0.050000,0.828944,22.142131,0.829175,1.252284,0.985888,0.008974,6.264543
0.050000,0.894012,22.140873,0.894255,1.301602,0.986356,0.009356,6.263166
0.050000,0.961544,22.139473,0.961803,1.350944,0.986843,0.009739,6.261751
0.050000,1.031543,22.137921,1.031818,1.400311,0.987349,0.010123,6.260299
