dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000991,3.150000,0.001250,0.050000,1.000000,20.000000,6.283093
0.050000,0.004465,3.149999,0.004724,0.069487,0.389731,-12.205381,6.282768
0.050000,0.010256,3.149995,0.010515,0.115820,0.926664,10.738665,6.282228
0.050000,0.018364,3.149984,0.018624,0.162166,0.926930,0.005310,6.281474
0.050000,0.028791,3.149961,0.029050,0.208531,0.927302,0.007441,6.280505
0.050000,0.041537,3.149920,0.041796,0.254920,0.927781,0.009577,6.279324
0.050000,0.056604,3.149851,0.056863,0.301339,0.928367,0.011722,6.277932
0.050000,0.073993,3.149746,0.074253,0.347792,0.929060,0.013874,6.276331
0.050000,0.093707,3.149593,0.093967,0.394285,0.929862,0.016036,6.274525
0.050000,0.115747,3.149380,0.116008,0.440823,0.930773,0.018209,6.272514
0.050000,0.140116,3.149093,0.140379,0.487413,0.931792,0.020389,6.270303
0.050000,0.166816,3.148717,0.167082,0.534059,0.932921,0.022581,6.267895
0.050000,0.195850,3.148235,0.196120,0.580767,0.934160,0.024780,6.265293
0.050000,0.227222,3.147629,0.227497,0.627543,0.935510,0.026987,6.262501
0.050000,0.260933,3.146882,0.261217,0.674391,0.936969,0.029197,6.259524
0.050000,0.296987,3.145972,0.297283,0.721318,0.938540,0.031412,6.256367
0.050000,0.335388,3.144877,0.335699,0.768329,0.940221,0.033625,6.253033
0.050000,0.376139,3.143577,0.376471,0.815430,0.942013,0.035835,6.249529
0.050000,0.419243,3.142046,0.419602,0.862626,0.943915,0.038037,6.245860
0.050000,0.464704,3.140261,0.465098,0.909922,0.945926,0.040225,6.242032
0.050000,0.512526,3.138196,0.512964,0.957324,0.948046,0.042397,6.238051
0.050000,0.562712,3.135826,0.563206,1.004838,0.950273,0.044544,6.233924
0.050000,0.615266,3.133122,0.615830,1.052468,0.952606,0.046663,6.229657
0.050000,0.670191,3.130058,0.670841,1.100220,0.955044,0.048746,6.225259
0.050000,0.727492,3.126604,0.728246,1.148099,0.957583,0.050790,6.220735
0.050000,0.787172,3.122733,0.788051,1.196111,0.960222,0.052785,6.216095
0.050000,0.849235,3.118415,0.850264,1.244259,0.962959,0.054727,6.211345
0.050000,0.913684,3.113619,0.914891,1.292548,0.965789,0.056607,6.206495
