dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001098,3.150000,0.001250,0.050000,1.000000,20.000000,0.000022
0.050000,0.004914,3.150000,0.005066,0.076314,0.526280,-9.474410,0.000100
0.050000,0.011273,3.150001,0.011425,0.127189,1.017495,9.824305,0.000228
0.050000,0.020177,3.150004,0.020328,0.178062,1.017457,-0.000747,0.000408
0.050000,0.031623,3.150010,0.031775,0.228932,1.017405,-0.001046,0.000640
0.050000,0.045613,3.150021,0.045765,0.279799,1.017338,-0.001345,0.000922
0.050000,0.062146,3.150039,0.062298,0.330662,1.017256,-0.001645,0.001255
0.050000,0.081222,3.150067,0.081374,0.381519,1.017158,-0.001945,0.001638
0.050000,0.102841,3.150107,0.102992,0.432372,1.017046,-0.002246,0.002072
0.050000,0.127001,3.150163,0.127153,0.483218,1.016919,-0.002548,0.002556
0.050000,0.153704,3.150238,0.153856,0.534056,1.016776,-0.002849,0.003088
0.050000,0.182948,3.150337,0.183100,0.584887,1.016619,-0.003152,0.003670
0.050000,0.214734,3.150464,0.214886,0.635710,1.016446,-0.003456,0.004300
0.050000,0.249059,3.150623,0.249212,0.686523,1.016258,-0.003760,0.004978
0.050000,0.285925,3.150820,0.286078,0.737325,1.016055,-0.004066,0.005703
0.050000,0.325330,3.151060,0.325484,0.788117,1.015836,-0.004372,0.006474
0.050000,0.367274,3.151348,0.367429,0.838897,1.015602,-0.004679,0.007292
0.050000,0.411756,3.151692,0.411912,0.889665,1.015353,-0.004988,0.008154
0.050000,0.458775,3.152097,0.458933,0.940419,1.015088,-0.005297,0.009061
0.050000,0.508331,3.152569,0.508491,0.991160,1.014807,-0.005607,0.010012
0.050000,0.560422,3.153117,0.560585,1.041885,1.014511,-0.005919,0.011005
0.050000,0.615048,3.153746,0.615215,1.092595,1.014200,-0.006231,0.012040
0.050000,0.672208,3.154465,0.672380,1.143289,1.013873,-0.006544,0.013116
0.050000,0.731901,3.155282,0.732078,1.193965,1.013530,-0.006859,0.014232
0.050000,0.794125,3.156203,0.794309,1.244624,1.013171,-0.007174,0.015386
0.050000,0.858880,3.157238,0.859072,1.295264,1.012796,-0.007490,0.016578
0.050000,0.926165,3.158395,0.926367,1.345884,1.012406,-0.007808,0.017806
0.050000,0.995977,3.159683,0.996191,1.396484,1.012000,-0.008126,0.019070
0.050000,1.068316,3.161109,1.068544,1.447063,1.011578,-0.008444,0.020368
0.050000,1.143180,3.162684,1.143425,1.497620,1.011139,-0.008764,0.021699
0.050000,1.220569,3.164417,1.220833,1.548154,1.010685,-0.009084,0.023061
0.050000,1.300479,3.166315,1.300766,1.598665,1.010215,-0.009404,0.024453
0.050000,1.382911,3.168390,1.383223,1.649151,1.009729,-0.009725,0.025873
0.050000,1.467861,3.170650,1.468204,1.699613,1.009226,-0.010046,0.027321
0.050000,1.555329,3.173105,1.555706,1.750048,1.008708,-0.010368,0.028795
0.050000,1.645313,3.175765,1.645729,1.800457,1.008174,-0.010689,0.030292
0.050000,1.737810,3.178638,1.738271,1.850838,1.007623,-0.011011,0.031812
0.050000,1.832819,3.181735,1.833331,1.901191,1.007057,-0.011332,0.033353
0.050000,1.930338,3.185065,1.930906,1.951514,1.006474,-0.011653,0.034912
0.050000,2.030365,3.188637,2.030997,2.001808,1.005875,-0.011974,0.036489
0.050000,2.132897,3.192462,2.133600,2.052071,1.005260,-0.012295,0.038082
0.050000,2.237933,3.196549,2.238715,2.102303,1.004630,-0.012615,0.039688
0.050000,2.345470,3.200906,2.346341,2.152502,1.003983,-0.012934,0.041305
0.050000,2.455505,3.205544,2.456474,2.202668,1.003320,-0.013253,0.042933
0.050000,2.568037,3.210471,2.569114,2.252800,1.002642,-0.013571,0.044568
0.050000,2.683064,3.215696,2.684259,2.302897,1.001947,-0.013888,0.046209
0.050000,2.800582,3.221227,2.801907,2.352959,1.001237,-0.014204,0.047854
0.050000,2.920588,3.227074,2.922056,2.402985,1.000511,-0.014519,0.049500
0.050000,3.043082,3.233243,3.044705,2.452973,0.999770,-0.014832,0.051146
0.050000,3.168059,3.239744,3.169851,2.502924,0.999012,-0.015145,0.052788
0.050000,3.295517,3.246584,3.297493,2.552836,0.998239,-0.015456,0.054426
0.050000,3.425454,3.253769,3.427628,2.602708,0.997451,-0.015766,0.056056
0.050000,3.557867,3.261308,3.560255,2.652541,0.996647,-0.016075,0.057676
0.050000,3.692753,3.269205,3.695372,2.702332,0.995828,-0.016382,0.059283
0.050000,3.830108,3.277468,3.832976,2.752082,0.994994,-0.016688,0.060876
0.050000,3.969931,3.286102,3.973065,2.801789,0.994144,-0.016993,0.062452
0.050000,4.112219,3.295111,4.115638,2.851453,0.993279,-0.017296,0.064008
0.050000,4.256969,3.304501,4.260691,2.901073,0.992400,-0.017599,0.065542
0.050000,4.404177,3.314275,4.408224,2.950648,0.991505,-0.017900,0.067051
0.050000,4.553841,3.324438,4.558233,3.000178,0.990595,-0.018200,0.068532
0.050000,4.705959,3.334990,4.710716,3.049661,0.989670,-0.018500,0.069983
0.050000,4.860526,3.345936,4.865671,3.099098,0.988730,-0.018798,0.071400
0.050000,5.017542,3.357276,5.023095,3.148487,0.987775,-0.019096,0.072782
0.050000,5.177002,3.369010,5.182986,3.197827,0.986805,-0.019393,0.074124
0.050000,5.338904,3.381140,5.345342,3.247118,0.985821,-0.019691,0.075425
0.050000,5.503245,3.393664,5.510160,3.296359,0.984821,-0.019988,0.076682
0.050000,5.670024,3.406580,5.677438,3.345549,0.983807,-0.020285,0.077891
0.050000,5.839236,3.419887,5.847172,3.394688,0.982778,-0.020582,0.079049
0.050000,6.010879,3.433579,6.019361,3.443775,0.981734,-0.020880,0.080153
0.050000,6.184951,3.447655,6.194001,3.492809,0.980675,-0.021178,0.081201
0.050000,6.361450,3.462107,6.371091,3.541789,0.979601,-0.021478,0.082188
0.050000,6.540373,3.476930,6.550626,3.590714,0.978512,-0.021779,0.083113
0.050000,6.721717,3.492116,6.732606,3.639585,0.977408,-0.022081,0.083971
0.050000,6.905481,3.507658,6.917026,3.688399,0.976289,-0.022385,0.084759
0.050000,7.091662,3.523544,7.103883,3.737157,0.975154,-0.022691,0.085474
0.050000,7.280259,3.539766,7.293176,3.785857,0.974004,-0.022999,0.086113
0.050000,7.471269,3.556310,7.484901,3.834499,0.972839,-0.023310,0.086671
0.050000,7.664690,3.573164,7.679055,3.883082,0.971658,-0.023623,0.087147
0.050000,7.860521,3.590313,7.875636,3.931605,0.970461,-0.023939,0.087535
0.050000,8.058759,3.607742,8.074639,3.980067,0.969248,-0.024257,0.087833
0.050000,8.258158,3.625323,8.274811,4.003452,0.467691,-10.031130,0.088036
0.050000,8.457472,3.642928,8.474901,4.001799,-0.033047,-10.014776,0.088142
0.050000,8.656703,3.660537,8.674909,4.000147,-0.033046,0.000019,0.088151
0.050000,8.855852,3.678130,8.874834,3.998495,-0.033046,0.000000,0.088062
0.050000,9.054921,3.695689,9.074676,3.996842,-0.033047,-0.000018,0.087877
0.050000,9.253913,3.713194,9.274435,3.995190,-0.033049,-0.000037,0.087594
0.050000,9.452827,3.730626,9.474112,3.993537,-0.033052,-0.000055,0.087214
0.050000,9.651667,3.747965,9.673706,3.991885,-0.033056,-0.000072,0.086736
0.050000,9.850433,3.765193,9.873218,3.990232,-0.033060,-0.000088,0.086162
0.050000,10.049128,3.782290,10.072647,3.988578,-0.033065,-0.000102,0.085490
0.050000,10.247752,3.799236,10.271993,3.986925,-0.033071,-0.000115,0.084721
0.050000,10.446308,3.816014,10.471257,3.985271,-0.033077,-0.000126,0.083854
0.050000,10.644797,3.832602,10.670437,3.983617,-0.033084,-0.000134,0.082890
0.050000,10.843220,3.848983,10.869536,3.981962,-0.033091,-0.000140,0.081829
0.050000,11.041579,3.865137,11.068551,3.980307,-0.033098,-0.000142,0.080671
0.050000,11.239875,3.881045,11.267483,3.978652,-0.033105,-0.000142,0.079415
0.050000,11.438108,3.896687,11.466333,3.976996,-0.033112,-0.000137,0.078062
0.050000,11.636281,3.912046,11.665100,3.975341,-0.033118,-0.000129,0.076612
0.050000,11.834394,3.927100,11.863785,3.973684,-0.033124,-0.000117,0.075064
0.050000,12.032448,3.941833,12.062386,3.972028,-0.033129,-0.000100,0.073418
0.050000,12.230444,3.956224,12.260905,3.970371,-0.033133,-0.000079,0.071675
0.050000,12.428384,3.970254,12.459340,3.968714,-0.033136,-0.000052,0.069835
0.050000,12.626266,3.983905,12.657693,3.967058,-0.033137,-0.000020,0.067897
0.050000,12.824093,3.997157,12.855963,3.965401,-0.033136,0.000018,0.065862
0.050000,13.021864,4.009991,13.054150,3.963744,-0.033133,0.000062,0.063730
0.050000,13.219580,4.022389,13.252255,3.962088,-0.033127,0.000112,0.061499
0.050000,13.417241,4.034331,13.450276,3.960432,-0.033119,0.000169,0.059172
0.050000,13.614848,4.045799,13.648215,3.958777,-0.033107,0.000232,0.056747
0.050000,13.812399,4.056773,13.846071,3.957122,-0.033092,0.000303,0.054225
0.050000,14.009896,4.067235,14.043845,3.955468,-0.033073,0.000381,0.051606
0.050000,14.207337,4.077166,14.241535,3.953816,-0.033049,0.000467,0.048889
0.050000,14.404722,4.086547,14.439144,3.952165,-0.033021,0.000562,0.046075
0.050000,14.601286,4.095326,14.635903,3.935195,-0.339395,-6.127467,0.043176
0.050000,14.795795,4.103442,14.830582,3.893571,-0.832483,-9.861757,0.040211
0.050000,14.987784,4.110877,15.022714,3.842641,-1.018605,-3.722455,0.037192
0.050000,15.177252,4.117637,15.212303,3.791773,-1.017358,0.024947,0.034122
0.050000,15.364201,4.123729,15.399351,3.740967,-1.016124,0.024683,0.031004
0.050000,15.548632,4.129158,15.583862,3.690221,-1.014903,0.024414,0.027843
0.050000,15.730546,4.133934,15.765839,3.639537,-1.013696,0.024139,0.024641
0.050000,15.909944,4.138066,15.945284,3.588911,-1.012503,0.023857,0.021402
0.050000,16.086827,4.141564,16.122202,3.538345,-1.011325,0.023569,0.018130
0.050000,16.261195,4.144439,16.296594,3.487837,-1.010161,0.023274,0.014828
0.050000,16.433049,4.146702,16.468463,3.437387,-1.009013,0.022972,0.011500
0.050000,16.602391,4.148367,16.637813,3.386993,-1.007879,0.022663,0.008149
0.050000,16.769220,4.149446,16.804645,3.336654,-1.006762,0.022346,0.004777
0.050000,16.933538,4.149954,16.968964,3.286371,-1.005661,0.022023,0.001389
0.050000,17.115356,4.151248,17.150786,3.636449,7.001548,160.144174,0.021607
0.050000,17.307515,4.158822,17.343095,3.846179,4.194608,-56.138796,0.057043
0.050000,17.495441,4.172761,17.531537,3.768834,-1.546904,-114.830240,0.090869
0.050000,17.678816,4.192455,17.715967,3.688603,-1.604628,-1.154476,0.122915
0.050000,17.857412,4.217276,17.896279,3.606234,-1.647375,-0.854943,0.153057
0.050000,18.031076,4.246594,18.072401,3.522444,-1.675791,-0.568327,0.181209
0.050000,18.199733,4.279798,18.244295,3.437885,-1.691182,-0.307812,0.207327
0.050000,18.363367,4.316301,18.411951,3.353122,-1.695260,-0.081564,0.231400
0.050000,18.522015,4.355552,18.575383,3.268626,-1.689921,0.106787,0.253443
0.050000,18.675754,4.397041,18.734621,3.184773,-1.677059,0.257228,0.273493
0.050000,18.824692,4.440299,18.889714,3.101851,-1.658445,0.372290,0.291606
0.050000,18.968958,4.484902,19.040717,3.020069,-1.635643,0.456034,0.307849
0.050000,19.108696,4.530464,19.187696,2.939570,-1.609982,0.513228,0.322298
0.050000,19.244057,4.576644,19.330718,2.860442,-1.582544,0.548746,0.335033
0.050000,19.375197,4.623135,19.469855,2.782733,-1.554186,0.567174,0.346137
0.050000,19.502268,4.669666,19.605177,2.706455,-1.525556,0.572591,0.355696
0.050000,19.625421,4.715999,19.736757,2.631599,-1.497133,0.568471,0.363792
0.050000,19.744799,4.761924,19.864664,2.558136,-1.469249,0.557679,0.370508
0.050000,19.860539,4.807256,19.988966,2.486030,-1.442123,0.542506,0.375924
0.050000,19.972771,4.851837,20.109727,2.415236,-1.415887,0.524734,0.380116
0.050000,20.081614,4.895528,20.227013,2.345706,-1.390601,0.505715,0.383160
0.050000,20.187181,4.938211,20.340882,2.277392,-1.366279,0.486442,0.385126
0.050000,20.289576,4.979785,20.451395,2.210247,-1.342898,0.467618,0.386083
0.050000,20.388892,5.020165,20.558606,2.144226,-1.320412,0.449713,0.386098
0.050000,20.485217,5.059281,20.662570,2.079288,-1.298761,0.433019,0.385235
0.050000,20.578631,5.097076,20.763340,2.015394,-1.277877,0.417686,0.383554
0.050000,20.669205,5.133505,20.860966,1.952510,-1.257689,0.403756,0.381115
0.050000,20.757005,5.168534,20.955496,1.890603,-1.238130,0.391193,0.377976
0.050000,20.842092,5.202139,21.046978,1.829647,-1.219134,0.379903,0.374192
0.050000,20.924519,5.234305,21.135459,1.769614,-1.200647,0.369749,0.369819
0.050000,21.004335,5.265026,21.220983,1.710483,-1.182619,0.360566,0.364908
0.050000,21.081585,5.294303,21.303595,1.652233,-1.165010,0.352175,0.359512
0.050000,21.156309,5.322144,21.383337,1.594843,-1.147791,0.344389,0.353681
0.050000,21.228544,5.348563,21.460252,1.538296,-1.130939,0.337021,0.347465
0.050000,21.298324,5.373579,21.534380,1.482574,-1.114445,0.329892,0.340913
0.050000,21.365679,5.397219,21.605763,1.427659,-1.098303,0.322834,0.334071
0.050000,21.430637,5.419510,21.674440,1.373533,-1.082518,0.315698,0.326987
0.050000,21.493225,5.440486,21.740449,1.320178,-1.067101,0.308353,0.319705
0.050000,21.553465,5.460184,21.803828,1.267575,-1.052066,0.300689,0.312270
0.050000,21.611380,5.478642,21.864613,1.215703,-1.037435,0.292621,0.304725
0.050000,21.666990,5.495902,21.922840,1.164542,-1.023231,0.284090,0.297112
0.050000,21.720314,5.512008,21.978543,1.114068,-1.009478,0.275058,0.289471
0.050000,21.771370,5.527004,22.031756,1.064258,-0.996202,0.265512,0.281841
0.050000,21.820175,5.540936,22.082510,1.015086,-0.983429,0.255462,0.274260
0.050000,21.866743,5.553851,22.130837,0.966527,-0.971182,0.244934,0.266763
0.050000,21.911091,5.565795,22.176764,0.918553,-0.959484,0.233973,0.259386
0.050000,21.953230,5.576816,22.220321,0.871135,-0.948352,0.222637,0.252161
0.050000,21.993175,5.586958,22.261533,0.824245,-0.937802,0.210994,0.245118
0.050000,22.030937,5.596268,22.300426,0.777853,-0.927846,0.199118,0.238288
0.050000,22.066527,5.604789,22.337022,0.731928,-0.918492,0.187087,0.231697
0.050000,22.099957,5.612565,22.371344,0.686441,-0.909743,0.174981,0.225372
0.050000,22.131235,5.619638,22.403413,0.641361,-0.901599,0.162875,0.219337
0.050000,22.160372,5.626046,22.433245,0.596658,-0.894057,0.150839,0.213612
0.050000,22.187375,5.631827,22.460861,0.552303,-0.887110,0.138939,0.208220
0.050000,22.212253,5.637018,22.486274,0.508265,-0.880749,0.127229,0.203179
0.050000,22.235011,5.641652,22.509500,0.464517,-0.874961,0.115755,0.198505
0.050000,22.255658,5.645759,22.530551,0.421031,-0.869734,0.104551,0.194215
0.050000,22.274199,5.649368,22.549440,0.377778,-0.865051,0.093643,0.190321
0.050000,22.290639,5.652506,22.566177,0.334733,-0.860899,0.083042,0.186837
0.050000,22.304983,5.655195,22.580770,0.291870,-0.857262,0.072751,0.183772
0.050000,22.317234,5.657455,22.593228,0.249164,-0.854124,0.062763,0.181137
0.050000,22.327397,5.659305,22.603558,0.206590,-0.851471,0.053059,0.178938
0.050000,22.335473,5.660758,22.611764,0.164126,-0.849290,0.043615,0.177182
0.050000,22.341466,5.661827,22.617852,0.121747,-0.847570,0.034398,0.175875
0.050000,22.345377,5.662521,22.621823,0.079432,-0.846302,0.025369,0.175020
0.050000,22.347206,5.662844,22.623681,0.037158,-0.845477,0.016482,0.174619
0.050000,22.347601,5.662913,22.624082,0.008015,-0.582872,5.252108,0.174533
0.050000,22.347601,5.662913,22.624082,0.000000,-0.160293,8.451585,0.174533
