dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000793,14.600000,0.001240,0.049583,0.991654,19.833089,0.000162
0.050000,0.003598,14.600001,0.004044,0.056083,0.130009,-17.232901,0.000733
0.050000,0.008269,14.600007,0.008716,0.093436,0.747054,12.340891,0.001687
0.050000,0.014806,14.600022,0.015252,0.130734,0.745971,-0.021664,0.003025
0.050000,0.023204,14.600055,0.023650,0.167957,0.744454,-0.030327,0.004749
0.050000,0.033458,14.600115,0.033904,0.205082,0.742504,-0.039012,0.006862
0.050000,0.045562,14.600213,0.046009,0.242088,0.740120,-0.047682,0.009368
0.050000,0.059509,14.600364,0.059956,0.278953,0.737302,-0.056347,0.012272
0.050000,0.075290,14.600583,0.075739,0.315656,0.734052,-0.065002,0.015578
0.050000,0.092896,14.600890,0.093348,0.352175,0.730371,-0.073631,0.019292
0.050000,0.112316,14.601305,0.112772,0.388488,0.726261,-0.082190,0.023421
0.050000,0.133538,14.601850,0.134001,0.424574,0.721727,-0.090684,0.027972
0.050000,0.156548,14.602552,0.157022,0.460413,0.716774,-0.099057,0.032952
0.050000,0.181331,14.603436,0.181821,0.495983,0.711411,-0.107266,0.038371
0.050000,0.207872,14.604532,0.208384,0.531266,0.705648,-0.115249,0.044236
0.050000,0.236152,14.605873,0.236696,0.566241,0.699501,-0.122953,0.050557
0.050000,0.266153,14.607493,0.266741,0.600890,0.692987,-0.130265,0.057346
0.050000,0.297854,14.609429,0.298500,0.635197,0.686133,-0.137093,0.064611
0.050000,0.331232,14.611718,0.331958,0.669145,0.678966,-0.143335,0.072365
0.050000,0.366266,14.614403,0.367094,0.702721,0.671526,-0.148804,0.080620
0.050000,0.402929,14.617526,0.403889,0.735914,0.663858,-0.153364,0.089386
0.050000,0.441195,14.621135,0.442325,0.768715,0.656017,-0.156819,0.098677
0.050000,0.481036,14.625276,0.482381,0.801119,0.648071,-0.158922,0.108505
0.050000,0.522423,14.630002,0.524037,0.833124,0.640098,-0.159443,0.118882
0.050000,0.565326,14.635364,0.567274,0.864733,0.632194,-0.158092,0.129821
0.050000,0.609713,14.641418,0.612072,0.895957,0.624467,-0.154543,0.141333
0.050000,0.655551,14.648222,0.658412,0.926809,0.617043,-0.148476,0.153431
0.050000,0.702807,14.655837,0.706278,0.957312,0.610068,-0.139492,0.166125
0.050000,0.751447,14.664324,0.755653,0.987497,0.603708,-0.127210,0.179425
0.050000,0.801436,14.673750,0.806523,1.017405,0.598146,-0.111229,0.193340
0.050000,0.852741,14.684182,0.858877,1.047084,0.593591,-0.091115,0.207877
0.050000,0.905326,14.695689,0.912707,1.076598,0.590266,-0.066491,0.223041
0.050000,0.959159,14.708346,0.968008,1.106019,0.588418,-0.036959,0.238835
