dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000130,11.400000,0.000292,0.011667,0.233333,4.666667,0.000016
0.050000,0.001220,11.400000,0.001382,0.021801,0.202694,-0.612792,0.000150
0.050000,0.003037,11.400001,0.003199,0.036338,0.290725,1.760618,0.000375
0.050000,0.005581,11.400002,0.005742,0.050877,0.290785,0.001206,0.000688
0.050000,0.008852,11.400005,0.009013,0.065420,0.290868,0.001671,0.001092
0.050000,0.012850,11.400010,0.013012,0.079969,0.290976,0.002159,0.001586
0.050000,0.017213,11.400018,0.017375,0.087253,0.145674,-2.906042,0.002125
0.050000,0.021576,11.400029,0.021738,0.087267,0.000288,-2.907733,0.002665
0.050000,0.025940,11.400042,0.026102,0.087282,0.000288,-0.000001,0.003205
0.050000,0.030305,11.400057,0.030467,0.087296,0.000288,0.000007,0.003745
0.050000,0.034670,11.400074,0.034832,0.087310,0.000288,-0.000000,0.004286
0.050000,0.039037,11.400094,0.039199,0.087325,0.000288,-0.000005,0.004828
0.050000,0.043403,11.400116,0.043566,0.087339,0.000288,0.000001,0.005369
0.050000,0.047771,11.400141,0.047933,0.087354,0.000288,0.000009,0.005912
0.050000,0.052139,11.400168,0.052302,0.087368,0.000288,-0.000007,0.006454
0.050000,0.056508,11.400197,0.056671,0.087382,0.000288,-0.000001,0.006998
0.050000,0.060878,11.400229,0.061041,0.087397,0.000288,0.000000,0.007541
0.050000,0.065248,11.400263,0.065411,0.087411,0.000288,0.000007,0.008085
0.050000,0.069620,11.400300,0.069782,0.087426,0.000288,-0.000004,0.008630
0.050000,0.073991,11.400339,0.074154,0.087440,0.000288,-0.000002,0.009175
0.050000,0.078364,11.400380,0.078527,0.087454,0.000288,0.000000,0.009720
0.050000,0.082737,11.400424,0.082901,0.087469,0.000288,0.000000,0.010266
0.050000,0.087111,11.400470,0.087275,0.087483,0.000288,0.000007,0.010813
0.050000,0.091486,11.400518,0.091650,0.087498,0.000288,-0.000006,0.011359
0.050000,0.095861,11.400569,0.096025,0.087512,0.000288,-0.000001,0.011907
0.050000,0.100237,11.400623,0.100401,0.087526,0.000288,0.000000,0.012454
0.050000,0.104614,11.400678,0.104778,0.087541,0.000288,0.000000,0.013003
0.050000,0.108991,11.400736,0.109156,0.087555,0.000288,0.000000,0.013551
0.050000,0.113369,11.400797,0.113535,0.087569,0.000288,0.000005,0.014100
0.050000,0.117748,11.400860,0.117914,0.087584,0.000288,-0.000005,0.014650
0.050000,0.122127,11.400925,0.122294,0.087598,0.000288,-0.000001,0.015200
0.050000,0.126507,11.400993,0.126674,0.087613,0.000288,-0.000000,0.015750
0.050000,0.130888,11.401063,0.131056,0.087627,0.000288,-0.000000,0.016301
0.050000,0.135270,11.401136,0.135438,0.087641,0.000288,-0.000000,0.016852
0.050000,0.139652,11.401211,0.139821,0.087656,0.000288,-0.000000,0.017404
0.050000,0.144035,11.401288,0.144204,0.087670,0.000288,-0.000000,0.017956
0.050000,0.148418,11.401368,0.148588,0.087685,0.000288,-0.000000,0.018509
0.050000,0.152802,11.401451,0.152973,0.087699,0.000288,0.000002,0.019062
0.050000,0.157187,11.401536,0.157359,0.087713,0.000288,-0.000003,0.019615
0.050000,0.161573,11.401623,0.161745,0.087728,0.000288,-0.000001,0.020169
0.050000,0.165959,11.401713,0.166133,0.087742,0.000288,-0.000000,0.020724
0.050000,0.170346,11.401805,0.170520,0.087757,0.000288,-0.000000,0.021279
0.050000,0.174733,11.401899,0.174909,0.087771,0.000288,-0.000001,0.021834
0.050000,0.179121,11.401996,0.179298,0.087785,0.000288,-0.000001,0.022390
0.050000,0.183510,11.402096,0.183688,0.087800,0.000288,-0.000001,0.022946
0.050000,0.187900,11.402198,0.188079,0.087814,0.000288,-0.000001,0.023503
0.050000,0.192290,11.402302,0.192470,0.087828,0.000288,-0.000001,0.024060
0.050000,0.196681,11.402409,0.196862,0.087843,0.000287,-0.000001,0.024618
0.050000,0.201072,11.402518,0.201255,0.087857,0.000287,-0.000001,0.025176
0.050000,0.205464,11.402630,0.205649,0.087872,0.000287,-0.000001,0.025734
0.050000,0.209857,11.402745,0.210043,0.087886,0.000287,-0.000001,0.026293
0.050000,0.214251,11.402861,0.214438,0.087900,0.000287,-0.000001,0.026852
0.050000,0.218645,11.402981,0.218834,0.087915,0.000287,-0.000001,0.027412
0.050000,0.223040,11.403102,0.223230,0.087929,0.000287,-0.000001,0.027972
0.050000,0.227435,11.403227,0.227628,0.087943,0.000287,-0.000001,0.028533
0.050000,0.231831,11.403353,0.232025,0.087958,0.000287,-0.000001,0.029094
0.050000,0.236228,11.403482,0.236424,0.087972,0.000287,-0.000001,0.029656
0.050000,0.240625,11.403614,0.240823,0.087986,0.000287,0.000001,0.030218
0.050000,0.245023,11.403748,0.245223,0.088001,0.000287,-0.000001,0.030781
0.050000,0.249422,11.403885,0.249624,0.088015,0.000287,-0.000002,0.031344
0.050000,0.253821,11.404024,0.254026,0.088030,0.000287,-0.000001,0.031907
0.050000,0.258221,11.404166,0.258428,0.088044,0.000287,-0.000001,0.032471
0.050000,0.262622,11.404310,0.262831,0.088058,0.000287,-0.000001,0.033035
0.050000,0.267023,11.404457,0.267234,0.088073,0.000287,-0.000001,0.033600
0.050000,0.271425,11.404606,0.271639,0.088087,0.000287,-0.000001,0.034165
0.050000,0.275827,11.404758,0.276044,0.088101,0.000287,-0.000001,0.034731
0.050000,0.280230,11.404912,0.280450,0.088116,0.000287,0.000002,0.035297
0.050000,0.284634,11.405069,0.284856,0.088130,0.000287,-0.000002,0.035864
0.050000,0.289038,11.405228,0.289263,0.088144,0.000286,-0.000004,0.036431
0.050000,0.293443,11.405390,0.293671,0.088158,0.000286,-0.000001,0.036998
0.050000,0.297849,11.405554,0.298080,0.088173,0.000286,-0.000002,0.037566
0.050000,0.302255,11.405721,0.302489,0.088187,0.000286,-0.000002,0.038134
0.050000,0.306662,11.405890,0.306899,0.088201,0.000286,0.000003,0.038703
0.050000,0.311069,11.406062,0.311310,0.088216,0.000286,-0.000003,0.039272
0.050000,0.315477,11.406237,0.315722,0.088230,0.000286,-0.000005,0.039842
0.050000,0.319886,11.406414,0.320134,0.088244,0.000286,-0.000002,0.040412
0.050000,0.324295,11.406593,0.324547,0.088259,0.000286,-0.000002,0.040983
0.050000,0.328705,11.406775,0.328960,0.088273,0.000286,0.000005,0.041554
0.050000,0.333115,11.406960,0.333375,0.088287,0.000286,-0.000006,0.042125
0.050000,0.337527,11.407147,0.337790,0.088301,0.000286,-0.000004,0.042697
0.050000,0.341938,11.407337,0.342206,0.088316,0.000285,-0.000002,0.043269
0.050000,0.346351,11.407529,0.346622,0.088330,0.000286,0.000004,0.043842
0.050000,0.350763,11.407724,0.351039,0.088344,0.000285,-0.000005,0.044416
0.050000,0.355177,11.407921,0.355457,0.088359,0.000285,-0.000005,0.044989
0.050000,0.359591,11.408121,0.359876,0.088373,0.000285,-0.000002,0.045563
0.050000,0.364006,11.408324,0.364295,0.088387,0.000285,0.000008,0.046138
0.050000,0.368421,11.408529,0.368715,0.088401,0.000285,-0.000012,0.046713
0.050000,0.372837,11.408737,0.373136,0.088416,0.000285,-0.000003,0.047289
0.050000,0.377253,11.408947,0.377558,0.088430,0.000285,0.000005,0.047864
0.050000,0.381671,11.409160,0.381980,0.088444,0.000285,-0.000004,0.048441
0.050000,0.386088,11.409375,0.386403,0.088458,0.000284,-0.000007,0.049018
0.050000,0.390506,11.409593,0.390826,0.088472,0.000285,0.000004,0.049595
0.050000,0.394925,11.409814,0.395251,0.088487,0.000285,-0.000002,0.050173
0.050000,0.399345,11.410037,0.399676,0.088501,0.000284,-0.000008,0.050751
0.050000,0.403765,11.410263,0.404101,0.088515,0.000284,0.000006,0.051329
0.050000,0.408185,11.410491,0.408528,0.088529,0.000284,-0.000005,0.051908
