dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000800,14.600000,0.001250,0.050000,1.000000,20.000000,0.000156
0.050000,0.003657,14.600001,0.004107,0.057147,0.142931,-17.141374,0.000714
0.050000,0.008417,14.600007,0.008867,0.095199,0.761044,12.362249,0.001645
0.050000,0.015076,14.600022,0.015526,0.133183,0.759675,-0.027369,0.002952
0.050000,0.023629,14.600055,0.024080,0.171070,0.757753,-0.038443,0.004637
0.050000,0.034071,14.600114,0.034522,0.208834,0.755273,-0.049599,0.006705
0.050000,0.046393,14.600212,0.046844,0.246445,0.752227,-0.060928,0.009160
0.050000,0.060586,14.600362,0.061038,0.283876,0.748607,-0.072394,0.012007
0.050000,0.076639,14.600581,0.077092,0.321096,0.744403,-0.084081,0.015254
0.050000,0.094540,14.600886,0.094996,0.358076,0.739605,-0.095962,0.018908
0.050000,0.114275,14.601300,0.114736,0.394786,0.734201,-0.108081,0.022978
0.050000,0.135828,14.601843,0.136295,0.431195,0.728179,-0.120443,0.027471
0.050000,0.159181,14.602543,0.159659,0.467271,0.721527,-0.133039,0.032400
0.050000,0.184315,14.603425,0.184808,0.502983,0.714232,-0.145901,0.037776
0.050000,0.211207,14.604519,0.211723,0.538297,0.706284,-0.158960,0.043610
0.050000,0.239835,14.605859,0.240382,0.573181,0.697672,-0.172239,0.049917
0.050000,0.270172,14.607477,0.270762,0.607600,0.688389,-0.185662,0.056711
0.050000,0.302190,14.609412,0.302838,0.641522,0.678430,-0.199175,0.064007
0.050000,0.335857,14.611702,0.336583,0.674911,0.667796,-0.212680,0.071822
0.050000,0.371142,14.614388,0.371970,0.707736,0.656492,-0.226086,0.080174
0.050000,0.408008,14.617515,0.408968,0.739962,0.644531,-0.239212,0.089082
0.050000,0.446416,14.621128,0.447546,0.771559,0.631937,-0.251875,0.098564
0.050000,0.486326,14.625277,0.487671,0.802497,0.618745,-0.263852,0.108642
0.050000,0.527693,14.630012,0.529309,0.832747,0.605003,-0.274824,0.119337
0.050000,0.570471,14.635387,0.572423,0.862286,0.590781,-0.284450,0.130672
0.050000,0.614611,14.641456,0.616978,0.891094,0.576166,-0.292295,0.142669
0.050000,0.660059,14.648278,0.662935,0.919158,0.561273,-0.297856,0.155351
0.050000,0.706763,14.655912,0.710259,0.946470,0.546248,-0.300509,0.168743
0.050000,0.754665,14.664419,0.758911,0.973034,0.531268,-0.299588,0.182866
0.050000,0.803707,14.673865,0.808854,0.998861,0.516554,-0.294293,0.197745
0.050000,0.853828,14.684314,0.860053,1.023980,0.502368,-0.283719,0.213402
0.050000,0.904968,14.695836,0.912474,1.048431,0.489023,-0.266902,0.229857
0.050000,0.957065,14.708500,0.966088,1.072275,0.476884,-0.242774,0.247129
0.050000,1.010057,14.722378,1.020868,1.095594,0.466372,-0.210238,0.265235
0.050000,1.063885,14.737547,1.076792,1.118492,0.457964,-0.168157,0.284188
0.050000,1.118491,14.754083,1.133847,1.141101,0.452190,-0.115482,0.303997
0.050000,1.173821,14.772069,1.192026,1.163583,0.449628,-0.051252,0.324665
