dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001299,11.400000,0.001250,0.050000,1.000000,20.000000,0.000156
0.050000,0.005941,11.400002,0.005893,0.092853,0.857069,-2.858630,0.000714
0.050000,0.013681,11.400011,0.013633,0.154801,1.238956,7.637754,0.001645
0.050000,0.024522,11.400036,0.024474,0.216817,1.240325,0.027375,0.002952
0.050000,0.038469,11.400089,0.038420,0.278930,1.242246,0.038415,0.004637
0.050000,0.055527,11.400186,0.055478,0.341166,1.244726,0.049614,0.006705
0.050000,0.075704,11.400346,0.075656,0.403555,1.247771,0.060901,0.009160
0.050000,0.099009,11.400592,0.098962,0.466124,1.251392,0.072404,0.012007
0.050000,0.125451,11.400953,0.125408,0.528904,1.255594,0.084055,0.015254
0.050000,0.155043,11.401458,0.155004,0.591924,1.260392,0.095951,0.018908
0.050000,0.187797,11.402144,0.187764,0.655213,1.265795,0.108065,0.022978
0.050000,0.223725,11.403051,0.223705,0.718804,1.271816,0.120418,0.027471
0.050000,0.262844,11.404222,0.262841,0.782728,1.278468,0.133036,0.032400
0.050000,0.305169,11.405708,0.305192,0.847016,1.285761,0.145854,0.037776
0.050000,0.350716,11.407562,0.350777,0.911701,1.293708,0.158948,0.043610
0.050000,0.399504,11.409845,0.399618,0.976817,1.302318,0.172202,0.049917
0.050000,0.451550,11.412622,0.451737,1.042397,1.311599,0.185622,0.056711
0.050000,0.506872,11.415965,0.507161,1.108475,1.321556,0.199129,0.064007
0.050000,0.565491,11.419952,0.565915,1.175084,1.332188,0.212650,0.071822
0.050000,0.627425,11.424667,0.628028,1.242258,1.343489,0.226023,0.080174
0.050000,0.692692,11.430203,0.693530,1.310031,1.355447,0.239147,0.089082
0.050000,0.761311,11.436660,0.762451,1.378433,1.368037,0.251817,0.098564
0.050000,0.833297,11.444144,0.834826,1.447494,1.381226,0.263767,0.108642
0.050000,0.908667,11.452772,0.910688,1.517242,1.394963,0.274743,0.119337
0.050000,0.987433,11.462668,0.990073,1.587701,1.409181,0.284359,0.130672
0.050000,1.069604,11.473968,1.073018,1.658891,1.423791,0.292195,0.142669
0.050000,1.155187,11.486815,1.159559,1.730825,1.438677,0.297722,0.155351
0.050000,1.244181,11.501362,1.249735,1.803509,1.453696,0.300390,0.168743
0.050000,1.336582,11.517775,1.343582,1.876943,1.468669,0.299453,0.182866
0.050000,1.432376,11.536227,1.441137,1.951112,1.483375,0.294129,0.197745
0.050000,1.531543,11.556903,1.542437,2.025989,1.497553,0.283558,0.213402
