dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001130,24.600000,0.001250,0.050000,1.000000,20.000000,6.283160
0.050000,0.005019,24.600000,0.005139,0.077790,0.555793,-8.884135,6.283073
0.050000,0.011502,24.599999,0.011622,0.129647,1.037140,9.626927,6.282928
0.050000,0.020577,24.599995,0.020697,0.181499,1.037056,-0.001677,6.282724
0.050000,0.032244,24.599988,0.032364,0.233346,1.036938,-0.002349,6.282464
0.050000,0.046503,24.599976,0.046623,0.285186,1.036787,-0.003022,6.282145
0.050000,0.063354,24.599955,0.063474,0.337016,1.036602,-0.003695,6.281770
0.050000,0.082796,24.599923,0.082916,0.388835,1.036384,-0.004370,6.281338
0.050000,0.104828,24.599877,0.104948,0.440642,1.036132,-0.005046,6.280849
0.050000,0.129449,24.599813,0.129570,0.492434,1.035845,-0.005724,6.280304
0.050000,0.156660,24.599726,0.156780,0.544210,1.035525,-0.006404,6.279704
0.050000,0.186458,24.599613,0.186579,0.595969,1.035171,-0.007086,6.279048
0.050000,0.218843,24.599467,0.218964,0.647708,1.034782,-0.007770,6.278339
0.050000,0.253814,24.599285,0.253935,0.699426,1.034360,-0.008456,6.277575
0.050000,0.291369,24.599059,0.291491,0.751121,1.033902,-0.009145,6.276759
0.050000,0.331508,24.598783,0.331631,0.802791,1.033411,-0.009836,6.275891
0.050000,0.374228,24.598452,0.374353,0.854436,1.032884,-0.010530,6.274971
0.050000,0.419529,24.598058,0.419655,0.906052,1.032323,-0.011226,6.274000
0.050000,0.467409,24.597594,0.467537,0.957638,1.031727,-0.011925,6.272980
0.050000,0.517866,24.597052,0.517997,1.009193,1.031095,-0.012627,6.271912
0.050000,0.570898,24.596424,0.571033,1.060714,1.030429,-0.013331,6.270796
0.050000,0.626503,24.595703,0.626643,1.112201,1.029727,-0.014039,6.269633
0.050000,0.684680,24.594879,0.684825,1.163650,1.028989,-0.014748,6.268426
0.050000,0.745426,24.593944,0.745578,1.215061,1.028216,-0.015461,6.267174
0.050000,0.808738,24.592890,0.808900,1.266431,1.027408,-0.016175,6.265879
0.050000,0.874616,24.591705,0.874788,1.317759,1.026563,-0.016892,6.264543
0.050000,0.943055,24.590382,0.943240,1.369044,1.025682,-0.017612,6.263166
0.050000,1.014054,24.588910,1.014254,1.420282,1.024766,-0.018333,6.261751
0.050000,1.087609,24.587280,1.087828,1.471473,1.023813,-0.019056,6.260299
0.050000,1.163719,24.585481,1.163958,1.522614,1.022824,-0.019781,6.258811
0.050000,1.242379,24.583503,1.242643,1.573704,1.021799,-0.020507,6.257289
0.050000,1.323587,24.581336,1.323880,1.624740,1.020737,-0.021234,6.255735
0.050000,1.407340,24.578970,1.407667,1.675722,1.019639,-0.021962,6.254150
0.050000,1.493634,24.576394,1.493999,1.726648,1.018504,-0.022690,6.252536
0.050000,1.582466,24.573597,1.582875,1.777514,1.017333,-0.023419,6.250894
0.050000,1.673832,24.570570,1.674291,1.828321,1.016126,-0.024149,6.249228
0.050000,1.767728,24.567301,1.768244,1.879065,1.014882,-0.024877,6.247539
0.050000,1.864151,24.563779,1.864731,1.929745,1.013602,-0.025606,6.245828
0.050000,1.963096,24.559995,1.963749,1.980359,1.012285,-0.026333,6.244098
0.050000,2.064561,24.555938,2.065294,2.030906,1.010932,-0.027059,6.242351
0.050000,2.168539,24.551598,2.169364,2.081383,1.009543,-0.027784,6.240589
0.050000,2.275028,24.546964,2.275953,2.131789,1.008117,-0.028507,6.238814
0.050000,2.384022,24.542027,2.385059,2.182121,1.006656,-0.029229,6.237029
0.050000,2.495518,24.536777,2.496678,2.232379,1.005159,-0.029947,6.235236
0.050000,2.609510,24.531204,2.610806,2.282561,1.003625,-0.030664,6.233437
0.050000,2.725993,24.525298,2.727439,2.332663,1.002057,-0.031378,6.231635
0.050000,2.844964,24.519052,2.846574,2.382686,1.000452,-0.032088,6.229833
0.050000,2.966416,24.512456,2.968205,2.432627,0.998812,-0.032796,6.228032
0.050000,3.090345,24.505502,3.092329,2.482484,0.997137,-0.033501,6.226235
0.050000,3.216746,24.498182,3.218942,2.532255,0.995427,-0.034202,6.224446
0.050000,3.345614,24.490488,3.348039,2.581939,0.993682,-0.034900,6.222667
0.050000,3.476942,24.482413,3.479615,2.631534,0.991903,-0.035594,6.220900
0.050000,3.610727,24.473952,3.613667,2.681039,0.990088,-0.036285,6.219149
0.050000,3.746962,24.465096,3.750190,2.730451,0.988240,-0.036972,6.217416
0.050000,3.885642,24.455843,3.889178,2.779768,0.986357,-0.037657,6.215705
0.050000,4.026761,24.446185,4.030628,2.828990,0.984440,-0.038338,6.214017
0.050000,4.170315,24.436119,4.174534,2.878115,0.982489,-0.039016,6.212357
0.050000,4.316296,24.425642,4.320891,2.927140,0.980505,-0.039691,6.210728
0.050000,4.464700,24.414751,4.469694,2.976064,0.978486,-0.040364,6.209132
0.050000,4.615521,24.403442,4.620938,3.024886,0.976435,-0.041034,6.207573
0.050000,4.768753,24.391716,4.774618,3.073604,0.974350,-0.041703,6.206054
0.050000,4.924391,24.379572,4.930729,3.122215,0.972231,-0.042371,6.204579
0.050000,5.082428,24.367009,5.089265,3.170719,0.970079,-0.043038,6.203150
0.050000,5.242860,24.354029,5.250221,3.219114,0.967894,-0.043704,6.201772
0.050000,5.405680,24.340634,5.413591,3.267398,0.965675,-0.044371,6.200447
0.050000,5.570882,24.326828,5.579369,3.315569,0.963424,-0.045038,6.199179
0.050000,5.738462,24.312614,5.747550,3.363626,0.961138,-0.045706,6.197972
0.050000,5.908413,24.297997,5.918129,3.411567,0.958819,-0.046377,6.196829
0.050000,6.080730,24.282985,6.091098,3.459390,0.956467,-0.047050,6.195754
0.050000,6.255407,24.267584,6.266453,3.507094,0.954081,-0.047727,6.194752
0.050000,6.432439,24.251804,6.444187,3.554677,0.951660,-0.048407,6.193824
0.050000,6.611820,24.235653,6.624294,3.602137,0.949206,-0.049092,6.192976
0.050000,6.793545,24.219144,6.806767,3.649473,0.946716,-0.049782,6.192211
0.050000,6.977609,24.202288,6.991601,3.696683,0.944193,-0.050478,6.191534
0.050000,7.164007,24.185100,7.178790,3.743764,0.941634,-0.051180,6.190947
0.050000,7.352732,24.167594,7.368325,3.790716,0.939039,-0.051889,6.190456
0.050000,7.543781,24.149788,7.560202,3.837537,0.936409,-0.052605,6.190064
0.050000,7.737148,24.131699,7.754413,3.884224,0.933742,-0.053328,6.189776
0.050000,7.932828,24.113348,7.950952,3.930776,0.931040,-0.054059,6.189596
0.050000,8.130817,24.094755,8.149812,3.977191,0.928300,-0.054798,6.189527
0.050000,8.329865,24.076061,8.349736,3.998488,0.425946,-10.047075,6.189574
0.050000,8.528730,24.057405,8.549474,3.994760,-0.074564,-10.010196,6.189738
0.050000,8.727413,24.038810,8.749026,3.991032,-0.074568,-0.000077,6.190018
0.050000,8.925917,24.020300,8.948391,3.987303,-0.074574,-0.000130,6.190415
0.050000,9.124244,24.001898,9.147570,3.983574,-0.074583,-0.000180,6.190929
0.050000,9.322396,23.983626,9.346562,3.979844,-0.074595,-0.000227,6.191558
0.050000,9.520374,23.965508,9.545368,3.976114,-0.074608,-0.000269,6.192305
0.050000,9.718181,23.947565,9.743987,3.972382,-0.074623,-0.000306,6.193168
0.050000,9.915819,23.929822,9.942419,3.968650,-0.074640,-0.000337,6.194148
0.050000,10.113289,23.912300,10.140665,3.964918,-0.074658,-0.000361,6.195244
0.050000,10.310593,23.895023,10.338724,3.961184,-0.074677,-0.000377,6.196457
0.050000,10.507733,23.878012,10.536597,3.957449,-0.074696,-0.000384,6.197787
0.050000,10.704710,23.861291,10.734282,3.953713,-0.074715,-0.000380,6.199233
0.050000,10.901526,23.844882,10.931781,3.949976,-0.074734,-0.000365,6.200796
0.050000,11.098182,23.828807,11.129093,3.946239,-0.074751,-0.000338,6.202476
0.050000,11.294679,23.813089,11.326218,3.942501,-0.074765,-0.000299,6.204273
0.050000,11.491019,23.797751,11.523156,3.938762,-0.074778,-0.000245,6.206187
0.050000,11.687203,23.782813,11.719907,3.935022,-0.074786,-0.000175,6.208217
0.050000,11.883230,23.768300,11.916472,3.931283,-0.074791,-0.000090,6.210365
0.050000,12.079103,23.754232,12.112849,3.927543,-0.074790,0.000012,6.212629
0.050000,12.274821,23.740632,12.309039,3.923804,-0.074784,0.000132,6.215010
0.050000,12.470385,23.727522,12.505042,3.920066,-0.074770,0.000271,6.217508
0.050000,12.665796,23.714924,12.700859,3.916328,-0.074749,0.000431,6.220123
0.050000,12.861053,23.702860,12.896488,3.912592,-0.074718,0.000611,6.222854
0.050000,13.056157,23.691352,13.091931,3.908858,-0.074677,0.000813,6.225702
0.050000,13.251107,23.680421,13.287188,3.905127,-0.074626,0.001037,6.228667
0.050000,13.445904,23.670089,13.482257,3.901399,-0.074561,0.001286,6.231748
0.050000,13.640545,23.660379,13.677141,3.897675,-0.074483,0.001558,6.234946
0.050000,13.835032,23.651311,13.871839,3.893955,-0.074391,0.001856,6.238260
0.050000,14.029362,23.642906,14.066351,3.890241,-0.074282,0.002181,6.241690
0.050000,14.223535,23.635187,14.260678,3.886534,-0.074155,0.002531,6.245235
0.050000,14.417166,23.628188,14.454434,3.875131,-0.228045,-3.077793,6.248889
0.050000,14.609041,23.621962,14.646411,3.839526,-0.712106,-9.681235,6.252627
0.050000,14.798338,23.616534,14.835785,3.787496,-1.040591,-6.569690,6.256428
0.050000,14.985061,23.611895,15.022566,3.735612,-1.037699,0.057839,6.260287
0.050000,15.169214,23.608036,15.206759,3.683870,-1.034835,0.057274,6.264201
0.050000,15.350801,23.604947,15.388373,3.632270,-1.032001,0.056689,6.268165
0.050000,15.529826,23.602616,15.567413,3.580810,-1.029197,0.056081,6.272175
0.050000,15.706294,23.601029,15.743888,3.529489,-1.026424,0.055449,6.276226
0.050000,15.880207,23.600172,15.917803,3.478304,-1.023685,0.054792,6.280314
0.050000,16.059271,23.599893,16.096868,3.581290,2.059719,61.668080,6.279582
0.050000,16.253416,23.598056,16.291021,3.883068,6.035561,79.516842,6.267895
0.050000,16.444438,23.594051,16.482085,3.821276,-1.235858,-145.428378,6.256577
0.050000,16.632316,23.588018,16.670060,3.759510,-1.235313,0.010889,6.245627
0.050000,16.817037,23.580095,16.854951,3.697805,-1.234098,0.024302,6.235043
0.050000,16.998588,23.570415,17.036760,3.636191,-1.232273,0.036505,6.224822
0.050000,17.176965,23.559107,17.215495,3.574697,-1.229897,0.047518,6.214960
0.050000,17.352165,23.546295,17.391162,3.513345,-1.227028,0.057371,6.205452
0.050000,17.524188,23.532101,17.563770,3.452159,-1.223723,0.066107,6.196295
