dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001049,21.400000,0.001250,0.050000,1.000000,20.000000,6.283160
0.050000,0.004659,21.400000,0.004861,0.072210,0.444207,-11.115865,6.283073
0.050000,0.010677,21.399999,0.010878,0.120353,0.962860,10.373073,6.282928
0.050000,0.019102,21.399996,0.019303,0.168501,0.962944,0.001677,6.282724
0.050000,0.029935,21.399989,0.030136,0.216654,0.963062,0.002349,6.282464
0.050000,0.043175,21.399978,0.043377,0.264814,0.963213,0.003021,6.282145
0.050000,0.058825,21.399958,0.059026,0.312984,0.963398,0.003695,6.281770
0.050000,0.076883,21.399929,0.077084,0.361165,0.963616,0.004370,6.281338
0.050000,0.097351,21.399886,0.097552,0.409358,0.963868,0.005046,6.280849
0.050000,0.120229,21.399826,0.120430,0.457566,0.964155,0.005724,6.280304
0.050000,0.145518,21.399746,0.145720,0.505790,0.964475,0.006404,6.279704
0.050000,0.173220,21.399640,0.173421,0.554031,0.964829,0.007085,6.279048
0.050000,0.203334,21.399505,0.203536,0.602292,0.965217,0.007769,6.278339
0.050000,0.235862,21.399335,0.236065,0.650574,0.965640,0.008456,6.277575
0.050000,0.270806,21.399125,0.271009,0.698879,0.966097,0.009144,6.276759
0.050000,0.308165,21.398868,0.308369,0.747209,0.966589,0.009835,6.275891
0.050000,0.347942,21.398560,0.348147,0.795564,0.967116,0.010529,6.274971
0.050000,0.390138,21.398193,0.390345,0.843948,0.967677,0.011226,6.274000
0.050000,0.434754,21.397760,0.434963,0.892362,0.968273,0.011925,6.272980
0.050000,0.481792,21.397255,0.482003,0.940807,0.968904,0.012626,6.271912
0.050000,0.531252,21.396670,0.531467,0.989286,0.969571,0.013331,6.270796
0.050000,0.583138,21.395997,0.583357,1.037799,0.970273,0.014038,6.269633
0.050000,0.637450,21.395228,0.637675,1.086350,0.971010,0.014748,6.268426
0.050000,0.694190,21.394355,0.694422,1.134939,0.971783,0.015460,6.267174
0.050000,0.753360,21.393369,0.753600,1.183569,0.972592,0.016175,6.265879
0.050000,0.814963,21.392261,0.815212,1.232240,0.973437,0.016892,6.264543
0.050000,0.878998,21.391023,0.879260,1.280956,0.974317,0.017611,6.263166
0.050000,0.945470,21.389645,0.945746,1.329718,0.975234,0.018333,6.261751
0.050000,1.014379,21.388118,1.014672,1.378527,0.976187,0.019056,6.260299
0.050000,1.085729,21.386431,1.086042,1.427386,0.977176,0.019780,6.258811
0.050000,1.159520,21.384576,1.159856,1.476296,0.978201,0.020506,6.257289
0.050000,1.235756,21.382542,1.236119,1.525259,0.979263,0.021234,6.255735
0.050000,1.314439,21.380319,1.314833,1.574277,0.980361,0.021962,6.254150
0.050000,1.395570,21.377897,1.396001,1.623352,0.981495,0.022690,6.252536
0.050000,1.479153,21.375266,1.479625,1.672485,0.982666,0.023419,6.250894
0.050000,1.565190,21.372415,1.565709,1.721679,0.983874,0.024149,6.249228
0.050000,1.653683,21.369333,1.654256,1.770935,0.985118,0.024877,6.247539
0.050000,1.744635,21.366012,1.745269,1.820255,0.986398,0.025606,6.245828
0.050000,1.838049,21.362439,1.838751,1.869641,0.987715,0.026333,6.244098
0.050000,1.933927,21.358606,1.934705,1.919094,0.989067,0.027060,6.242351
0.050000,2.032272,21.354501,2.033136,1.968617,0.990457,0.027785,6.240589
0.050000,2.133087,21.350114,2.134047,2.018211,0.991882,0.028508,6.238814
0.050000,2.236375,21.345435,2.237441,2.067878,0.993344,0.029229,6.237029
0.050000,2.342139,21.340455,2.343322,2.117620,0.994841,0.029948,6.235236
0.050000,2.450381,21.335163,2.451693,2.167439,0.996374,0.030664,6.233437
0.050000,2.561106,21.329549,2.562560,2.217336,0.997943,0.031378,6.231635
0.050000,2.674316,21.323605,2.675926,2.267313,0.999548,0.032089,6.229833
0.050000,2.790014,21.317322,2.791795,2.317373,1.001187,0.032797,6.228032
0.050000,2.908204,21.310690,2.910170,2.367516,1.002862,0.033501,6.226235
0.050000,3.028889,21.303701,3.031058,2.417744,1.004573,0.034203,6.224446
0.050000,3.152072,21.296346,3.154461,2.468060,1.006318,0.034901,6.222667
0.050000,3.277758,21.288618,3.280384,2.518465,1.008097,0.035595,6.220900
0.050000,3.405950,21.280510,3.408832,2.568961,1.009912,0.036286,6.219149
0.050000,3.536652,21.272015,3.539809,2.619549,1.011760,0.036973,6.217416
0.050000,3.669867,21.263126,3.673321,2.670231,1.013643,0.037658,6.215705
0.050000,3.805600,21.253837,3.809371,2.721009,1.015560,0.038339,6.214017
0.050000,3.943855,21.244143,3.947966,2.771884,1.017511,0.039017,6.212357
0.050000,4.084636,21.234039,4.089108,2.822859,1.019496,0.039692,6.210728
0.050000,4.227947,21.223521,4.232805,2.873935,1.021514,0.040365,6.209132
0.050000,4.373793,21.212586,4.379061,2.925113,1.023566,0.041036,6.207573
