dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000125,2.400000,0.000292,0.011667,0.233333,4.666667,0.000002
0.050000,0.001029,2.400000,0.001196,0.018077,0.128212,-2.102423,0.000021
0.050000,0.002535,2.400000,0.002702,0.030129,0.241028,2.256312,0.000051
0.050000,0.004644,2.400000,0.004811,0.042180,0.241024,-0.000077,0.000093
0.050000,0.007356,2.400001,0.007522,0.054231,0.241019,-0.000107,0.000147
0.050000,0.010670,2.400001,0.010837,0.066281,0.241012,-0.000138,0.000213
0.050000,0.014285,2.400002,0.014452,0.072306,0.120494,-2.410355,0.000285
0.050000,0.017901,2.400003,0.018067,0.072305,-0.000018,-2.410247,0.000357
0.050000,0.021516,2.400005,0.021682,0.072304,-0.000018,-0.000000,0.000429
0.050000,0.025131,2.400006,0.025298,0.072303,-0.000018,0.000000,0.000501
0.050000,0.028746,2.400008,0.028913,0.072302,-0.000018,-0.000000,0.000573
0.050000,0.032361,2.400010,0.032528,0.072301,-0.000018,0.000000,0.000645
0.050000,0.035976,2.400013,0.036143,0.072301,-0.000018,-0.000000,0.000717
0.050000,0.039591,2.400016,0.039758,0.072300,-0.000018,0.000000,0.000789
0.050000,0.043206,2.400019,0.043373,0.072299,-0.000018,-0.000000,0.000860
0.050000,0.046821,2.400022,0.046988,0.072298,-0.000018,-0.000000,0.000932
0.050000,0.050436,2.400025,0.050602,0.072297,-0.000018,-0.000000,0.001004
0.050000,0.054051,2.400029,0.054217,0.072296,-0.000018,-0.000000,0.001076
0.050000,0.057665,2.400033,0.057832,0.072295,-0.000018,-0.000000,0.001147
0.050000,0.061280,2.400037,0.061447,0.072294,-0.000018,-0.000000,0.001219
0.050000,0.064895,2.400042,0.065061,0.072293,-0.000018,-0.000000,0.001291
0.050000,0.068509,2.400047,0.068676,0.072292,-0.000018,-0.000000,0.001362
0.050000,0.072124,2.400052,0.072290,0.072291,-0.000018,0.000000,0.001434
0.050000,0.075738,2.400057,0.075905,0.072290,-0.000018,-0.000000,0.001506
0.050000,0.079353,2.400063,0.079519,0.072290,-0.000018,0.000000,0.001577
0.050000,0.082967,2.400068,0.083134,0.072289,-0.000018,-0.000000,0.001649
0.050000,0.086582,2.400075,0.086748,0.072288,-0.000018,0.000000,0.001720
0.050000,0.090196,2.400081,0.090363,0.072287,-0.000018,-0.000000,0.001792
0.050000,0.093810,2.400088,0.093977,0.072286,-0.000018,0.000000,0.001863
0.050000,0.097425,2.400094,0.097591,0.072285,-0.000018,-0.000000,0.001934
0.050000,0.101039,2.400102,0.101205,0.072284,-0.000018,0.000000,0.002006
0.050000,0.104653,2.400109,0.104820,0.072283,-0.000018,-0.000000,0.002077
0.050000,0.108267,2.400117,0.108434,0.072282,-0.000018,0.000000,0.002149
0.050000,0.111881,2.400124,0.112048,0.072281,-0.000018,-0.000000,0.002220
0.050000,0.115495,2.400133,0.115662,0.072280,-0.000018,0.000000,0.002291
0.050000,0.119109,2.400141,0.119276,0.072279,-0.000018,-0.000000,0.002362
0.050000,0.122723,2.400150,0.122890,0.072278,-0.000018,0.000000,0.002434
0.050000,0.126337,2.400159,0.126503,0.072278,-0.000018,-0.000000,0.002505
0.050000,0.129951,2.400168,0.130117,0.072277,-0.000018,0.000000,0.002576
0.050000,0.133564,2.400177,0.133731,0.072276,-0.000018,-0.000000,0.002647
0.050000,0.137178,2.400187,0.137345,0.072275,-0.000018,0.000000,0.002718
0.050000,0.140792,2.400197,0.140959,0.072274,-0.000018,-0.000000,0.002789
0.050000,0.144405,2.400207,0.144572,0.072273,-0.000018,-0.000000,0.002860
0.050000,0.148019,2.400218,0.148186,0.072272,-0.000018,-0.000000,0.002931
0.050000,0.151633,2.400228,0.151799,0.072271,-0.000018,-0.000000,0.003002
0.050000,0.155246,2.400239,0.155413,0.072270,-0.000018,-0.000000,0.003073
0.050000,0.158859,2.400250,0.159026,0.072269,-0.000018,-0.000000,0.003144
0.050000,0.162473,2.400262,0.162640,0.072268,-0.000018,0.000000,0.003215
0.050000,0.166086,2.400274,0.166253,0.072267,-0.000018,-0.000000,0.003286
0.050000,0.169700,2.400286,0.169866,0.072267,-0.000018,0.000000,0.003357
0.050000,0.173313,2.400298,0.173480,0.072266,-0.000018,-0.000000,0.003427
0.050000,0.176926,2.400310,0.177093,0.072265,-0.000018,0.000000,0.003498
0.050000,0.180539,2.400323,0.180706,0.072264,-0.000018,-0.000000,0.003569
0.050000,0.184152,2.400336,0.184319,0.072263,-0.000018,0.000000,0.003640
0.050000,0.187765,2.400350,0.187932,0.072262,-0.000018,-0.000000,0.003710
0.050000,0.191378,2.400363,0.191545,0.072261,-0.000018,0.000000,0.003781
0.050000,0.194991,2.400377,0.195158,0.072260,-0.000018,-0.000000,0.003852
0.050000,0.198604,2.400391,0.198771,0.072259,-0.000018,0.000000,0.003922
0.050000,0.202217,2.400405,0.202384,0.072258,-0.000018,-0.000000,0.003993
0.050000,0.205830,2.400420,0.205997,0.072257,-0.000018,0.000000,0.004063
0.050000,0.209443,2.400435,0.209610,0.072256,-0.000018,-0.000000,0.004134
0.050000,0.213056,2.400450,0.213223,0.072255,-0.000018,0.000000,0.004204
0.050000,0.216668,2.400465,0.216835,0.072255,-0.000018,-0.000000,0.004275
0.050000,0.220281,2.400480,0.220448,0.072254,-0.000018,0.000000,0.004345
0.050000,0.223893,2.400496,0.224061,0.072253,-0.000018,-0.000000,0.004416
0.050000,0.227506,2.400512,0.227673,0.072252,-0.000018,-0.000000,0.004486
0.050000,0.231119,2.400529,0.231286,0.072251,-0.000018,-0.000000,0.004556
0.050000,0.234731,2.400545,0.234898,0.072250,-0.000018,-0.000000,0.004627
0.050000,0.238343,2.400562,0.238511,0.072249,-0.000018,-0.000000,0.004697
0.050000,0.241956,2.400579,0.242123,0.072248,-0.000018,-0.000000,0.004767
0.050000,0.245568,2.400597,0.245736,0.072247,-0.000018,0.000000,0.004837
0.050000,0.249180,2.400614,0.249348,0.072246,-0.000018,-0.000000,0.004907
0.050000,0.252793,2.400632,0.252960,0.072245,-0.000018,0.000000,0.004978
0.050000,0.256405,2.400650,0.256572,0.072244,-0.000018,-0.000000,0.005048
0.050000,0.260017,2.400668,0.260185,0.072243,-0.000018,0.000000,0.005118
