dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000172,21.406250,0.000292,0.011667,0.233333,4.666667,0.000000
0.050000,0.001047,21.406250,0.001167,0.017500,0.116667,-2.333333,0.000000
0.050000,0.002505,21.406250,0.002625,0.029167,0.233333,2.333333,0.000000
0.050000,0.004547,21.406250,0.004667,0.040833,0.233333,-0.000000,0.000000
0.050000,0.007172,21.406250,0.007292,0.052500,0.233333,0.000000,0.000000
0.050000,0.010380,21.406250,0.010500,0.064167,0.233333,0.000000,0.000000
0.050000,0.013880,21.406250,0.014000,0.070000,0.116667,-2.333333,0.000000
0.050000,0.017380,21.406250,0.017500,0.070000,0.000000,-2.333333,0.000000
0.050000,0.020880,21.406250,0.021000,0.070000,0.000000,0.000000,0.000000
0.050000,0.024380,21.406250,0.024500,0.070000,0.000000,0.000000,0.000000
0.050000,0.027880,21.406250,0.028000,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.031380,21.406250,0.031500,0.070000,0.000000,0.000000,0.000000
0.050000,0.034880,21.406250,0.035000,0.070000,0.000000,0.000000,0.000000
0.050000,0.038380,21.406250,0.038500,0.070000,0.000000,0.000000,0.000000
0.050000,0.041880,21.406250,0.042000,0.070000,0.000000,-0.000000,0.000000
0.050000,0.045380,21.406250,0.045500,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.048880,21.406250,0.049000,0.070000,0.000000,0.000000,0.000000
0.050000,0.052380,21.406250,0.052500,0.070000,0.000000,-0.000000,0.000000
0.050000,0.055880,21.406250,0.056000,0.070000,0.000000,-0.000000,0.000000
0.050000,0.059380,21.406250,0.059500,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.062880,21.406250,0.063000,0.070000,0.000000,0.000000,0.000000
0.050000,0.066380,21.406250,0.066500,0.070000,0.000000,0.000000,0.000000
0.050000,0.069880,21.406250,0.070000,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.073380,21.406250,0.073500,0.070000,-0.000000,0.000000,0.000000
0.050000,0.076880,21.406250,0.077000,0.070000,0.000000,0.000000,0.000000
0.050000,0.080380,21.406250,0.080500,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.083880,21.406250,0.084000,0.070000,0.000000,0.000000,0.000000
0.050000,0.087380,21.406250,0.087500,0.070000,0.000000,0.000000,0.000000
0.050000,0.090880,21.406250,0.091000,0.070000,0.000000,0.000000,0.000000
0.050000,0.094380,21.406250,0.094500,0.070000,0.000000,0.000000,0.000000
0.050000,0.097880,21.406250,0.098000,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.101380,21.406250,0.101500,0.070000,0.000000,0.000000,0.000000
0.050000,0.104880,21.406250,0.105000,0.070000,0.000000,0.000000,0.000000
0.050000,0.108380,21.406250,0.108500,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.111880,21.406250,0.112000,0.070000,0.000000,0.000000,0.000000
0.050000,0.115380,21.406250,0.115500,0.070000,0.000000,-0.000000,0.000000
0.050000,0.118880,21.406250,0.119000,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.122380,21.406250,0.122500,0.070000,0.000000,0.000000,0.000000
0.050000,0.125880,21.406250,0.126000,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.129380,21.406250,0.129500,0.070000,-0.000000,0.000000,0.000000
0.050000,0.132880,21.406250,0.133000,0.070000,0.000000,0.000000,0.000000
0.050000,0.136380,21.406250,0.136500,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.139880,21.406250,0.140000,0.070000,0.000000,0.000000,0.000000
0.050000,0.143380,21.406250,0.143500,0.070000,0.000000,0.000000,0.000000
0.050000,0.146880,21.406250,0.147000,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.150380,21.406250,0.150500,0.070000,0.000000,0.000000,0.000000
0.050000,0.153880,21.406250,0.154000,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.157380,21.406250,0.157500,0.070000,0.000000,0.000000,0.000000
0.050000,0.160880,21.406250,0.161000,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.164380,21.406250,0.164500,0.070000,0.000000,0.000000,0.000000
0.050000,0.167880,21.406250,0.168000,0.070000,0.000000,0.000000,0.000000
0.050000,0.171380,21.406250,0.171500,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.174880,21.406250,0.175000,0.070000,0.000000,0.000000,0.000000
0.050000,0.178380,21.406250,0.178500,0.070000,0.000000,0.000000,0.000000
0.050000,0.181880,21.406250,0.182000,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.185380,21.406250,0.185500,0.070000,0.000000,0.000000,0.000000
0.050000,0.188880,21.406250,0.189000,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.192380,21.406250,0.192500,0.070000,0.000000,0.000000,0.000000
0.050000,0.195880,21.406250,0.196000,0.070000,0.000000,0.000000,0.000000
0.050000,0.199380,21.406250,0.199500,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.202880,21.406250,0.203000,0.070000,0.000000,0.000000,0.000000
0.050000,0.206380,21.406250,0.206500,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.209880,21.406250,0.210000,0.070000,0.000000,0.000000,0.000000
0.050000,0.213380,21.406250,0.213500,0.070000,0.000000,0.000000,0.000000
0.050000,0.216880,21.406250,0.217000,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.220380,21.406250,0.220500,0.070000,0.000000,0.000000,0.000000
0.050000,0.223880,21.406250,0.224000,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.227380,21.406250,0.227500,0.070000,0.000000,0.000000,0.000000
0.050000,0.230880,21.406250,0.231000,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.234380,21.406250,0.234500,0.070000,0.000000,0.000000,0.000000
0.050000,0.237880,21.406250,0.238000,0.070000,0.000000,-0.000000,0.000000
0.050000,0.241380,21.406250,0.241500,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.244880,21.406250,0.245000,0.070000,0.000000,0.000000,0.000000
0.050000,0.248380,21.406250,0.248500,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.251880,21.406250,0.252000,0.070000,0.000000,0.000000,0.000000
0.050000,0.255380,21.406250,0.255500,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.258880,21.406250,0.259000,0.070000,0.000000,0.000000,0.000000
0.050000,0.262380,21.406250,0.262500,0.070000,0.000000,0.000000,0.000000
0.050000,0.265880,21.406250,0.266000,0.070000,0.000000,-0.000000,0.000000
0.050000,0.269380,21.406250,0.269500,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.272880,21.406250,0.273000,0.070000,0.000000,0.000000,0.000000
0.050000,0.276380,21.406250,0.276500,0.070000,0.000000,-0.000000,0.000000
0.050000,0.279880,21.406250,0.280000,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.283380,21.406250,0.283500,0.070000,0.000000,0.000000,0.000000
0.050000,0.286880,21.406250,0.287000,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.290380,21.406250,0.290500,0.070000,0.000000,0.000000,0.000000
0.050000,0.293880,21.406250,0.294000,0.070000,0.000000,0.000000,0.000000
0.050000,0.297380,21.406250,0.297500,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.300880,21.406250,0.301000,0.070000,0.000000,0.000000,0.000000
0.050000,0.304380,21.406250,0.304500,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.307880,21.406250,0.308000,0.070000,0.000000,0.000000,0.000000
0.050000,0.311380,21.406250,0.311500,0.070000,0.000000,0.000000,0.000000
0.050000,0.314880,21.406250,0.315000,0.070000,0.000000,-0.000000,0.000000
0.050000,0.318380,21.406250,0.318500,0.070000,0.000000,0.000000,0.000000
0.050000,0.321880,21.406250,0.322000,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.325380,21.406250,0.325500,0.070000,0.000000,0.000000,0.000000
0.050000,0.328880,21.406250,0.329000,0.070000,0.000000,-0.000000,0.000000
0.050000,0.332380,21.406250,0.332500,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.335880,21.406250,0.336000,0.070000,0.000000,0.000000,0.000000
0.050000,0.339380,21.406250,0.339500,0.070000,-0.000000,-0.000000,0.000000
0.050000,0.342880,21.406250,0.343000,0.070000,0.000000,0.000000,0.000000
0.050000,0.346380,21.406250,0.346500,0.070000,0.000000,-0.000000,0.000000
