dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000136,24.600000,0.000292,0.011667,0.233333,4.666667,6.283182
0.050000,0.001043,24.600000,0.001199,0.018151,0.129689,-2.072890,6.283162
0.050000,0.002556,24.600000,0.002712,0.030252,0.242012,2.246458,6.283128
0.050000,0.004674,24.600000,0.004829,0.042352,0.242007,-0.000091,6.283081
0.050000,0.007396,24.599999,0.007552,0.054452,0.242001,-0.000128,6.283020
0.050000,0.010724,24.599999,0.010880,0.066552,0.241993,-0.000164,6.282945
0.050000,0.014354,24.599998,0.014510,0.072601,0.120982,-2.420209,6.282864
0.050000,0.017984,24.599996,0.018140,0.072600,-0.000022,-2.420081,6.282782
0.050000,0.021614,24.599995,0.021770,0.072599,-0.000022,-0.000000,6.282701
0.050000,0.025244,24.599993,0.025399,0.072598,-0.000022,-0.000000,6.282620
0.050000,0.028874,24.599991,0.029029,0.072596,-0.000022,-0.000000,6.282539
0.050000,0.032503,24.599988,0.032659,0.072595,-0.000022,-0.000000,6.282458
0.050000,0.036133,24.599985,0.036289,0.072594,-0.000022,-0.000000,6.282377
0.050000,0.039763,24.599982,0.039918,0.072593,-0.000022,-0.000000,6.282296
0.050000,0.043392,24.599979,0.043548,0.072592,-0.000022,-0.000000,6.282215
0.050000,0.047022,24.599975,0.047178,0.072591,-0.000022,-0.000000,6.282134
0.050000,0.050651,24.599971,0.050807,0.072590,-0.000022,-0.000000,6.282053
0.050000,0.054281,24.599967,0.054436,0.072589,-0.000022,-0.000000,6.281972
0.050000,0.057910,24.599962,0.058066,0.072588,-0.000022,-0.000000,6.281891
0.050000,0.061539,24.599958,0.061695,0.072587,-0.000022,-0.000000,6.281810
0.050000,0.065169,24.599953,0.065324,0.072585,-0.000022,-0.000000,6.281729
0.050000,0.068798,24.599947,0.068954,0.072584,-0.000022,-0.000000,6.281649
0.050000,0.072427,24.599941,0.072583,0.072583,-0.000022,0.000000,6.281568
0.050000,0.076056,24.599935,0.076212,0.072582,-0.000022,-0.000000,6.281487
0.050000,0.079685,24.599929,0.079841,0.072581,-0.000022,-0.000000,6.281407
0.050000,0.083314,24.599922,0.083470,0.072580,-0.000022,-0.000000,6.281326
0.050000,0.086943,24.599916,0.087099,0.072579,-0.000022,-0.000000,6.281245
0.050000,0.090572,24.599908,0.090728,0.072578,-0.000022,0.000000,6.281165
0.050000,0.094201,24.599901,0.094357,0.072577,-0.000022,-0.000000,6.281084
0.050000,0.097830,24.599893,0.097985,0.072576,-0.000022,-0.000000,6.281004
0.050000,0.101458,24.599885,0.101614,0.072574,-0.000022,-0.000000,6.280923
0.050000,0.105087,24.599877,0.105243,0.072573,-0.000022,-0.000000,6.280843
0.050000,0.108716,24.599868,0.108871,0.072572,-0.000022,-0.000000,6.280763
0.050000,0.112344,24.599859,0.112500,0.072571,-0.000022,-0.000000,6.280682
0.050000,0.115973,24.599850,0.116129,0.072570,-0.000022,-0.000000,6.280602
0.050000,0.119601,24.599840,0.119757,0.072569,-0.000022,-0.000000,6.280522
0.050000,0.123229,24.599831,0.123385,0.072568,-0.000022,-0.000000,6.280441
0.050000,0.126858,24.599820,0.127014,0.072567,-0.000022,-0.000000,6.280361
0.050000,0.130486,24.599810,0.130642,0.072566,-0.000022,-0.000000,6.280281
0.050000,0.134114,24.599799,0.134270,0.072565,-0.000022,-0.000000,6.280201
0.050000,0.137742,24.599788,0.137898,0.072564,-0.000022,-0.000000,6.280121
0.050000,0.141371,24.599777,0.141527,0.072562,-0.000022,-0.000000,6.280041
0.050000,0.144999,24.599766,0.145155,0.072561,-0.000022,-0.000000,6.279961
0.050000,0.148627,24.599754,0.148783,0.072560,-0.000022,-0.000000,6.279881
