dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000126,21.400000,0.000292,0.011667,0.233333,4.666667,6.283182
0.050000,0.000969,21.400000,0.001134,0.016849,0.103644,-2.593777,6.283162
0.050000,0.002373,21.400000,0.002538,0.028082,0.224655,2.420209,6.283128
0.050000,0.004338,21.400000,0.004504,0.039315,0.224659,0.000091,6.283081
0.050000,0.006866,21.399999,0.007031,0.050548,0.224666,0.000128,6.283020
0.050000,0.009955,21.399999,0.010120,0.061782,0.224674,0.000164,6.282945
0.050000,0.013325,21.399998,0.013490,0.067399,0.112351,-2.246458,6.282864
0.050000,0.016695,21.399997,0.016860,0.067400,0.000022,-2.246586,6.282782
0.050000,0.020065,21.399995,0.020230,0.067401,0.000022,0.000000,6.282701
0.050000,0.023435,21.399993,0.023601,0.067402,0.000022,-0.000000,6.282620
0.050000,0.026805,21.399991,0.026971,0.067404,0.000022,0.000000,6.282539
0.050000,0.030175,21.399989,0.030341,0.067405,0.000022,0.000000,6.282458
0.050000,0.033546,21.399986,0.033711,0.067406,0.000022,0.000000,6.282377
0.050000,0.036916,21.399984,0.037082,0.067407,0.000022,0.000000,6.282296
0.050000,0.040286,21.399980,0.040452,0.067408,0.000022,0.000000,6.282215
0.050000,0.043657,21.399977,0.043822,0.067409,0.000022,0.000000,6.282134
0.050000,0.047027,21.399973,0.047193,0.067410,0.000022,0.000000,6.282053
0.050000,0.050398,21.399969,0.050564,0.067411,0.000022,0.000000,6.281972
0.050000,0.053769,21.399965,0.053934,0.067412,0.000022,0.000000,6.281891
0.050000,0.057139,21.399961,0.057305,0.067413,0.000022,0.000000,6.281810
0.050000,0.060510,21.399956,0.060676,0.067415,0.000022,0.000000,6.281729
0.050000,0.063881,21.399951,0.064046,0.067416,0.000022,0.000000,6.281649
0.050000,0.067252,21.399946,0.067417,0.067417,0.000022,0.000000,6.281568
0.050000,0.070623,21.399940,0.070788,0.067418,0.000022,-0.000000,6.281487
0.050000,0.073993,21.399934,0.074159,0.067419,0.000022,0.000000,6.281407
0.050000,0.077364,21.399928,0.077530,0.067420,0.000022,0.000000,6.281326
0.050000,0.080735,21.399922,0.080901,0.067421,0.000022,0.000000,6.281245
0.050000,0.084107,21.399915,0.084272,0.067422,0.000022,0.000000,6.281165
0.050000,0.087478,21.399908,0.087643,0.067423,0.000022,-0.000000,6.281084
0.050000,0.090849,21.399901,0.091015,0.067424,0.000022,0.000000,6.281004
0.050000,0.094220,21.399893,0.094386,0.067425,0.000022,0.000000,6.280923
0.050000,0.097592,21.399885,0.097757,0.067427,0.000022,0.000000,6.280843
0.050000,0.100963,21.399877,0.101129,0.067428,0.000022,0.000000,6.280763
0.050000,0.104334,21.399869,0.104500,0.067429,0.000022,-0.000000,6.280682
0.050000,0.107706,21.399861,0.107871,0.067430,0.000022,0.000000,6.280602
0.050000,0.111077,21.399852,0.111243,0.067431,0.000022,0.000000,6.280522
0.050000,0.114449,21.399843,0.114615,0.067432,0.000022,0.000000,6.280441
0.050000,0.117821,21.399833,0.117986,0.067433,0.000022,0.000000,6.280361
0.050000,0.121192,21.399824,0.121358,0.067434,0.000022,0.000000,6.280281
0.050000,0.124564,21.399814,0.124730,0.067435,0.000022,0.000000,6.280201
0.050000,0.127936,21.399803,0.128102,0.067436,0.000022,0.000000,6.280121
0.050000,0.131308,21.399793,0.131473,0.067438,0.000022,0.000000,6.280041
0.050000,0.134680,21.399782,0.134845,0.067439,0.000022,0.000000,6.279961
0.050000,0.138052,21.399771,0.138217,0.067440,0.000022,0.000000,6.279881
0.050000,0.141424,21.399760,0.141589,0.067441,0.000022,0.000000,6.279801
0.050000,0.144796,21.399748,0.144962,0.067442,0.000022,0.000000,6.279721
0.050000,0.148168,21.399737,0.148334,0.067443,0.000022,0.000000,6.279641
0.050000,0.151540,21.399724,0.151706,0.067444,0.000022,0.000000,6.279561
0.050000,0.154912,21.399712,0.155078,0.067445,0.000022,0.000000,6.279481
0.050000,0.158285,21.399699,0.158450,0.067446,0.000022,0.000000,6.279401
0.050000,0.161657,21.399687,0.161823,0.067447,0.000022,0.000000,6.279322
0.050000,0.165029,21.399673,0.165195,0.067449,0.000022,0.000000,6.279242
0.050000,0.168402,21.399660,0.168568,0.067450,0.000022,0.000000,6.279162
0.050000,0.171774,21.399646,0.171940,0.067451,0.000022,0.000000,6.279082
0.050000,0.175147,21.399632,0.175313,0.067452,0.000022,0.000000,6.279003
0.050000,0.178520,21.399618,0.178686,0.067453,0.000022,0.000000,6.278923
0.050000,0.181892,21.399604,0.182058,0.067454,0.000022,0.000000,6.278844
0.050000,0.185265,21.399589,0.185431,0.067455,0.000022,-0.000000,6.278764
0.050000,0.188638,21.399574,0.188804,0.067456,0.000022,0.000000,6.278685
0.050000,0.192011,21.399558,0.192177,0.067457,0.000022,0.000000,6.278605
0.050000,0.195383,21.399543,0.195550,0.067458,0.000022,0.000000,6.278526
0.050000,0.198756,21.399527,0.198923,0.067460,0.000022,0.000000,6.278446
0.050000,0.202129,21.399511,0.202296,0.067461,0.000022,-0.000000,6.278367
0.050000,0.205502,21.399494,0.205669,0.067462,0.000022,0.000000,6.278288
0.050000,0.208876,21.399478,0.209042,0.067463,0.000022,0.000000,6.278208
0.050000,0.212249,21.399461,0.212415,0.067464,0.000022,0.000000,6.278129
0.050000,0.215622,21.399444,0.215788,0.067465,0.000022,0.000000,6.278050
0.050000,0.218995,21.399426,0.219162,0.067466,0.000022,-0.000000,6.277971
0.050000,0.222368,21.399409,0.222535,0.067467,0.000022,0.000000,6.277892
0.050000,0.225742,21.399391,0.225908,0.067468,0.000022,0.000000,6.277813
0.050000,0.229115,21.399372,0.229282,0.067470,0.000022,0.000000,6.277733
0.050000,0.232489,21.399354,0.232655,0.067471,0.000022,0.000000,6.277654
0.050000,0.235862,21.399335,0.236029,0.067472,0.000022,-0.000000,6.277575
0.050000,0.239236,21.399316,0.239403,0.067473,0.000022,0.000000,6.277496
0.050000,0.242609,21.399297,0.242776,0.067474,0.000022,0.000000,6.277417
0.050000,0.245983,21.399277,0.246150,0.067475,0.000022,0.000000,6.277339
0.050000,0.249357,21.399257,0.249524,0.067476,0.000022,0.000000,6.277260
0.050000,0.252731,21.399237,0.252898,0.067477,0.000022,0.000000,6.277181
0.050000,0.256105,21.399217,0.256272,0.067478,0.000022,0.000000,6.277102
0.050000,0.259479,21.399196,0.259646,0.067479,0.000022,0.000000,6.277023
0.050000,0.262852,21.399175,0.263020,0.067481,0.000022,0.000000,6.276945
0.050000,0.266226,21.399154,0.266394,0.067482,0.000022,0.000000,6.276866
0.050000,0.269601,21.399132,0.269768,0.067483,0.000022,0.000000,6.276787
0.050000,0.272975,21.399111,0.273142,0.067484,0.000022,0.000000,6.276709
0.050000,0.276349,21.399089,0.276516,0.067485,0.000022,0.000000,6.276630
0.050000,0.279723,21.399066,0.279891,0.067486,0.000022,0.000000,6.276551
0.050000,0.283097,21.399044,0.283265,0.067487,0.000022,0.000000,6.276473
0.050000,0.286472,21.399021,0.286639,0.067488,0.000022,0.000000,6.276394
0.050000,0.289846,21.398998,0.290014,0.067489,0.000022,0.000000,6.276316
0.050000,0.293221,21.398975,0.293388,0.067490,0.000022,0.000000,6.276238
0.050000,0.296595,21.398951,0.296763,0.067492,0.000022,0.000000,6.276159
0.050000,0.299970,21.398927,0.300138,0.067493,0.000022,0.000000,6.276081
0.050000,0.303344,21.398903,0.303512,0.067494,0.000022,0.000000,6.276002
0.050000,0.306719,21.398879,0.306887,0.067495,0.000022,0.000000,6.275924
0.050000,0.310094,21.398854,0.310262,0.067496,0.000022,0.000000,6.275846
0.050000,0.313468,21.398829,0.313637,0.067497,0.000022,0.000000,6.275768
0.050000,0.316843,21.398804,0.317012,0.067498,0.000022,0.000000,6.275690
0.050000,0.320218,21.398779,0.320387,0.067499,0.000022,0.000000,6.275611
0.050000,0.323593,21.398753,0.323762,0.067500,0.000022,0.000000,6.275533
0.050000,0.326968,21.398727,0.327137,0.067502,0.000022,0.000000,6.275455
0.050000,0.330343,21.398701,0.330512,0.067503,0.000022,0.000000,6.275377
0.050000,0.333718,21.398674,0.333887,0.067504,0.000022,0.000000,6.275299
0.050000,0.337093,21.398648,0.337262,0.067505,0.000022,0.000000,6.275221
0.050000,0.340468,21.398621,0.340638,0.067506,0.000022,0.000000,6.275143
0.050000,0.343844,21.398593,0.344013,0.067507,0.000022,0.000000,6.275065
0.050000,0.347219,21.398566,0.347388,0.067508,0.000022,0.000000,6.274987
0.050000,0.350594,21.398538,0.350764,0.067509,0.000022,0.000000,6.274910
0.050000,0.353970,21.398510,0.354139,0.067510,0.000022,0.000000,6.274832
0.050000,0.357345,21.398482,0.357515,0.067511,0.000022,0.000000,6.274754
0.050000,0.360721,21.398453,0.360890,0.067513,0.000022,0.000000,6.274676
0.050000,0.364096,21.398424,0.364266,0.067514,0.000022,0.000000,6.274599
0.050000,0.367472,21.398395,0.367642,0.067515,0.000022,0.000000,6.274521
