dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000924,24.600000,0.001250,0.050000,1.000000,20.000000,0.000097
0.050000,0.004133,24.600001,0.004460,0.064193,0.283868,-14.322642,0.000435
0.050000,0.009484,24.600005,0.009810,0.107007,0.856282,11.448278,0.000997
0.050000,0.016976,24.600015,0.017303,0.149849,0.856837,0.011103,0.001783
0.050000,0.026613,24.600037,0.026939,0.192730,0.857615,0.015557,0.002792
0.050000,0.038396,24.600077,0.038722,0.235661,0.858616,0.020023,0.004021
0.050000,0.052328,24.600143,0.052655,0.278653,0.859841,0.024504,0.005469
0.050000,0.068414,24.600245,0.068741,0.321718,0.861291,0.029001,0.007134
0.050000,0.086657,24.600392,0.086984,0.364866,0.862967,0.033517,0.009014
0.050000,0.107061,24.600597,0.107389,0.408109,0.864870,0.038052,0.011104
0.050000,0.129632,24.600874,0.129962,0.451459,0.867000,0.042604,0.013402
0.050000,0.154376,24.601237,0.154709,0.494927,0.869359,0.047173,0.015904
0.050000,0.181298,24.601701,0.181635,0.538525,0.871946,0.051757,0.018607
0.050000,0.210405,24.602285,0.210748,0.582263,0.874764,0.056352,0.021505
0.050000,0.241705,24.603007,0.242056,0.626153,0.877812,0.060952,0.024594
0.050000,0.275204,24.603886,0.275566,0.670208,0.881089,0.065554,0.027868
0.050000,0.310910,24.604943,0.311288,0.714438,0.884597,0.070147,0.031323
0.050000,0.348832,24.606200,0.349231,0.758854,0.888333,0.074726,0.034953
0.050000,0.388978,24.607681,0.389404,0.803469,0.892297,0.079280,0.038751
0.050000,0.431357,24.609408,0.431819,0.848294,0.896487,0.083800,0.042710
0.050000,0.475980,24.611407,0.476486,0.893339,0.900901,0.088273,0.046825
0.050000,0.522854,24.613704,0.523417,0.938615,0.905535,0.092688,0.051087
0.050000,0.571991,24.616325,0.572623,0.984135,0.910387,0.097033,0.055489
0.050000,0.623400,24.619298,0.624119,1.029907,0.915451,0.101294,0.060023
0.050000,0.677093,24.622650,0.677916,1.075943,0.920724,0.105458,0.064681
0.050000,0.733080,24.626411,0.734028,1.122253,0.926200,0.109511,0.069454
0.050000,0.791371,24.630610,0.792471,1.168847,0.931872,0.113440,0.074334
0.050000,0.851978,24.635276,0.853258,1.215734,0.937734,0.117233,0.079311
0.050000,0.914913,24.640438,0.916404,1.262923,0.943777,0.120876,0.084376
0.050000,0.980187,24.646129,0.981925,1.310422,0.949995,0.124359,0.089519
0.050000,1.047811,24.652377,1.049837,1.358241,0.956379,0.127671,0.094730
0.050000,1.117797,24.659213,1.120156,1.406387,0.962919,0.130803,0.099999
0.050000,1.190157,24.666669,1.192900,1.454868,0.969607,0.133750,0.105316
0.050000,1.264904,24.674773,1.268084,1.503689,0.976432,0.136503,0.110669
0.050000,1.342048,24.683557,1.345727,1.552858,0.983385,0.139062,0.116048
0.050000,1.421603,24.693049,1.425846,1.602381,0.990456,0.141424,0.121443
0.050000,1.503580,24.703280,1.508459,1.652263,0.997635,0.143591,0.126841
0.050000,1.587992,24.714277,1.593585,1.702509,1.004914,0.145567,0.132231
0.050000,1.674851,24.726069,1.681241,1.753123,1.012282,0.147359,0.137602
0.050000,1.764171,24.738682,1.771446,1.804109,1.019731,0.148975,0.142942
0.050000,1.855963,24.752143,1.864220,1.855472,1.027252,0.150430,0.148240
0.050000,1.950240,24.766476,1.959580,1.907214,1.034839,0.151735,0.153483
0.050000,2.047016,24.781706,2.057547,1.959338,1.042484,0.152910,0.158660
0.050000,2.146304,24.797854,2.158140,2.011847,1.050183,0.153974,0.163759
0.050000,2.248117,24.814941,2.261377,2.064744,1.057931,0.154954,0.168767
0.050000,2.352469,24.832987,2.367278,2.118030,1.065724,0.155868,0.173672
0.050000,2.459376,24.852009,2.475864,2.171708,1.073562,0.156752,0.178462
0.050000,2.568850,24.872022,2.587153,2.225780,1.081443,0.157631,0.183125
0.050000,2.680909,24.893040,2.701165,2.280249,1.089370,0.158539,0.187649
0.050000,2.795567,24.915074,2.817921,2.335116,1.097346,0.159511,0.192020
0.050000,2.912841,24.938133,2.937440,2.390385,1.105375,0.160581,0.196227
0.050000,3.032748,24.962223,3.059743,2.446058,1.113464,0.161791,0.200256
0.050000,3.155306,24.987347,3.184850,2.502139,1.121623,0.163176,0.204095
0.050000,3.280534,25.013507,3.312782,2.558632,1.129862,0.164782,0.207732
0.050000,3.408453,25.040701,3.443559,2.615542,1.138195,0.166647,0.211152
0.050000,3.539083,25.068923,3.577203,2.672874,1.146636,0.168818,0.214344
0.050000,3.672446,25.098164,3.713734,2.730634,1.155202,0.171338,0.217293
0.050000,3.808567,25.128412,3.853176,2.788830,1.163915,0.174255,0.219985
0.050000,3.947471,25.159653,3.995549,2.847469,1.172796,0.177612,0.222408
0.050000,4.089184,25.191865,4.140877,2.906563,1.181869,0.181461,0.224547
0.050000,4.233736,25.225024,4.289183,2.966121,1.191161,0.185847,0.226387
0.050000,4.381156,25.259103,4.440491,3.026156,1.200702,0.190821,0.227913
0.050000,4.531477,25.294069,4.594825,3.086682,1.210524,0.196431,0.229111
0.050000,4.684734,25.329883,4.752211,3.147715,1.220660,0.202728,0.229963
0.050000,4.840963,25.366503,4.912675,3.209273,1.231148,0.209760,0.230455
0.050000,5.000204,25.403879,5.076243,3.271374,1.242027,0.217577,0.230568
0.050000,5.162499,25.441958,5.242945,3.334041,1.253338,0.226224,0.230286
0.050000,5.327891,25.480679,5.412810,3.397297,1.265126,0.235748,0.229589
0.050000,5.496430,25.519974,5.585869,3.461169,1.277435,0.246190,0.228458
0.050000,5.668163,25.559768,5.762153,3.525685,1.290315,0.257588,0.226875
0.050000,5.843146,25.599980,5.941697,3.590875,1.303813,0.269971,0.224816
0.050000,6.021434,25.640519,6.124535,3.656774,1.317981,0.283361,0.222260
0.050000,6.203087,25.681285,6.310706,3.723418,1.332870,0.297768,0.219185
0.050000,6.388167,25.722171,6.500249,3.790844,1.348529,0.313185,0.215565
0.050000,6.576740,25.763057,6.693203,3.859095,1.365008,0.329584,0.211374
0.050000,6.768876,25.803813,6.889614,3.928212,1.382354,0.346911,0.206586
0.050000,6.964646,25.844298,7.089526,3.998243,1.400607,0.365076,0.201172
0.050000,7.164125,25.884357,7.292988,4.069233,1.419805,0.383948,0.195102
0.050000,7.367390,25.923823,7.500049,4.141232,1.439972,0.403338,0.188345
0.050000,7.574522,25.962512,7.710764,4.214288,1.461121,0.422995,0.180867
0.050000,7.784287,25.999996,7.923851,4.261748,0.949198,-10.238462,0.172687
0.050000,7.995416,26.035872,8.138007,4.283115,0.427356,-10.436848,0.163839
0.050000,8.207939,26.069978,8.353249,4.304839,0.434464,0.142162,0.154312
0.050000,8.421880,26.102150,8.569595,4.326919,0.441618,0.143085,0.144095
0.050000,8.637259,26.132214,8.787062,4.349354,0.448694,0.141524,0.133177
0.050000,8.854094,26.159993,9.005669,4.372132,0.455550,0.137101,0.121547
0.050000,9.072393,26.185303,9.225431,4.395233,0.462021,0.129420,0.109196
0.050000,9.292160,26.207955,9.446362,4.418629,0.467924,0.118063,0.096112
0.050000,9.513390,26.227754,9.668476,4.442282,0.473054,0.102598,0.082290
0.050000,9.736068,26.244500,9.891783,4.466141,0.477184,0.082604,0.067722
0.050000,9.960170,26.257989,10.116290,4.490144,0.480067,0.057673,0.052404
0.050000,10.185658,26.268012,10.342001,4.514216,0.481440,0.027445,0.036333
0.050000,10.412482,26.274360,10.568914,4.538267,0.481021,-0.008376,0.019510
0.050000,10.640579,26.276819,10.797024,4.562193,0.478522,-0.049978,0.001940
0.050000,10.869867,26.275176,11.026318,4.585876,0.473651,-0.097424,6.266815
0.050000,11.100249,26.269222,11.256777,4.609182,0.466121,-0.150601,6.247775
0.050000,11.331610,26.258750,11.488375,4.631965,0.455661,-0.209193,6.228024
0.050000,11.563817,26.243557,11.721079,4.654066,0.442029,-0.272646,6.207582
0.050000,11.796717,26.223452,11.954844,4.675317,0.425022,-0.340143,6.186476
0.050000,12.030138,26.198254,12.189622,4.695542,0.404492,-0.410591,6.164737
0.050000,12.263890,26.167795,12.425350,4.714560,0.380361,-0.482624,6.142404
0.050000,12.497764,26.131926,12.661959,4.732192,0.352630,-0.554620,6.119520
0.050000,12.731538,26.090514,12.899372,4.748261,0.321392,-0.624751,6.096133
0.050000,12.964971,26.043452,13.137502,4.762603,0.286841,-0.691038,6.072298
0.050000,13.197814,25.990656,13.376256,4.775067,0.249268,-0.751453,6.048074
0.050000,13.429807,25.932069,13.615532,4.785520,0.209068,-0.804004,6.023523
0.050000,13.660684,25.867662,13.855224,4.793856,0.166725,-0.846859,5.998711
0.050000,13.890179,25.797433,14.095224,4.799996,0.122802,-0.878463,5.973707
0.050000,14.118026,25.721412,14.335419,4.803892,0.077921,-0.897618,5.948581
0.050000,14.343965,25.639656,14.575695,4.805529,0.032741,-0.903592,5.923405
0.050000,14.567748,25.552250,14.815942,4.804926,-0.012066,-0.896147,5.898247
0.050000,14.789135,25.459305,15.056048,4.802134,-0.055845,-0.875566,5.873176
0.050000,15.007907,25.360956,15.295910,4.797235,-0.097976,-0.842636,5.848259
0.050000,15.223861,25.257358,15.535427,4.790340,-0.137905,-0.798566,5.823557
0.050000,15.436814,25.148686,15.774506,4.781582,-0.175152,-0.744947,5.799129
0.050000,15.646607,25.035127,16.013062,4.771116,-0.209332,-0.683607,5.775028
0.050000,15.853103,24.916881,16.251017,4.759108,-0.240158,-0.616520,5.751302
0.050000,16.056190,24.794158,16.488304,4.745736,-0.267442,-0.545678,5.727995
0.050000,16.255776,24.667171,16.724863,4.731181,-0.291094,-0.473037,5.705142
0.050000,16.451793,24.536136,16.960644,4.715625,-0.311112,-0.400364,5.682776
0.050000,16.644194,24.401270,17.195607,4.699247,-0.327574,-0.329226,5.660921
0.050000,16.832952,24.262785,17.429718,4.682215,-0.340621,-0.260939,5.639599
0.050000,17.018059,24.120890,17.662952,4.664693,-0.350449,-0.196561,5.618825
0.050000,17.199521,23.975790,17.895294,4.646828,-0.357292,-0.136859,5.598609
0.050000,17.377360,23.827679,18.126732,4.628758,-0.361408,-0.082327,5.578958
0.050000,17.551611,23.676747,18.357262,4.610604,-0.363073,-0.033300,5.559874
0.050000,17.722321,23.523172,18.586886,4.592476,-0.362565,0.010156,5.541357
0.050000,17.889543,23.367123,18.815609,4.574468,-0.360159,0.048120,5.523403
0.050000,18.053342,23.208763,19.043442,4.556662,-0.356121,0.080752,5.506006
0.050000,18.101290,23.158938,19.112591,1.382982,-63.473612,-1262.349810,5.587808
0.050000,18.068453,23.183110,19.153366,0.815498,-11.349664,1042.478963,5.738312
0.050000,18.084722,23.175171,19.171469,0.362061,-9.068749,45.618294,5.851998
0.050000,18.153197,23.147466,19.245336,1.477339,22.305570,627.486387,5.930820
0.050000,18.268530,23.108716,19.367005,2.433388,19.120972,-63.691968,5.979769
0.050000,18.424537,23.062280,19.529776,3.255411,16.440463,-53.610178,6.003035
0.050000,18.617187,23.007228,19.730138,4.007233,15.036447,-28.080324,6.002809
0.050000,18.845191,22.939053,19.968116,4.759568,15.046686,0.204777,5.979069
0.050000,19.109530,22.849331,20.247267,5.583023,16.469114,28.448564,5.929582
0.050000,19.411808,22.724486,20.574312,6.540896,19.157449,53.766700,5.850125
0.050000,19.749844,22.544767,20.957153,7.656817,22.318415,63.219330,5.735718
0.050000,20.108710,22.287628,21.398634,8.829620,23.456060,22.752897,5.584529
0.050000,20.452144,21.942518,21.885510,9.737513,18.157869,-105.963831,5.404821
0.050000,20.733051,21.530826,22.383906,9.967924,4.608209,-270.993181,5.217868
0.050000,20.925311,21.099541,22.856103,9.443947,-10.479521,-301.754613,5.047387
0.050000,21.036102,20.688078,23.282221,8.522356,-18.431826,-159.046093,4.905840
0.050000,21.087592,20.312177,23.661633,7.588232,-18.682480,-5.013093,4.793584
0.050000,21.100000,19.982708,23.991335,6.594050,-19.883647,-24.023331,4.712389
0.050000,21.100000,19.782708,24.191335,4.000000,-51.880997,-639.946991,4.712389
0.050000,21.100000,19.582708,24.391335,4.000000,-0.000000,1037.619932,4.712389
0.050000,21.100000,19.382708,24.591335,4.000000,-0.000000,-0.000000,4.712389
0.050000,21.100000,19.182708,24.791335,4.000000,0.000000,0.000000,4.712389
0.050000,21.100000,18.982708,24.991335,4.000000,0.000000,-0.000000,4.712389
0.050000,21.100000,18.782708,25.191335,4.000000,0.000000,-0.000000,4.712389
0.050000,21.100000,18.582708,25.391335,4.000000,-0.000000,-0.000000,4.712389
0.050000,21.100000,18.382708,25.591335,4.000000,-0.000000,-0.000000,4.712389
0.050000,21.100000,18.182708,25.791335,4.000000,0.000000,0.000000,4.712389
