dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001235,21.400000,0.001250,0.050000,1.000000,20.000000,0.000097
0.050000,0.005525,21.400001,0.005540,0.085807,0.716132,-5.677359,0.000435
0.050000,0.012675,21.400006,0.012690,0.142993,1.143718,8.551721,0.000997
0.050000,0.022682,21.400020,0.022697,0.200151,1.143163,-0.011105,0.001783
0.050000,0.035546,21.400050,0.035561,0.257270,1.142385,-0.015559,0.002792
0.050000,0.051263,21.400103,0.051278,0.314339,1.141384,-0.020026,0.004021
0.050000,0.069830,21.400191,0.069845,0.371347,1.140158,-0.024506,0.005469
0.050000,0.091244,21.400326,0.091259,0.428282,1.138708,-0.029005,0.007134
0.050000,0.115500,21.400522,0.115516,0.485134,1.137032,-0.033520,0.009014
0.050000,0.142593,21.400795,0.142611,0.541890,1.135129,-0.038055,0.011104
0.050000,0.172517,21.401161,0.172538,0.598540,1.132999,-0.042608,0.013402
0.050000,0.205268,21.401641,0.205291,0.655072,1.130640,-0.047178,0.015904
0.050000,0.240836,21.402255,0.240865,0.711475,1.128052,-0.051762,0.018607
0.050000,0.279215,21.403025,0.279252,0.767737,1.125234,-0.056357,0.021505
0.050000,0.320397,21.403975,0.320444,0.823846,1.122186,-0.060958,0.024594
0.050000,0.364371,21.405128,0.364434,0.879791,1.118908,-0.065558,0.027868
0.050000,0.411129,21.406513,0.411212,0.935561,1.115401,-0.070153,0.031323
0.050000,0.460659,21.408155,0.460769,0.991145,1.111664,-0.074730,0.034953
0.050000,0.512950,21.410083,0.513096,1.046530,1.107700,-0.079285,0.038751
0.050000,0.567989,21.412326,0.568181,1.101705,1.103510,-0.083804,0.042710
0.050000,0.625764,21.414914,0.626014,1.156660,1.099096,-0.088277,0.046825
0.050000,0.686261,21.417879,0.686583,1.211383,1.094461,-0.092692,0.051087
0.050000,0.749464,21.421250,0.749876,1.265864,1.089610,-0.097036,0.055489
0.050000,0.815358,21.425061,0.815881,1.320091,1.084545,-0.101297,0.060023
0.050000,0.883928,21.429342,0.884583,1.374054,1.079272,-0.105460,0.064681
0.050000,0.955154,21.434126,0.955971,1.427744,1.073796,-0.109513,0.069454
0.050000,1.029021,21.439447,1.030028,1.481150,1.068124,-0.113442,0.074334
0.050000,1.105507,21.445335,1.106741,1.534263,1.062262,-0.117233,0.079311
0.050000,1.184595,21.451822,1.186095,1.587074,1.056218,-0.120876,0.084376
0.050000,1.266264,21.458942,1.268074,1.639574,1.050001,-0.124358,0.089519
0.050000,1.350493,21.466724,1.352661,1.691755,1.043617,-0.127668,0.094730
0.050000,1.437261,21.475200,1.439842,1.743609,1.037077,-0.130802,0.099999
0.050000,1.526545,21.484399,1.529598,1.795129,1.030390,-0.133745,0.105316
0.050000,1.618322,21.494350,1.621914,1.846307,1.023565,-0.136499,0.110669
0.050000,1.712570,21.505080,1.716771,1.897137,1.016612,-0.139057,0.116048
0.050000,1.809265,21.516618,1.814151,1.947615,1.009541,-0.141418,0.121443
0.050000,1.908383,21.528987,1.914038,1.997733,1.002362,-0.143584,0.126841
0.050000,2.009899,21.542213,2.016412,2.047487,0.995084,-0.145560,0.132231
0.050000,2.113790,21.556316,2.121256,2.096873,0.987716,-0.147351,0.137602
0.050000,2.220030,21.571319,2.228550,2.145886,0.980268,-0.148968,0.142942
0.050000,2.328595,21.587239,2.338276,2.194523,0.972747,-0.150419,0.148240
0.050000,2.439460,21.604094,2.450415,2.242781,0.965161,-0.151725,0.153483
0.050000,2.552601,21.621898,2.564948,2.290657,0.957516,-0.152900,0.158660
0.050000,2.667992,21.640665,2.681856,2.338148,0.949818,-0.153965,0.163759
0.050000,2.785610,21.660405,2.801118,2.385252,0.942071,-0.154941,0.168767
0.050000,2.905430,21.681125,2.922717,2.431966,0.934278,-0.155859,0.173672
0.050000,3.027428,21.702832,3.046631,2.478288,0.926441,-0.156740,0.178462
0.050000,3.151581,21.725528,3.172842,2.524216,0.918560,-0.157620,0.183125
