dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001217,5.600000,0.001250,0.050000,1.000000,20.000000,6.283093
0.050000,0.005486,5.599999,0.005519,0.085378,0.707565,-5.848695,6.282768
0.050000,0.012600,5.599994,0.012633,0.142280,1.138044,8.609571,6.282228
0.050000,0.022558,5.599981,0.022591,0.199158,1.137544,-0.009998,6.281474
0.050000,0.035358,5.599953,0.035391,0.256000,1.136843,-0.014009,6.280505
0.050000,0.050998,5.599901,0.051031,0.312797,1.135942,-0.018032,6.279324
0.050000,0.069475,5.599817,0.069508,0.369539,1.134838,-0.022068,6.277932
0.050000,0.090785,5.599688,0.090818,0.426215,1.133532,-0.026121,6.276331
0.050000,0.114925,5.599501,0.114959,0.482817,1.132023,-0.030191,6.274525
0.050000,0.141891,5.599240,0.141926,0.539332,1.130309,-0.034279,6.272514
0.050000,0.171676,5.598889,0.171713,0.595752,1.128390,-0.038387,6.270303
0.050000,0.204276,5.598430,0.204317,0.652065,1.126264,-0.042510,6.267895
0.050000,0.239684,5.597843,0.239730,0.708261,1.123932,-0.046651,6.265293
0.050000,0.277894,5.597105,0.277946,0.764331,1.121391,-0.050804,6.262501
0.050000,0.318897,5.596196,0.318959,0.820263,1.118643,-0.054968,6.259524
0.050000,0.362685,5.595091,0.362762,0.876047,1.115686,-0.059134,6.256367
0.050000,0.409250,5.593764,0.409345,0.931673,1.112521,-0.063302,6.253033
0.050000,0.458581,5.592189,0.458702,0.987131,1.109148,-0.067461,6.249529
0.050000,0.510669,5.590340,0.510822,1.042409,1.105568,-0.071604,6.245860
0.050000,0.565502,5.588187,0.565697,1.097498,1.101782,-0.075725,6.242032
0.050000,0.623067,5.585701,0.623317,1.152388,1.097791,-0.079810,6.238051
0.050000,0.683354,5.582854,0.683670,1.207068,1.093599,-0.083853,6.233924
0.050000,0.746347,5.579613,0.746747,1.261528,1.089206,-0.087840,6.229657
0.050000,0.812033,5.575948,0.812534,1.315759,1.084618,-0.091764,6.225259
0.050000,0.880396,5.571828,0.881022,1.369751,1.079838,-0.095607,6.220735
0.050000,0.951422,5.567221,0.952197,1.423494,1.074870,-0.099363,6.216095
0.050000,1.025092,5.562095,1.026046,1.476980,1.069719,-0.103016,6.211345
0.050000,1.101391,5.556418,1.102556,1.530200,1.064391,-0.106557,6.206495
0.050000,1.180301,5.550158,1.181713,1.583145,1.058893,-0.109972,6.201553
0.050000,1.261802,5.543283,1.263503,1.635806,1.053230,-0.113253,6.196528
0.050000,1.345875,5.535762,1.347912,1.688177,1.047410,-0.116388,6.191428
0.050000,1.432500,5.527565,1.434925,1.740249,1.041442,-0.119368,6.186264
0.050000,1.521657,5.518661,1.524525,1.792015,1.035333,-0.122187,6.181045
0.050000,1.613325,5.509021,1.616699,1.843470,1.029091,-0.124836,6.175780
0.050000,1.707483,5.498615,1.711429,1.894606,1.022725,-0.127312,6.170480
0.050000,1.804107,5.487417,1.808700,1.945418,1.016245,-0.129612,6.165154
0.050000,1.903176,5.475400,1.908495,1.995901,1.009658,-0.131734,6.159814
0.050000,2.004666,5.462538,2.010798,2.046050,1.002974,-0.133680,6.154468
0.050000,2.108556,5.448808,2.115591,2.095860,0.996201,-0.135454,6.149129
0.050000,2.214821,5.434188,2.222857,2.145327,0.989349,-0.137057,6.143806
0.050000,2.323439,5.418655,2.332579,2.194449,0.982423,-0.138503,6.138511
0.050000,2.434385,5.402192,2.444740,2.243220,0.975433,-0.139798,6.133254
0.050000,2.547636,5.384780,2.559322,2.291640,0.968386,-0.140954,6.128046
0.050000,2.663169,5.366405,2.676308,2.339704,0.961286,-0.141989,6.122899
0.050000,2.780961,5.347052,2.795678,2.387411,0.954140,-0.142920,6.117824
0.050000,2.900987,5.326712,2.917416,2.434758,0.946952,-0.143761,6.112831
0.050000,3.023226,5.305373,3.041503,2.481745,0.939725,-0.144542,6.107933
0.050000,3.147654,5.283031,3.167922,2.528368,0.932461,-0.145280,6.103140
0.050000,3.274250,5.259681,3.296653,2.574626,0.925161,-0.146003,6.098464
0.050000,3.402992,5.235320,3.427679,2.620517,0.917824,-0.146738,6.093917
0.050000,3.533857,5.209949,3.560981,2.666039,0.910448,-0.147516,6.089509
0.050000,3.666826,5.183573,3.696540,2.711191,0.903030,-0.148366,6.085253
0.050000,3.801877,5.156197,3.834339,2.755969,0.895564,-0.149320,6.081160
0.050000,3.938992,5.127830,3.974357,2.800371,0.888043,-0.150415,6.077242
0.050000,4.078152,5.098485,4.116577,2.844394,0.880459,-0.151683,6.073511
0.050000,4.219337,5.068177,4.260979,2.888034,0.872801,-0.153160,6.069979
0.050000,4.362530,5.036923,4.407543,2.931287,0.865057,-0.154886,6.066657
0.050000,4.507715,5.004747,4.556251,2.974148,0.857212,-0.156896,6.063559
0.050000,4.654874,4.971672,4.707081,3.016610,0.849250,-0.159232,6.060696
0.050000,4.803993,4.937727,4.860014,3.058668,0.841154,-0.161932,6.058081
0.050000,4.955056,4.902945,5.015030,3.100313,0.832902,-0.165038,6.055728
0.050000,5.108049,4.867361,5.172107,3.141537,0.824472,-0.168591,6.053648
0.050000,5.262959,4.831015,5.331223,3.182329,0.815841,-0.172634,6.051857
0.050000,5.419772,4.793950,5.492357,3.222678,0.806980,-0.177207,6.050367
0.050000,5.578476,4.756216,5.655486,3.262571,0.797863,-0.182355,6.049193
0.050000,5.739059,4.717863,5.820585,3.301994,0.788457,-0.188121,6.048349
0.050000,5.901510,4.678948,5.987632,3.340930,0.778729,-0.194546,6.047851
0.050000,6.065817,4.639534,6.156600,3.379362,0.768646,-0.201674,6.047715
0.050000,6.231969,4.599687,6.327464,3.417271,0.758168,-0.209545,6.047957
0.050000,6.399955,4.559477,6.500195,3.454634,0.747258,-0.218199,6.048593
0.050000,6.569765,4.518981,6.674767,3.491428,0.735875,-0.227672,6.049642
0.050000,6.741387,4.478283,6.851148,3.527626,0.723975,-0.237997,6.051123
0.050000,6.914809,4.437470,7.029308,3.563202,0.711515,-0.249202,6.053054
0.050000,7.090020,4.396636,7.209214,3.598125,0.698450,-0.261306,6.055456
0.050000,7.267006,4.355882,7.390832,3.632361,0.684734,-0.274320,6.058351
0.050000,7.445755,4.315315,7.574126,3.665877,0.670321,-0.288242,6.061761
0.050000,7.626250,4.275049,7.759058,3.698636,0.655169,-0.303052,6.065710
0.050000,7.808474,4.235205,7.945588,3.730597,0.639233,-0.318709,6.070222
0.050000,7.992410,4.195912,8.133674,3.761721,0.622476,-0.335144,6.075325
0.050000,8.178037,4.157307,8.323272,3.791964,0.604863,-0.352256,6.081044
0.050000,8.364168,4.119765,8.513153,3.797606,0.112829,-9.840683,6.087369
0.050000,8.549635,4.083631,8.702106,3.779072,-0.370677,-9.670122,6.094273
0.050000,8.734432,4.049006,8.890119,3.760254,-0.376364,-0.113746,6.101765
0.050000,8.918552,4.015991,9.077176,3.741140,-0.382283,-0.118375,6.109854
0.050000,9.101986,3.984684,9.263262,3.721721,-0.388367,-0.121689,6.118550
0.050000,9.284720,3.955188,9.448362,3.701994,-0.394541,-0.123476,6.127862
0.050000,9.466740,3.927602,9.632459,3.681958,-0.400716,-0.123494,6.137800
0.050000,9.648025,3.902026,9.815540,3.661619,-0.406790,-0.121484,6.148374
0.050000,9.828556,3.878560,9.997590,3.640986,-0.412648,-0.117163,6.159593
0.050000,10.008307,3.857301,10.178594,3.620079,-0.418160,-0.110230,6.171464
0.050000,10.187252,3.838349,10.358540,3.598920,-0.423178,-0.100375,6.183998
0.050000,10.365362,3.821800,10.537417,3.577542,-0.427542,-0.087280,6.197199
0.050000,10.542606,3.807749,10.715216,3.555989,-0.431074,-0.070630,6.211073
0.050000,10.718949,3.796288,10.891932,3.534310,-0.433580,-0.050129,6.225625
0.050000,10.894358,3.787508,11.067560,3.512567,-0.434856,-0.025508,6.240856
0.050000,11.068796,3.781499,11.242102,3.490833,-0.434683,0.003451,6.256766
0.050000,11.242227,3.778343,11.415561,3.469191,-0.432838,0.036898,6.273353
0.050000,11.414614,3.778125,11.587948,3.447736,-0.429094,0.074891,0.007425
0.050000,11.585919,3.780921,11.759277,3.426575,-0.423225,0.117371,0.025343
0.050000,11.756109,3.786805,11.929568,3.405824,-0.415018,0.164143,0.043909
0.050000,11.925148,3.795849,12.098848,3.385610,-0.404276,0.214846,0.063107
0.050000,12.093004,3.808116,12.267152,3.366069,-0.390829,0.268940,0.082916
0.050000,12.259646,3.823668,12.434519,3.347342,-0.374544,0.325693,0.103310
0.050000,12.425050,3.842561,12.600998,3.329575,-0.355335,0.384180,0.124258
0.050000,12.589190,3.864846,12.766644,3.312916,-0.333171,0.443283,0.145728
0.050000,12.752046,3.890569,12.931519,3.297512,-0.308085,0.501727,0.167678
0.050000,12.913603,3.919772,13.095694,3.283503,-0.280180,0.558101,0.190067
0.050000,13.073848,3.952492,13.259245,3.271021,-0.249634,0.610918,0.212845
0.050000,13.232771,3.988761,13.422255,3.260186,-0.216700,0.658675,0.235962
0.050000,13.390367,4.028605,13.584810,3.251101,-0.181704,0.699928,0.259363
0.050000,13.546634,4.072048,13.747002,3.243849,-0.145036,0.733355,0.282990
0.050000,13.701569,4.119106,13.908927,3.238492,-0.107143,0.757851,0.306785
0.050000,13.855176,4.169793,14.070680,3.235066,-0.068515,0.772574,0.330687
0.050000,14.007456,4.224116,14.232359,3.233583,-0.029664,0.777017,0.354635
0.050000,14.158412,4.282078,14.394061,3.234028,0.008887,0.771012,0.378569
0.050000,14.308048,4.343675,14.555879,3.236359,0.046626,0.754777,0.402430
0.050000,14.456365,4.408900,14.717904,3.240512,0.083069,0.728856,0.426162
0.050000,14.603365,4.477739,14.880224,3.246401,0.117776,0.694143,0.449710
0.050000,14.749048,4.550170,15.042920,3.253919,0.150363,0.651745,0.473022
0.050000,14.893413,4.626169,15.206068,3.262945,0.180514,0.603015,0.496053
0.050000,15.036457,4.705702,15.369735,3.273344,0.207982,0.549369,0.518759
0.050000,15.178175,4.788730,15.533983,3.284974,0.232598,0.492313,0.541101
0.050000,15.318560,4.875211,15.698868,3.297687,0.254262,0.433295,0.563047
0.050000,15.457606,4.965092,15.864434,3.311334,0.272947,0.373684,0.584565
0.050000,15.595304,5.058318,16.030723,3.325769,0.288683,0.314717,0.605633
0.050000,15.731645,5.154828,16.197765,3.340846,0.301556,0.257474,0.626230
0.050000,15.866620,5.254556,16.365587,3.356431,0.311697,0.202816,0.646340
0.050000,16.000221,5.357432,16.534207,3.372395,0.319270,0.151458,0.665951
0.050000,16.132438,5.463382,16.703637,3.388618,0.324464,0.103881,0.685055
0.050000,16.263264,5.572329,16.873887,3.404992,0.327486,0.060438,0.703647
0.050000,16.392693,5.684194,17.044958,3.421420,0.328550,0.021282,0.721726
0.050000,16.520717,5.798894,17.216849,3.437813,0.327873,-0.013534,0.739293
0.050000,16.647333,5.916347,17.389554,3.454097,0.325669,-0.044084,0.756351
0.050000,16.772539,6.036469,17.563064,3.470204,0.322143,-0.070520,0.772906
0.050000,16.918405,6.180371,17.767966,4.098043,12.556789,244.692907,0.769826
0.050000,17.130506,6.374471,18.055475,5.750178,33.042700,409.718224,0.715110
0.050000,17.323251,6.536021,18.306968,5.029870,-14.406165,-948.977303,0.682920
0.050000,17.493153,6.672236,18.524733,4.355287,-13.491663,18.290058,0.671816
0.050000,17.637567,6.787750,18.709662,3.698584,-13.134067,7.151912,0.681235
0.050000,17.753878,6.884545,18.860981,3.026376,-13.444152,-6.201695,0.711657
0.050000,17.839578,6.961968,18.976475,2.309878,-14.329956,-17.716084,0.764465
0.050000,17.893323,7.017035,19.053423,1.538964,-15.418291,-21.766711,0.841361
0.050000,17.917065,7.045833,19.090746,0.746458,-15.850108,-8.636340,0.943025
0.050000,17.918284,7.047149,19.092539,0.035865,-14.211873,32.764713,1.066922
0.050000,17.909356,7.027558,19.114069,0.430593,7.894575,442.128955,1.205388
0.050000,17.901789,7.002851,19.139908,0.516781,1.723751,-123.416481,1.346551
0.050000,17.899747,6.991477,19.151464,0.231125,-5.713116,-148.737346,1.478777
0.050000,17.900000,7.044130,19.204118,1.053074,16.438982,443.041976,1.570796
0.050000,17.900000,7.244130,19.404118,4.000000,58.938516,849.990670,1.570796
0.050000,17.900000,7.444130,19.604118,4.000000,-0.000000,-1178.770318,1.570796
0.050000,17.900000,7.644130,19.804118,4.000000,-0.000000,0.000000,1.570796
0.050000,17.900000,7.844130,20.004118,4.000000,0.000000,0.000000,1.570796
0.050000,17.900000,8.044130,20.204118,4.000000,0.000000,-0.000000,1.570796
0.050000,17.900000,8.244130,20.404118,4.000000,0.000000,-0.000000,1.570796
0.050000,17.900000,8.444130,20.604118,4.000000,-0.000000,-0.000000,1.570796
0.050000,17.900000,8.644130,20.804118,4.000000,-0.000000,-0.000000,1.570796
0.050000,17.900000,8.844130,21.004118,4.000000,-0.000000,0.000000,1.570796
0.050000,17.900000,9.044130,21.204118,4.000000,0.000000,0.000000,1.570796
0.050000,17.900000,9.244130,21.404118,4.000000,0.000000,0.000000,1.570796
0.050000,17.900000,9.444130,21.604118,4.000000,0.000000,-0.000000,1.570796
0.050000,17.900000,9.644130,21.804118,4.000000,-0.000000,-0.000000,1.570796
0.050000,17.900000,9.844130,22.004118,4.000000,0.000000,0.000000,1.570796
0.050000,17.900000,10.044130,22.204118,4.000000,0.000000,0.000000,1.570796
0.050000,17.900000,10.244130,22.404118,4.000000,-0.000000,-0.000000,1.570796
0.050000,17.900000,10.444130,22.604118,4.000000,0.000000,0.000000,1.570796
0.050000,17.900000,10.644130,22.804118,4.000000,0.000000,0.000000,1.570796
0.050000,17.900000,10.844130,23.004118,4.000000,-0.000000,-0.000000,1.570796
0.050000,17.900000,11.044130,23.204118,4.000000,0.000000,0.000000,1.570796
0.050000,17.900000,11.244130,23.404118,4.000000,0.000000,0.000000,1.570796
0.050000,17.900000,11.444130,23.604118,4.000000,-0.000000,-0.000000,1.570796
0.050000,17.900000,11.644130,23.804118,4.000000,0.000000,0.000000,1.570796
0.050000,17.900000,11.844130,24.004118,4.000000,-0.000000,-0.000000,1.570796
0.050000,17.900000,12.044130,24.204118,4.000000,0.000000,0.000000,1.570796
0.050000,17.900000,12.244130,24.404118,4.000000,-0.000000,-0.000000,1.570796
0.050000,17.900000,12.444130,24.604118,4.000000,0.000000,0.000000,1.570796
0.050000,17.900000,12.644130,24.804118,4.000000,0.000000,0.000000,1.570796
0.050000,17.900000,12.844130,25.004118,4.000000,0.000000,-0.000000,1.570796
0.050000,17.900000,13.044130,25.204118,4.000000,-0.000000,-0.000000,1.570796
0.050000,17.900000,13.244130,25.404118,4.000000,0.000000,0.000000,1.570796
0.050000,17.900000,13.444130,25.604118,4.000000,-0.000000,-0.000000,1.570796
0.050000,17.900000,13.644130,25.804118,4.000000,0.000000,0.000000,1.570796
0.050000,17.900000,13.844130,26.004118,4.000000,-0.000000,-0.000000,1.570796
0.050000,17.900000,14.044130,26.204118,4.000000,0.000000,0.000000,1.570796
0.050000,17.900000,14.244130,26.404118,4.000000,0.000000,0.000000,1.570796
0.050000,17.900000,14.443988,26.603975,3.997152,-0.056966,-1.139323,1.570796
0.050000,17.900000,14.642453,26.802440,3.969303,-0.556966,-10.000000,1.570796
0.050000,17.900000,14.838418,26.998405,3.919303,-1.000000,-8.860677,1.570796
0.050000,17.900000,15.031883,27.191871,3.869303,-1.000000,0.000000,1.570796
0.050000,17.900000,15.222848,27.382836,3.819303,-1.000000,-0.000000,1.570796
0.050000,17.900000,15.411314,27.571301,3.769303,-1.000000,0.000000,1.570796
0.050000,17.900000,15.597279,27.757266,3.719303,-1.000000,-0.000000,1.570796
0.050000,17.900000,15.780744,27.940731,3.669303,-1.000000,0.000000,1.570796
0.050000,17.900000,15.961709,28.121697,3.619303,-1.000000,-0.000000,1.570796
0.050000,17.900000,16.140174,28.300162,3.569303,-1.000000,-0.000000,1.570796
0.050000,17.900000,16.316139,28.476127,3.519303,-1.000000,0.000000,1.570796
0.050000,17.900000,16.489605,28.649592,3.469303,-1.000000,-0.000000,1.570796
0.050000,17.900000,16.660570,28.820557,3.419303,-1.000000,-0.000000,1.570796
0.050000,17.900000,16.829035,28.989022,3.369303,-1.000000,0.000000,1.570796
0.050000,17.900000,16.995000,29.154988,3.319303,-1.000000,0.000000,1.570796
0.050000,17.900000,17.158465,29.318453,3.269303,-1.000000,0.000000,1.570796
0.050000,17.900000,17.319430,29.479418,3.219303,-1.000000,-0.000000,1.570796
0.050000,17.900000,17.477896,29.637883,3.169303,-1.000000,0.000000,1.570796
0.050000,17.900000,17.633861,29.793848,3.119303,-1.000000,-0.000000,1.570796
0.050000,17.900000,17.787326,29.947313,3.069303,-1.000000,0.000000,1.570796
0.050000,17.900000,17.938291,30.098279,3.019303,-1.000000,0.000000,1.570796
0.050000,17.902746,18.146739,30.306744,4.169317,23.000275,480.005502,1.533270
0.050000,17.920245,18.396307,30.556925,5.003612,16.685899,-126.287523,1.468108
0.050000,17.953811,18.642551,30.805446,4.970421,-0.663819,-346.994349,1.402420
0.050000,18.002712,18.882658,31.050483,4.900730,-1.393829,-14.600214,1.337348
0.050000,18.065548,19.114042,31.290246,4.795279,-2.109019,-14.303790,1.274012
0.050000,18.140401,19.334594,31.523155,4.658171,-2.742156,-12.662737,1.213400
0.050000,18.225052,19.542845,31.747953,4.495965,-3.244118,-10.039257,1.156297
0.050000,18.317209,19.737998,31.963772,4.316368,-3.591936,-6.956360,1.103248
0.050000,18.414699,19.919864,32.170120,4.126973,-3.787897,-3.919201,1.054558
0.050000,18.515593,20.088738,32.366838,3.934356,-3.852339,-1.288843,1.010328
0.050000,18.618264,20.245249,32.554020,3.743631,-3.814507,0.756625,0.970497
0.050000,18.721394,20.390230,32.731939,3.558388,-3.704872,2.192717,0.934895
0.050000,18.823951,20.524609,32.900983,3.380871,-3.550329,3.090861,0.903279
0.050000,18.925150,20.649331,33.061596,3.212265,-3.372131,3.563948,0.875371
0.050000,19.024401,20.765309,33.214245,3.052980,-3.185682,3.728975,0.850879
0.050000,19.121277,20.873394,33.359391,2.902915,-3.001309,3.687476,0.829514
0.050000,19.215468,20.974362,33.497473,2.761646,-2.825371,3.518751,0.811002
0.050000,19.306762,21.068909,33.628902,2.628579,-2.661356,3.280311,0.795086
0.050000,19.375090,21.137924,33.726019,1.942350,-13.724564,-221.264176,0.799041
0.050000,19.403766,21.168640,33.768041,0.840429,-22.038438,-166.277472,0.835879
0.050000,19.441807,21.211946,33.825682,1.152829,6.248014,565.729032,0.861393
0.050000,19.487488,21.266118,33.896544,1.417224,5.287889,-19.202492,0.877082
0.050000,19.539796,21.329568,33.978775,1.644631,4.548144,-14.794904,0.884103
0.050000,19.598259,21.400914,34.071015,1.844792,4.003232,-10.898242,0.883307
0.050000,19.662806,21.478966,34.172298,2.025674,3.617622,-7.712202,0.875295
0.050000,19.733663,21.562674,34.281970,2.193427,3.355074,-5.250957,0.860478
0.050000,19.811272,21.651059,34.399593,2.352458,3.180611,-3.489264,0.839128
0.050000,19.896215,21.743133,34.524864,2.505432,3.059484,-2.422526,0.811434
0.050000,19.989129,21.837821,34.657524,2.653198,2.955321,-2.083273,0.777558
0.050000,20.090609,21.933877,34.797256,2.794638,2.828805,-2.530319,0.737698
0.050000,20.201078,22.029836,34.943583,2.926545,2.638132,-3.813456,0.692152
0.050000,20.320643,22.123985,35.095767,3.043666,2.342421,-5.914228,0.641380
0.050000,20.448936,22.214406,35.252722,3.139105,1.908775,-8.672916,0.586061
0.050000,20.584992,22.299095,35.412983,3.205214,1.322188,-11.731730,0.527112
0.050000,20.727207,22.376149,35.574731,3.234967,0.595068,-14.542400,0.465669
0.050000,20.873411,22.443989,35.735907,3.223527,-0.228800,-16.477367,0.403021
0.050000,21.021058,22.501565,35.894383,3.169514,-1.080274,-17.029485,0.340498
0.050000,21.167504,22.548467,36.048157,3.075476,-1.880762,-16.009753,0.279353
0.050000,21.310292,22.584926,36.195525,2.947374,-2.562031,-13.625386,0.220650
0.050000,21.447367,22.611701,36.335191,2.793306,-3.081366,-10.386695,0.165201
