dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000921,2.400000,0.001250,0.050000,1.000000,20.000000,6.283093
0.050000,0.004152,2.399999,0.004481,0.064622,0.292435,-14.151305,6.282768
0.050000,0.009538,2.399995,0.009867,0.107720,0.861956,11.390429,6.282228
0.050000,0.017081,2.399985,0.017409,0.150842,0.862456,0.009997,6.281474
0.050000,0.026781,2.399964,0.027109,0.194000,0.863156,0.014007,6.280505
0.050000,0.038641,2.399925,0.038969,0.237203,0.864058,0.018029,6.279324
0.050000,0.052664,2.399861,0.052992,0.280461,0.865161,0.022066,6.277932
0.050000,0.068852,2.399763,0.069182,0.323784,0.866467,0.026118,6.276331
0.050000,0.087211,2.399621,0.087541,0.367183,0.867976,0.030187,6.274525
0.050000,0.107744,2.399422,0.108074,0.410668,0.869690,0.034276,6.272514
0.050000,0.130454,2.399155,0.130787,0.454248,0.871609,0.038382,6.270303
0.050000,0.155349,2.398804,0.155683,0.497935,0.873735,0.042507,6.267895
0.050000,0.182432,2.398355,0.182770,0.541738,0.876067,0.046647,6.265293
0.050000,0.211710,2.397790,0.212054,0.585669,0.878607,0.050800,6.262501
0.050000,0.243189,2.397092,0.243541,0.629736,0.881355,0.054962,6.259524
0.050000,0.276876,2.396241,0.277238,0.673952,0.884312,0.059131,6.256367
0.050000,0.312777,2.395218,0.313154,0.718326,0.887476,0.063297,6.253033
0.050000,0.350901,2.394001,0.351298,0.762868,0.890849,0.067456,6.249529
0.050000,0.391256,2.392568,0.391677,0.807590,0.894429,0.071600,6.245860
0.050000,0.433848,2.390896,0.434302,0.852501,0.898215,0.075719,6.242032
0.050000,0.478687,2.388960,0.479183,0.897611,0.902206,0.079807,6.238051
0.050000,0.525781,2.386736,0.526329,0.942931,0.906398,0.083849,6.233924
0.050000,0.575139,2.384196,0.575753,0.988470,0.910790,0.087838,6.229657
0.050000,0.626770,2.381316,0.627465,1.034239,0.915378,0.091760,6.225259
0.050000,0.680685,2.378066,0.681477,1.080247,0.920158,0.095605,6.220735
0.050000,0.736892,2.374420,0.737802,1.126503,0.925126,0.099361,6.216095
0.050000,0.795401,2.370349,0.796453,1.173017,0.930277,0.103015,6.211345
0.050000,0.856223,2.365823,0.857443,1.219797,0.935605,0.106555,6.206495
0.050000,0.919367,2.360814,0.920786,1.266853,0.941103,0.109973,6.201553
0.050000,0.984844,2.355291,0.986495,1.314191,0.946766,0.113253,6.196528
0.050000,1.052665,2.349224,1.054586,1.361820,0.952585,0.116388,6.191428
0.050000,1.122838,2.342583,1.125074,1.409748,0.958554,0.119370,6.186264
0.050000,1.195377,2.335339,1.197973,1.457981,0.964663,0.122189,6.181045
0.050000,1.270290,2.327460,1.273299,1.506526,0.970905,0.124839,6.175780
0.050000,1.347589,2.318918,1.351069,1.555390,0.977271,0.127316,6.170480
0.050000,1.427284,2.309682,1.431297,1.604577,0.983752,0.129617,6.165154
0.050000,1.509387,2.299722,1.514002,1.654094,0.990339,0.131740,6.159814
0.050000,1.593908,2.289011,1.599199,1.703946,0.997023,0.133687,6.154468
0.050000,1.680859,2.277519,1.686906,1.754135,1.003796,0.135459,6.149129
0.050000,1.770250,2.265220,1.777140,1.804668,1.010650,0.137066,6.143806
0.050000,1.862093,2.252086,1.869917,1.855547,1.017575,0.138511,6.138511
0.050000,1.956399,2.238091,1.965256,1.906775,1.024566,0.139806,6.133254
0.050000,2.053180,2.223212,2.063173,1.958356,1.031614,0.140965,6.128046
0.050000,2.152447,2.207423,2.163688,2.010291,1.038714,0.142000,6.122899
0.050000,2.254212,2.190704,2.266817,2.062584,1.045860,0.142928,6.117824
0.050000,2.358487,2.173032,2.372579,2.115237,1.053049,0.143774,6.112831
0.050000,2.465284,2.154389,2.480992,2.168251,1.060276,0.144551,6.107933
0.050000,2.574617,2.134757,2.592073,2.221628,1.067541,0.145290,6.103140
0.050000,2.686498,2.114121,2.705841,2.275370,1.074842,0.146013,6.098464
0.050000,2.800941,2.092465,2.822315,2.329479,1.082179,0.146748,6.093917
0.050000,2.917960,2.069779,2.941513,2.383956,1.089555,0.147525,6.089509
0.050000,3.037570,2.046052,3.063454,2.438805,1.096974,0.148375,6.085253
0.050000,3.159785,2.021278,3.188155,2.494027,1.104440,0.149330,6.081160
0.050000,3.284623,1.995451,3.315636,2.549625,1.111962,0.150422,6.077242
0.050000,3.412100,1.968569,3.445916,2.605603,1.119546,0.151689,6.073511
0.050000,3.542233,1.940633,3.579014,2.661963,1.127204,0.153167,6.069979
0.050000,3.675042,1.911646,3.714950,2.718710,1.134949,0.154890,6.066657
0.050000,3.810546,1.881614,3.853742,2.775850,1.142794,0.156900,6.063559
0.050000,3.948768,1.850548,3.995412,2.833388,1.150756,0.159234,6.060696
0.050000,4.089728,1.818460,4.139978,2.891330,1.158852,0.161932,6.058081
0.050000,4.233452,1.785368,4.287463,2.949685,1.167104,0.165036,6.055728
0.050000,4.379964,1.751291,4.437886,3.008462,1.175533,0.168587,6.053648
0.050000,4.529292,1.716254,4.591269,3.067670,1.184165,0.172626,6.051857
0.050000,4.681466,1.680286,4.747635,3.127322,1.193025,0.177198,6.050367
0.050000,4.836515,1.643421,4.907007,3.187429,1.202142,0.182342,6.049193
0.050000,4.994472,1.605695,5.069407,3.248006,1.211547,0.188105,6.048349
0.050000,5.155374,1.567151,5.234861,3.309070,1.221273,0.194526,6.047851
0.050000,5.319256,1.527839,5.403392,3.370638,1.231356,0.201649,6.047715
0.050000,5.486160,1.487811,5.575029,3.432729,1.241831,0.209515,6.047957
0.050000,5.656127,1.447127,5.749797,3.495366,1.252740,0.218163,6.048593
