dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001044,5.600000,0.001250,0.050000,1.000000,20.000000,0.000022
0.050000,0.004670,5.600000,0.004876,0.072527,0.450533,-10.989347,0.000100
0.050000,0.010714,5.600001,0.010920,0.120880,0.967069,10.330719,0.000228
0.050000,0.019176,5.600004,0.019382,0.169237,0.967139,0.001406,0.000408
0.050000,0.030056,5.600010,0.030262,0.217599,0.967237,0.001969,0.000640
0.050000,0.043354,5.600020,0.043560,0.265967,0.967364,0.002532,0.000922
0.050000,0.059071,5.600037,0.059278,0.314343,0.967519,0.003096,0.001255
0.050000,0.077208,5.600063,0.077414,0.362728,0.967702,0.003662,0.001638
0.050000,0.097764,5.600101,0.097970,0.411124,0.967913,0.004228,0.002072
0.050000,0.120740,5.600155,0.120947,0.459531,0.968153,0.004795,0.002556
0.050000,0.146138,5.600226,0.146344,0.507952,0.968421,0.005363,0.003088
0.050000,0.173957,5.600320,0.174164,0.556388,0.968718,0.005933,0.003670
0.050000,0.204199,5.600441,0.204406,0.604841,0.969043,0.006505,0.004300
0.050000,0.236864,5.600592,0.237071,0.653310,0.969397,0.007078,0.004978
0.050000,0.271954,5.600780,0.272161,0.701799,0.969780,0.007653,0.005703
0.050000,0.309468,5.601008,0.309677,0.750309,0.970191,0.008229,0.006474
0.050000,0.349410,5.601283,0.349619,0.798840,0.970631,0.008808,0.007292
0.050000,0.391778,5.601610,0.391989,0.847396,0.971101,0.009388,0.008154
0.050000,0.436575,5.601996,0.436787,0.895975,0.971599,0.009970,0.009061
0.050000,0.483802,5.602446,0.484016,0.944582,0.972127,0.010555,0.010012
0.050000,0.533460,5.602968,0.533677,0.993216,0.972684,0.011141,0.011005
0.050000,0.585551,5.603569,0.585771,1.041880,0.973271,0.011729,0.012040
0.050000,0.640075,5.604254,0.640300,1.090574,0.973886,0.012319,0.013116
0.050000,0.697035,5.605033,0.697265,1.139300,0.974532,0.012910,0.014232
0.050000,0.756431,5.605913,0.756668,1.188061,0.975207,0.013504,0.015386
0.050000,0.818266,5.606902,0.818511,1.236856,0.975912,0.014099,0.016578
0.050000,0.882541,5.608007,0.882795,1.285689,0.976647,0.014696,0.017806
0.050000,0.949258,5.609237,0.949523,1.334559,0.977412,0.015295,0.019070
0.050000,1.018418,5.610601,1.018697,1.383470,0.978206,0.015895,0.020368
0.050000,1.090023,5.612107,1.090318,1.432421,0.979031,0.016496,0.021699
0.050000,1.164075,5.613765,1.164389,1.481416,0.979886,0.017098,0.023061
0.050000,1.240576,5.615583,1.240911,1.530454,0.980771,0.017701,0.024453
0.050000,1.319528,5.617570,1.319888,1.579538,0.981686,0.018305,0.025873
0.050000,1.400933,5.619736,1.401322,1.628670,0.982632,0.018910,0.027321
0.050000,1.484792,5.622090,1.485214,1.677850,0.983608,0.019515,0.028795
0.050000,1.571109,5.624641,1.571568,1.727081,0.984614,0.020121,0.030292
0.050000,1.659884,5.627398,1.660386,1.776364,0.985650,0.020726,0.031812
0.050000,1.751121,5.630372,1.751671,1.825699,0.986717,0.021331,0.033353
0.050000,1.844821,5.633572,1.845426,1.875090,0.987813,0.021936,0.034912
0.050000,1.940986,5.637007,1.941653,1.924537,0.988940,0.022540,0.036489
0.050000,2.039620,5.640686,2.040355,1.974042,0.990098,0.023144,0.038082
0.050000,2.140723,5.644620,2.141535,2.023606,0.991285,0.023746,0.039688
0.050000,2.244300,5.648817,2.245197,2.073231,0.992502,0.024348,0.041305
0.050000,2.350352,5.653286,2.351343,2.122919,0.993750,0.024948,0.042933
0.050000,2.458881,5.658038,2.459976,2.172670,0.995027,0.025546,0.044568
0.050000,2.569891,5.663080,2.571101,2.222487,0.996334,0.026143,0.046209
0.050000,2.683384,5.668422,2.684719,2.272370,0.997671,0.026737,0.047854
0.050000,2.799363,5.674073,2.800835,2.322322,0.999037,0.027330,0.049500
0.050000,2.917830,5.680040,2.919452,2.372344,1.000433,0.027921,0.051146
0.050000,3.038788,5.686332,3.040574,2.422437,1.001859,0.028509,0.052788
0.050000,3.162241,5.692956,3.164204,2.472603,1.003314,0.029095,0.054426
0.050000,3.288190,5.699921,3.290347,2.522843,1.004798,0.029678,0.056056
0.050000,3.416640,5.707234,3.419004,2.573158,1.006311,0.030259,0.057676
0.050000,3.547593,5.714901,3.550182,2.623551,1.007852,0.030838,0.059283
0.050000,3.681053,5.722930,3.683883,2.674022,1.009423,0.031414,0.060876
0.050000,3.817023,5.731325,3.820112,2.724573,1.011023,0.031988,0.062452
0.050000,3.955506,5.740094,3.958872,2.775205,1.012651,0.032559,0.064008
0.050000,4.096506,5.749241,4.100168,2.825921,1.014307,0.033128,0.065542
0.050000,4.240026,5.758770,4.244004,2.876720,1.015992,0.033695,0.067051
0.050000,4.386070,5.768686,4.390384,2.927606,1.017705,0.034261,0.068532
0.050000,4.534641,5.778993,4.539313,2.978578,1.019446,0.034824,0.069983
0.050000,4.685745,5.789694,4.690795,3.029639,1.021215,0.035386,0.071400
0.050000,4.839384,5.800790,4.844835,3.080789,1.023013,0.035947,0.072782
0.050000,4.995563,5.812283,5.001436,3.132031,1.024838,0.036507,0.074124
0.050000,5.154287,5.824174,5.160604,3.183366,1.026691,0.037066,0.075425
0.050000,5.315559,5.836464,5.322344,3.234794,1.028572,0.037625,0.076682
0.050000,5.479384,5.849152,5.486660,3.286319,1.030482,0.038184,0.077891
0.050000,5.645768,5.862236,5.653557,3.337939,1.032419,0.038743,0.079049
0.050000,5.814714,5.875714,5.823040,3.389659,1.034384,0.039304,0.080153
0.050000,5.986228,5.889582,5.995114,3.441478,1.036377,0.039866,0.081201
0.050000,6.160315,5.903837,6.169784,3.493397,1.038399,0.040430,0.082188
0.050000,6.336981,5.918473,6.347055,3.545420,1.040449,0.040996,0.083113
0.050000,6.516231,5.933484,6.526932,3.597546,1.042527,0.041565,0.083971
0.050000,6.698071,5.948862,6.709421,3.649778,1.044634,0.042137,0.084759
0.050000,6.882506,5.964600,6.894527,3.702116,1.046769,0.042713,0.085474
0.050000,7.069544,5.980688,7.082255,3.754563,1.048934,0.043292,0.086113
0.050000,7.259190,5.997114,7.272611,3.807119,1.051128,0.043877,0.086671
0.050000,7.451451,6.013867,7.465600,3.859787,1.053351,0.044465,0.087147
0.050000,7.646333,6.030933,7.661229,3.912567,1.055604,0.045059,0.087535
0.050000,7.843844,6.048298,7.859502,3.965462,1.057887,0.045658,0.087833
0.050000,8.042748,6.065835,8.059177,3.993502,0.560817,-9.941405,0.088036
0.050000,8.241803,6.083417,8.259007,3.996613,0.062207,-9.972190,0.088142
0.050000,8.441013,6.101024,8.458994,3.999723,0.062205,-0.000040,0.088151
0.050000,8.640378,6.118636,8.659135,4.002833,0.062205,-0.000004,0.088062
0.050000,8.839901,6.136235,8.859432,4.005944,0.062207,0.000031,0.087877
0.050000,9.039582,6.153801,9.059885,4.009054,0.062210,0.000066,0.087594
0.050000,9.239425,6.171314,9.260493,4.012165,0.062215,0.000100,0.087214
0.050000,9.439429,6.188755,9.461257,4.015276,0.062221,0.000132,0.086736
0.050000,9.639598,6.206105,9.662177,4.018387,0.062230,0.000162,0.086162
0.050000,9.839933,6.223342,9.863252,4.021499,0.062239,0.000189,0.085490
0.050000,10.040435,6.240449,10.064482,4.024612,0.062250,0.000213,0.084721
0.050000,10.241106,6.257405,10.265868,4.027725,0.062261,0.000233,0.083854
0.050000,10.441948,6.274190,10.467410,4.030839,0.062274,0.000249,0.082890
0.050000,10.642962,6.290785,10.669108,4.033953,0.062287,0.000259,0.081829
0.050000,10.844149,6.307169,10.870961,4.037068,0.062300,0.000264,0.080671
0.050000,11.045512,6.323323,11.072971,4.040184,0.062313,0.000263,0.079415
0.050000,11.247050,6.339226,11.275136,4.043300,0.062326,0.000255,0.078062
0.050000,11.448766,6.354859,11.477456,4.046417,0.062338,0.000240,0.076612
0.050000,11.650661,6.370201,11.679933,4.049534,0.062349,0.000217,0.075064
0.050000,11.852735,6.385233,11.882566,4.052652,0.062358,0.000185,0.073418
0.050000,12.054990,6.399933,12.085354,4.055770,0.062365,0.000144,0.071675
0.050000,12.257427,6.414282,12.288299,4.058889,0.062370,0.000094,0.069835
0.050000,12.460045,6.428260,12.491399,4.062007,0.062371,0.000034,0.067897
0.050000,12.662847,6.441845,12.694655,4.065126,0.062370,-0.000038,0.065862
0.050000,12.865832,6.455017,12.898068,4.068244,0.062364,-0.000120,0.063730
0.050000,13.069001,6.467757,13.101636,4.071362,0.062353,-0.000214,0.061499
0.050000,13.272355,6.480043,13.305360,4.074479,0.062337,-0.000321,0.059172
0.050000,13.475892,6.491855,13.509239,4.077594,0.062315,-0.000441,0.056747
0.050000,13.679613,6.503172,13.713275,4.080709,0.062286,-0.000574,0.054225
0.050000,13.883518,6.513973,13.917466,4.083821,0.062250,-0.000722,0.051606
0.050000,14.087607,6.524238,14.121812,4.086931,0.062206,-0.000884,0.048889
0.050000,14.291878,6.533946,14.326314,4.090039,0.062153,-0.001060,0.046075
0.050000,14.495538,6.543043,14.530177,4.077261,-0.255565,-6.354349,0.043176
0.050000,14.697304,6.551461,14.732119,4.038832,-0.768574,-10.260191,0.040211
0.050000,14.896684,6.559183,14.931648,3.990583,-0.964980,-3.928121,0.037192
0.050000,15.093669,6.566211,15.128759,3.942217,-0.967328,-0.046955,0.034122
0.050000,15.288253,6.572551,15.323446,3.893734,-0.969651,-0.046458,0.031004
0.050000,15.480427,6.578208,15.515702,3.845137,-0.971948,-0.045951,0.027843
0.050000,15.670182,6.583190,15.705524,3.796426,-0.974220,-0.045433,0.024641
0.050000,15.857513,6.587505,15.892904,3.747602,-0.976465,-0.044903,0.021402
