dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001115,2.400000,0.001250,0.050000,1.000000,20.000000,0.000022
0.050000,0.004989,2.400000,0.005124,0.077473,0.549467,-9.010653,0.000100
0.050000,0.011445,2.400001,0.011580,0.129120,1.032931,9.669281,0.000228
0.050000,0.020483,2.400004,0.020618,0.180763,1.032861,-0.001406,0.000408
0.050000,0.032103,2.400010,0.032238,0.232401,1.032763,-0.001969,0.000640
0.050000,0.046305,2.400021,0.046440,0.284033,1.032636,-0.002532,0.000922
0.050000,0.063087,2.400040,0.063222,0.335657,1.032481,-0.003097,0.001255
0.050000,0.082451,2.400068,0.082586,0.387272,1.032298,-0.003662,0.001638
0.050000,0.104395,2.400108,0.104530,0.438876,1.032087,-0.004228,0.002072
0.050000,0.128918,2.400165,0.129053,0.490469,1.031847,-0.004795,0.002556
0.050000,0.156020,2.400242,0.156156,0.542048,1.031579,-0.005364,0.003088
0.050000,0.185701,2.400342,0.185836,0.593612,1.031282,-0.005934,0.003670
0.050000,0.217958,2.400470,0.218094,0.645159,1.030957,-0.006505,0.004300
0.050000,0.252793,2.400632,0.252929,0.696690,1.030603,-0.007078,0.004978
0.050000,0.290202,2.400832,0.290339,0.748201,1.030220,-0.007653,0.005703
0.050000,0.330186,2.401075,0.330323,0.799691,1.029809,-0.008230,0.006474
0.050000,0.372743,2.401368,0.372881,0.851159,1.029368,-0.008808,0.007292
0.050000,0.417872,2.401717,0.418011,0.902604,1.028899,-0.009388,0.008154
0.050000,0.465571,2.402127,0.465713,0.954024,1.028400,-0.009971,0.009061
0.050000,0.515840,2.402607,0.515984,1.005418,1.027873,-0.010555,0.010012
0.050000,0.568676,2.403162,0.568823,1.056784,1.027316,-0.011141,0.011005
0.050000,0.624078,2.403801,0.624229,1.108120,1.026729,-0.011729,0.012040
0.050000,0.682045,2.404530,0.682200,1.159426,1.026113,-0.012319,0.013116
0.050000,0.742574,2.405357,0.742735,1.210699,1.025468,-0.012911,0.014232
0.050000,0.805664,2.406292,0.805832,1.261939,1.024793,-0.013504,0.015386
0.050000,0.871313,2.407341,0.871489,1.313143,1.024088,-0.014100,0.016578
0.050000,0.939519,2.408514,0.939705,1.364311,1.023353,-0.014696,0.017806
0.050000,1.010279,2.409819,1.010477,1.415440,1.022588,-0.015295,0.019070
0.050000,1.083591,2.411265,1.083803,1.466530,1.021793,-0.015895,0.020368
0.050000,1.159453,2.412861,1.159682,1.517579,1.020968,-0.016496,0.021699
0.050000,1.237863,2.414616,1.238111,1.568584,1.020114,-0.017098,0.023061
0.050000,1.318817,2.416540,1.319089,1.619546,1.019228,-0.017701,0.024453
0.050000,1.402314,2.418641,1.402612,1.670461,1.018313,-0.018306,0.025873
0.050000,1.488350,2.420930,1.488678,1.721330,1.017368,-0.018910,0.027321
0.050000,1.576922,2.423416,1.577286,1.772149,1.016392,-0.019515,0.028795
0.050000,1.668028,2.426109,1.668432,1.822919,1.015386,-0.020121,0.030292
0.050000,1.761665,2.429017,1.762113,1.873636,1.014350,-0.020726,0.031812
0.050000,1.857829,2.432152,1.858328,1.924300,1.013283,-0.021331,0.033353
0.050000,1.956517,2.435522,1.957074,1.974909,1.012186,-0.021936,0.034912
