dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000915,13.850000,0.001240,0.049583,0.991654,19.833089,0.000162
0.050000,0.004148,13.850002,0.004472,0.064657,0.301487,-13.803359,0.000733
0.050000,0.009535,13.850008,0.009860,0.107743,0.861710,11.204478,0.001687
0.050000,0.017075,13.850026,0.017400,0.150799,0.861135,-0.011511,0.003025
0.050000,0.026765,13.850063,0.027090,0.193816,0.860329,-0.016109,0.004749
0.050000,0.038604,13.850132,0.038929,0.236780,0.859293,-0.020730,0.006862
0.050000,0.052588,13.850246,0.052913,0.279682,0.858026,-0.025333,0.009368
0.050000,0.068712,13.850420,0.069039,0.322508,0.856530,-0.029934,0.012272
0.050000,0.086973,13.850674,0.087301,0.365248,0.854803,-0.034534,0.015578
0.050000,0.107364,13.851030,0.107696,0.407891,0.852847,-0.039124,0.019292
0.050000,0.129880,13.851511,0.130217,0.450424,0.850663,-0.043664,0.023421
0.050000,0.154514,13.852144,0.154859,0.492837,0.848254,-0.048180,0.027972
0.050000,0.181258,13.852959,0.181615,0.535118,0.845623,-0.052630,0.032952
0.050000,0.210102,13.853988,0.210477,0.577256,0.842773,-0.056991,0.038371
0.050000,0.241038,13.855266,0.241440,0.619242,0.839712,-0.061230,0.044236
0.050000,0.274054,13.856832,0.274493,0.661064,0.836445,-0.065329,0.050557
0.050000,0.309138,13.858726,0.309628,0.702713,0.832985,-0.069211,0.057346
0.050000,0.346278,13.860994,0.346838,0.744181,0.829343,-0.072836,0.064611
0.050000,0.385459,13.863681,0.386110,0.785457,0.825535,-0.076161,0.072365
0.050000,0.426665,13.866839,0.427437,0.826536,0.821582,-0.079061,0.080620
0.050000,0.469879,13.870521,0.470808,0.867412,0.817508,-0.081484,0.089386
0.050000,0.515083,13.874783,0.516212,0.908079,0.813341,-0.083326,0.098677
0.050000,0.562255,13.879687,0.563638,0.948535,0.809119,-0.084440,0.108505
0.050000,0.611375,13.885295,0.613077,0.988779,0.804883,-0.084720,0.118882
0.050000,0.662418,13.891675,0.664518,1.028813,0.800683,-0.084005,0.129821
0.050000,0.715360,13.898896,0.717950,1.068642,0.796577,-0.082116,0.141333
0.050000,0.770173,13.907033,0.773364,1.108274,0.792632,-0.078900,0.153431
0.050000,0.826829,13.916162,0.830750,1.147720,0.788926,-0.074126,0.166125
0.050000,0.885295,13.926365,0.890100,1.186997,0.785546,-0.067600,0.179425
0.050000,0.945540,13.937724,0.951406,1.226127,0.782590,-0.059116,0.193340
0.050000,1.007528,13.950328,1.014663,1.265135,0.780169,-0.048427,0.207877
0.050000,1.071223,13.964267,1.079866,1.304055,0.778401,-0.035350,0.223041
0.050000,1.136587,13.979635,1.147012,1.342926,0.777418,-0.019659,0.238835
0.050000,1.203580,13.996530,1.216102,1.381794,0.777358,-0.001203,0.255259
0.050000,1.272158,14.015050,1.287137,1.420713,0.778367,0.020168,0.272310
0.050000,1.342280,14.035300,1.360124,1.459742,0.780592,0.044501,0.289983
