dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001189,12.150000,0.001240,0.049583,0.991654,19.833089,0.000162
0.050000,0.005394,12.150002,0.005444,0.084091,0.690168,-6.029731,0.000733
0.050000,0.012403,12.150010,0.012453,0.140171,1.121598,8.628608,0.001687
0.050000,0.022217,12.150034,0.022267,0.196280,1.122173,0.011502,0.003025
0.050000,0.034838,12.150083,0.034888,0.252429,1.122979,0.016119,0.004749
0.050000,0.050269,12.150172,0.050320,0.308629,1.124015,0.020709,0.006862
0.050000,0.068513,12.150320,0.068564,0.364893,1.125281,0.025324,0.009368
0.050000,0.089574,12.150548,0.089626,0.421232,1.126778,0.029934,0.012272
0.050000,0.113454,12.150881,0.113509,0.477658,1.128504,0.034525,0.015578
0.050000,0.140159,12.151346,0.140218,0.534180,1.130459,0.039093,0.019292
0.050000,0.169693,12.151977,0.169758,0.590813,1.132642,0.043660,0.023421
0.050000,0.202060,12.152809,0.202137,0.647565,1.135050,0.048161,0.027972
0.050000,0.237267,12.153882,0.237359,0.704449,1.137680,0.052606,0.032952
0.050000,0.275316,12.155239,0.275433,0.761475,1.140528,0.056965,0.038371
0.050000,0.316214,12.156929,0.316366,0.818655,1.143589,0.061214,0.044236
0.050000,0.359965,12.159004,0.360165,0.875998,1.146853,0.065286,0.050557
0.050000,0.406572,12.161521,0.406841,0.933513,1.150312,0.069177,0.057346
0.050000,0.456041,12.164541,0.456402,0.991211,1.153953,0.072814,0.064611
0.050000,0.508373,12.168130,0.508857,1.049099,1.157758,0.076101,0.072365
0.050000,0.563570,12.172360,0.564216,1.107184,1.161709,0.079023,0.080620
0.050000,0.621634,12.177307,0.622489,1.165473,1.165781,0.081443,0.089386
0.050000,0.682562,12.183053,0.683688,1.223970,1.169944,0.083257,0.098677
0.050000,0.746352,12.189684,0.747822,1.282679,1.174163,0.084384,0.108505
0.050000,0.812999,12.197294,0.814902,1.341598,1.178396,0.084654,0.118882
0.050000,0.882495,12.205980,0.884938,1.400728,1.182592,0.083927,0.129821
0.050000,0.954828,12.215847,0.957941,1.460063,1.186695,0.082051,0.141333
0.050000,1.029984,12.227004,1.033921,1.519595,1.190635,0.078806,0.153431
0.050000,1.107944,12.239566,1.112887,1.579311,1.194337,0.074036,0.166125
0.050000,1.188684,12.253656,1.194847,1.639197,1.197713,0.067514,0.179425
0.050000,1.272174,12.269399,1.279808,1.699230,1.200663,0.059007,0.193340
0.050000,1.358379,12.286927,1.367777,1.759384,1.203080,0.048332,0.207877
0.050000,1.447257,12.306377,1.458759,1.819626,1.204841,0.035235,0.223041
0.050000,1.538758,12.327891,1.552754,1.879917,1.205819,0.019555,0.238835
0.050000,1.632823,12.351613,1.649765,1.940211,1.205874,0.001089,0.255259
0.050000,1.729386,12.377692,1.749788,2.000454,1.204860,-0.020264,0.272310
0.050000,1.828371,12.406277,1.852817,2.060585,1.202630,-0.044615,0.289983
0.050000,1.929689,12.437521,1.958844,2.120537,1.199034,-0.071919,0.308265
0.050000,2.033246,12.471574,2.067855,2.180233,1.193928,-0.102112,0.327142
0.050000,2.138932,12.508587,2.179835,2.239592,1.187179,-0.134990,0.346595
0.050000,2.246628,12.548705,2.294761,2.298526,1.178668,-0.170209,0.366597
0.050000,2.356205,12.592073,2.412608,2.356941,1.168302,-0.207319,0.387120
0.050000,2.467523,12.638826,2.533345,2.414742,1.156016,-0.245725,0.408126
0.050000,2.580431,12.689093,2.656937,2.471831,1.141782,-0.284669,0.429574
0.050000,2.694769,12.742992,2.783343,2.528112,1.125616,-0.323325,0.451416
0.050000,2.810371,12.800630,2.912517,2.583491,1.107580,-0.360715,0.473599
0.050000,2.927064,12.862103,3.044411,2.637880,1.087788,-0.395850,0.496065
0.050000,3.044669,12.927490,3.178971,2.691200,1.066403,-0.427694,0.518751
0.050000,3.163006,12.996856,3.316140,2.743382,1.043639,-0.455278,0.541590
0.050000,3.281894,13.070252,3.455859,2.794370,1.019754,-0.477713,0.564511
0.050000,3.401154,13.147709,3.598065,2.844122,0.995040,-0.494274,0.587443
0.050000,3.520611,13.229245,3.742695,2.892613,0.969818,-0.504433,0.610311
0.050000,3.640097,13.314858,3.889687,2.939834,0.944423,-0.507904,0.633039
0.050000,3.759453,13.404532,4.038977,2.985793,0.919190,-0.504659,0.655555
