dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001111,23.850000,0.001250,0.050000,1.000000,20.000000,6.283160
0.050000,0.004935,23.850000,0.005074,0.076482,0.529640,-9.407197,6.283073
0.050000,0.011308,23.849999,0.011448,0.127469,1.019730,9.801805,6.282928
0.050000,0.020231,23.849995,0.020370,0.178453,1.019686,-0.000891,6.282724
0.050000,0.031703,23.849989,0.031842,0.229434,1.019623,-0.001248,6.282464
0.050000,0.045723,23.849976,0.045862,0.280411,1.019543,-0.001605,6.282145
0.050000,0.062292,23.849956,0.062432,0.331383,1.019445,-0.001963,6.281770
0.050000,0.081410,23.849925,0.081549,0.382350,1.019329,-0.002322,6.281338
0.050000,0.103075,23.849879,0.103215,0.433310,1.019195,-0.002681,6.280849
0.050000,0.127288,23.849816,0.127428,0.484262,1.019043,-0.003041,6.280304
0.050000,0.154049,23.849731,0.154188,0.535205,1.018873,-0.003402,6.279704
0.050000,0.183355,23.849619,0.183495,0.586140,1.018685,-0.003764,6.279048
0.050000,0.215208,23.849476,0.215348,0.637064,1.018478,-0.004128,6.278339
0.050000,0.249606,23.849296,0.249747,0.687976,1.018254,-0.004492,6.277575
0.050000,0.286550,23.849074,0.286691,0.738877,1.018011,-0.004858,6.276759
0.050000,0.326037,23.848803,0.326179,0.789764,1.017749,-0.005225,6.275891
0.050000,0.368068,23.848477,0.368211,0.840638,1.017470,-0.005594,6.274971
0.050000,0.412641,23.848089,0.412786,0.891496,1.017171,-0.005964,6.274000
0.050000,0.459755,23.847633,0.459903,0.942339,1.016855,-0.006335,6.272980
0.050000,0.509411,23.847099,0.509561,0.993165,1.016519,-0.006708,6.271912
0.050000,0.561606,23.846482,0.561759,1.043973,1.016165,-0.007082,6.270796
0.050000,0.616339,23.845772,0.616498,1.094763,1.015792,-0.007458,6.269633
0.050000,0.673610,23.844961,0.673774,1.145533,1.015401,-0.007835,6.268426
0.050000,0.733417,23.844041,0.733588,1.196282,1.014990,-0.008214,6.267174
0.050000,0.795759,23.843002,0.795939,1.247010,1.014560,-0.008593,6.265879
0.050000,0.860634,23.841836,0.860825,1.297716,1.014111,-0.008974,6.264543
0.050000,0.928042,23.840532,0.928245,1.348398,1.013644,-0.009356,6.263166
0.050000,0.997980,23.839082,0.998197,1.399056,1.013157,-0.009739,6.261751
0.050000,1.070446,23.837476,1.070682,1.449688,1.012650,-0.010124,6.260299
0.050000,1.145440,23.835704,1.145697,1.500295,1.012125,-0.010508,6.258811
0.050000,1.222959,23.833755,1.223240,1.550874,1.011580,-0.010894,6.257289
0.050000,1.303002,23.831619,1.303311,1.601425,1.011016,-0.011280,6.255735
0.050000,1.385566,23.829286,1.385909,1.651946,1.010433,-0.011667,6.254150
0.050000,1.470650,23.826746,1.471031,1.702438,1.009830,-0.012054,6.252536
0.050000,1.558252,23.823988,1.558676,1.752898,1.009208,-0.012442,6.250894
0.050000,1.648369,23.821002,1.648842,1.803326,1.008567,-0.012829,6.249228
0.050000,1.740999,23.817777,1.741528,1.853722,1.007906,-0.013216,6.247539
0.050000,1.836139,23.814302,1.836732,1.904083,1.007226,-0.013603,6.245828
0.050000,1.933788,23.810568,1.934453,1.954409,1.006526,-0.013989,6.244098
0.050000,2.033943,23.806563,2.034688,2.004700,1.005808,-0.014375,6.242351
0.050000,2.136602,23.802278,2.137435,2.054953,1.005070,-0.014760,6.240589
0.050000,2.241761,23.797702,2.242694,2.105169,1.004312,-0.015144,6.238814
0.050000,2.349417,23.792826,2.350461,2.155346,1.003536,-0.015528,6.237029
0.050000,2.459569,23.787639,2.460735,2.205483,1.002740,-0.015909,6.235236
0.050000,2.572214,23.782131,2.573514,2.255579,1.001926,-0.016290,6.233437
0.050000,2.687348,23.776295,2.688796,2.305634,1.001092,-0.016669,6.231635
0.050000,2.804968,23.770119,2.806578,2.355646,1.000240,-0.017047,6.229833
0.050000,2.925072,23.763596,2.926859,2.405614,0.999369,-0.017423,6.228032
0.050000,3.047656,23.756718,3.049636,2.455538,0.998479,-0.017797,6.226235
0.050000,3.172717,23.749475,3.174906,2.505417,0.997571,-0.018170,6.224446
0.050000,3.300252,23.741861,3.302669,2.555249,0.996644,-0.018540,6.222667
0.050000,3.430259,23.733868,3.432921,2.605034,0.995698,-0.018909,6.220900
0.050000,3.562732,23.725489,3.565659,2.654770,0.994734,-0.019276,6.219149
0.050000,3.697670,23.716718,3.700882,2.704458,0.993752,-0.019641,6.217416
0.050000,3.835070,23.707550,3.838587,2.754096,0.992752,-0.020005,6.215705
0.050000,3.974927,23.697978,3.978771,2.803682,0.991734,-0.020367,6.214017
0.050000,4.117238,23.688000,4.121432,2.853217,0.990697,-0.020727,6.212357
0.050000,4.262001,23.677610,4.266567,2.902699,0.989643,-0.021086,6.210728
0.050000,4.409211,23.666806,4.414173,2.952128,0.988571,-0.021443,6.209132
0.050000,4.558866,23.655585,4.564248,3.001502,0.987481,-0.021799,6.207573
0.050000,4.710963,23.643946,4.716789,3.050821,0.986373,-0.022155,6.206054
0.050000,4.865497,23.631887,4.871793,3.100083,0.985248,-0.022509,6.204579
0.050000,5.022466,23.619409,5.029258,3.149288,0.984105,-0.022864,6.203150
0.050000,5.181867,23.606513,5.189180,3.198435,0.982944,-0.023218,6.201772
0.050000,5.343697,23.593200,5.351556,3.247524,0.981765,-0.023572,6.200447
0.050000,5.507952,23.579472,5.516383,3.296552,0.980569,-0.023926,6.199179
0.050000,5.674629,23.565335,5.683659,3.345520,0.979355,-0.024281,6.197972
0.050000,5.843726,23.550792,5.853381,3.394426,0.978123,-0.024638,6.196829
0.050000,6.015240,23.535850,6.025544,3.443270,0.976873,-0.024995,6.195754
0.050000,6.189168,23.520515,6.200147,3.492050,0.975605,-0.025355,6.194752
0.050000,6.365507,23.504796,6.377185,3.540766,0.974320,-0.025716,6.193824
0.050000,6.544255,23.488703,6.556656,3.589417,0.973016,-0.026080,6.192976
0.050000,6.725409,23.472245,6.738556,3.638001,0.971693,-0.026447,6.192211
0.050000,6.908967,23.455436,6.922882,3.686519,0.970352,-0.026816,6.191534
0.050000,7.094926,23.438288,7.109630,3.734969,0.968993,-0.027190,6.190947
0.050000,7.283285,23.420816,7.298798,3.783349,0.967615,-0.027566,6.190456
0.050000,7.474041,23.403037,7.490381,3.831660,0.966217,-0.027947,6.190064
0.050000,7.667193,23.384969,7.684376,3.879900,0.964801,-0.028331,6.189776
0.050000,7.862738,23.366630,7.880779,3.928068,0.963365,-0.028719,6.189596
0.050000,8.060676,23.348042,8.079587,3.976164,0.961909,-0.029112,6.189527
0.050000,8.259759,23.329345,8.279547,3.999197,0.460659,-10.025009,6.189574
0.050000,8.458747,23.310677,8.479408,3.997216,-0.039612,-10.005417,6.189738
0.050000,8.657639,23.292063,8.679170,3.995236,-0.039614,-0.000042,6.190018
0.050000,8.856440,23.273525,8.878832,3.993255,-0.039618,-0.000070,6.190415
0.050000,9.055150,23.255088,9.078396,3.991274,-0.039623,-0.000096,6.190929
0.050000,9.253772,23.236772,9.277861,3.989292,-0.039629,-0.000121,6.191558
0.050000,9.452307,23.218603,9.477226,3.987310,-0.039636,-0.000144,6.192305
0.050000,9.650759,23.200602,9.676493,3.985328,-0.039644,-0.000164,6.193168
0.050000,9.849129,23.182793,9.875660,3.983345,-0.039653,-0.000180,6.194148
0.050000,10.047418,23.165198,10.074728,3.981362,-0.039663,-0.000193,6.195244
0.050000,10.245628,23.147842,10.273697,3.979379,-0.039673,-0.000201,6.196457
0.050000,10.443762,23.130745,10.472567,3.977395,-0.039683,-0.000205,6.197787
0.050000,10.641820,23.113933,10.671337,3.975410,-0.039693,-0.000203,6.199233
0.050000,10.839804,23.097426,10.870008,3.973425,-0.039703,-0.000195,6.200796
0.050000,11.037716,23.081249,11.068580,3.971439,-0.039712,-0.000181,6.202476
0.050000,11.235557,23.065423,11.267053,3.969453,-0.039720,-0.000159,6.204273
0.050000,11.433327,23.049973,11.465426,3.967467,-0.039726,-0.000131,6.206187
0.050000,11.631029,23.034920,11.663700,3.965480,-0.039731,-0.000094,6.208217
0.050000,11.828663,23.020287,11.861875,3.963494,-0.039733,-0.000049,6.210365
0.050000,12.026229,23.006098,12.059950,3.961507,-0.039733,0.000005,6.212629
0.050000,12.223729,22.992374,12.257926,3.959521,-0.039730,0.000069,6.215010
0.050000,12.421163,22.979139,12.455803,3.957534,-0.039723,0.000143,6.217508
0.050000,12.618531,22.966415,12.653581,3.955549,-0.039711,0.000228,6.220123
0.050000,12.815832,22.954224,12.851259,3.953564,-0.039695,0.000324,6.222854
0.050000,13.013069,22.942590,13.048838,3.951580,-0.039673,0.000431,6.225702
0.050000,13.210239,22.931535,13.246318,3.949598,-0.039646,0.000550,6.228667
0.050000,13.407343,22.921081,13.443699,3.947618,-0.039612,0.000682,6.231748
0.050000,13.604380,22.911251,13.640981,3.945639,-0.039570,0.000827,6.234946
0.050000,13.801349,22.902067,13.838164,3.943663,-0.039521,0.000985,6.238260
0.050000,13.998249,22.893552,14.035248,3.941690,-0.039463,0.001158,6.241690
0.050000,14.195080,22.885727,14.232234,3.939720,-0.039396,0.001344,6.245235
0.050000,14.391449,22.878629,14.428731,3.929942,-0.195568,-3.123440,6.248889
0.050000,14.586125,22.872312,14.623511,3.895587,-0.687101,-9.830648,6.252627
0.050000,14.778272,22.866802,14.815736,3.844508,-1.021564,-6.689278,6.256428
0.050000,14.967889,22.862092,15.005411,3.793507,-1.020028,0.030728,6.260287
0.050000,15.154977,22.858172,15.192540,3.742582,-1.018507,0.030428,6.264201
0.050000,15.339537,22.855032,15.377127,3.691732,-1.017001,0.030117,6.268165
0.050000,15.521569,22.852661,15.559175,3.640956,-1.015511,0.029794,6.272175
0.050000,15.701074,22.851047,15.738688,3.590254,-1.014038,0.029458,6.276226
0.050000,15.878054,22.850176,15.915669,3.539625,-1.012583,0.029109,6.280314
0.050000,16.056568,22.849898,16.094184,3.570303,0.613558,32.522815,6.279582
0.050000,16.241949,22.848144,16.279573,3.707773,2.749396,42.716759,6.267895
0.050000,16.424484,22.844316,16.462148,3.651508,-1.125285,-77.493626,6.256577
0.050000,16.604154,22.838547,16.641911,3.595259,-1.124997,0.005771,6.245627
0.050000,16.780944,22.830964,16.818863,3.539041,-1.124352,0.012896,6.235043
0.050000,16.954841,22.821692,16.993007,3.482872,-1.123383,0.019379,6.224822
0.050000,17.125836,22.810852,17.164345,3.426766,-1.122121,0.025229,6.214960
0.050000,17.293924,22.798560,17.332882,3.370736,-1.120598,0.030464,6.205452
0.050000,17.459102,22.784930,17.498621,3.314794,-1.118843,0.035105,6.196295
0.050000,17.621370,22.770072,17.661569,3.258950,-1.116884,0.039181,6.187481
0.050000,17.780732,22.754089,17.821729,3.203212,-1.114748,0.042722,6.179004
0.050000,17.937190,22.737083,17.979109,3.147589,-1.112460,0.045761,6.170859
0.050000,18.090750,22.719150,18.133713,3.092087,-1.110043,0.048333,6.163037
0.050000,18.241422,22.700384,18.285549,3.036711,-1.107520,0.050473,6.155531
0.050000,18.389212,22.680871,18.434622,2.981466,-1.104909,0.052216,6.148335
0.050000,18.534133,22.660698,18.580940,2.926354,-1.102229,0.053596,6.141438
0.050000,18.676194,22.639945,18.724509,2.871379,-1.099497,0.054647,6.134835
0.050000,18.815407,22.618688,18.865336,2.816543,-1.096727,0.055401,6.128516
0.050000,18.951786,22.597000,19.003428,2.761846,-1.093932,0.055887,6.122473
0.050000,19.085343,22.574952,19.138793,2.707290,-1.091126,0.056134,6.116698
0.050000,19.216091,22.552608,19.271436,2.652874,-1.088317,0.056168,6.111183
0.050000,19.344045,22.530032,19.401366,2.598598,-1.085517,0.056014,6.105920
0.050000,19.469217,22.507282,19.528589,2.544462,-1.082732,0.055694,6.100900
0.050000,19.591623,22.484414,19.653113,2.490463,-1.079970,0.055229,6.096115
0.050000,19.711275,22.461482,19.774943,2.436601,-1.077238,0.054637,6.091558
0.050000,19.828188,22.438536,19.894086,2.382874,-1.074542,0.053936,6.087219
0.050000,19.942376,22.415622,20.010550,2.329280,-1.071885,0.053140,6.083092
0.050000,20.053851,22.392785,20.124341,2.275816,-1.069271,0.052264,6.079169
0.050000,20.162628,22.370067,20.235465,2.222481,-1.066706,0.051318,6.075442
0.050000,20.268720,22.347508,20.343929,2.169272,-1.064190,0.050315,6.071904
0.050000,20.372139,22.325144,20.449738,2.116185,-1.061727,0.049263,6.068548
0.050000,20.472897,22.303010,20.552899,2.063219,-1.059318,0.048171,6.065365
0.050000,20.571008,22.281139,20.653418,2.010371,-1.056966,0.047046,6.062351
0.050000,20.666482,22.259562,20.751299,1.957638,-1.054671,0.045894,6.059497
0.050000,20.759331,22.238307,20.846550,1.905016,-1.052435,0.044722,6.056797
0.050000,20.849566,22.217400,20.939175,1.852503,-1.050258,0.043533,6.054246
0.050000,20.937197,22.196868,21.029180,1.800096,-1.048142,0.042332,6.051836
0.050000,21.022236,22.176733,21.116570,1.747791,-1.046086,0.041123,6.049561
0.050000,21.104691,22.157018,21.201349,1.695587,-1.044090,0.039907,6.047416
0.050000,21.184572,22.137741,21.283523,1.643479,-1.042156,0.038688,6.045395
0.050000,21.261888,22.118924,21.363096,1.591465,-1.040282,0.037468,6.043493
0.050000,21.336648,22.100582,21.440073,1.539542,-1.038470,0.036248,6.041704
0.050000,21.408860,22.082732,21.514459,1.487706,-1.036719,0.035029,6.040022
0.050000,21.478532,22.065390,21.586256,1.435954,-1.035028,0.033813,6.038444
0.050000,21.545671,22.048569,21.655471,1.384284,-1.033398,0.032601,6.036964
0.050000,21.610284,22.032282,21.722105,1.332693,-1.031828,0.031392,6.035578
0.050000,21.672379,22.016542,21.786164,1.281177,-1.030319,0.030188,6.034280
0.050000,21.731962,22.001359,21.847651,1.229733,-1.028869,0.028989,6.033068
0.050000,21.789038,21.986743,21.906569,1.178359,-1.027480,0.027794,6.031937
0.050000,21.843614,21.972704,21.962921,1.127052,-1.026150,0.026605,6.030882
0.050000,21.895695,21.959251,22.016712,1.075808,-1.024879,0.025420,6.029901
0.050000,21.945286,21.946390,22.067943,1.024625,-1.023666,0.024241,6.028989
0.050000,21.992391,21.934130,22.116618,0.973499,-1.022513,0.023066,6.028143
0.050000,22.037016,21.922477,22.162739,0.922428,-1.021418,0.021896,6.027361
0.050000,22.079165,21.911436,22.206310,0.871409,-1.020382,0.020730,6.026638
0.050000,22.118840,21.901014,22.247332,0.820439,-1.019404,0.019568,6.025972
0.050000,22.156047,21.891215,22.285807,0.769515,-1.018483,0.018410,6.025361
0.050000,22.190789,21.882043,22.321739,0.718634,-1.017620,0.017256,6.024802
0.050000,22.223068,21.873503,22.355129,0.667793,-1.016815,0.016105,6.024292
0.050000,22.252888,21.865599,22.385978,0.616990,-1.016067,0.014957,6.023829
0.050000,22.280250,21.858332,22.414289,0.566221,-1.015377,0.013812,6.023412
0.050000,22.305158,21.851707,22.440064,0.515484,-1.014743,0.012669,6.023038
0.050000,22.327614,21.845726,22.463302,0.464775,-1.014167,0.011529,6.022705
0.050000,22.347620,21.840391,22.484007,0.414093,-1.013647,0.010391,6.022413
0.050000,22.365176,21.835703,22.502179,0.363434,-1.013184,0.009255,6.022159
0.050000,22.380286,21.831665,22.517818,0.312795,-1.012778,0.008120,6.021943
0.050000,22.392949,21.828279,22.530927,0.262173,-1.012429,0.006987,6.021764
0.050000,22.403168,21.825544,22.541505,0.211567,-1.012136,0.005855,6.021620
0.050000,22.410943,21.823462,22.549554,0.160972,-1.011900,0.004724,6.021512
0.050000,22.416274,21.822034,22.555073,0.110386,-1.011720,0.003594,6.021438
0.050000,22.419163,21.821260,22.558063,0.059806,-1.011597,0.002464,6.021397
0.050000,22.419996,21.821037,22.558926,0.017259,-0.850944,3.213064,6.021386
0.050000,22.419996,21.821037,22.558926,0.000000,-0.345170,10.115476,6.021386
