dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001265,13.850000,0.001250,0.050000,1.000000,20.000000,6.282984
0.050000,0.005603,13.849997,0.005588,0.086760,0.735208,-5.295840,6.282292
0.050000,0.012835,13.849987,0.012819,0.144629,1.157367,8.443177,6.281137
0.050000,0.022962,13.849958,0.022946,0.202539,1.158209,0.016848,6.279517
0.050000,0.035987,13.849897,0.035972,0.260509,1.159389,0.023592,6.277429
0.050000,0.051914,13.849784,0.051900,0.318554,1.160906,0.030335,6.274867
0.050000,0.070748,13.849599,0.070734,0.376692,1.162760,0.037092,6.271826
0.050000,0.092493,13.849314,0.092481,0.434939,1.164951,0.043811,6.268300
0.050000,0.117155,13.848897,0.117147,0.493313,1.167478,0.050538,6.264282
0.050000,0.144740,13.848313,0.144738,0.551830,1.170338,0.057198,6.259762
0.050000,0.175255,13.847522,0.175264,0.610507,1.173529,0.063819,6.254732
0.050000,0.208707,13.846477,0.208732,0.669359,1.177045,0.070320,6.249182
0.050000,0.245102,13.845128,0.245152,0.728403,1.180879,0.076684,6.243099
0.050000,0.284448,13.843420,0.284534,0.787654,1.185022,0.082859,6.236472
0.050000,0.326751,13.841290,0.326891,0.847127,1.189459,0.088749,6.229288
0.050000,0.372017,13.838672,0.372233,0.906836,1.194175,0.094309,6.221533
0.050000,0.420252,13.835493,0.420572,0.966793,1.199143,0.099375,6.213192
0.050000,0.471460,13.831673,0.471923,1.027010,1.204338,0.103891,6.204250
0.050000,0.525644,13.827127,0.526297,1.087496,1.209720,0.107647,6.194691
0.050000,0.582806,13.821762,0.583710,1.148258,1.215246,0.110511,6.184499
0.050000,0.642944,13.815479,0.644175,1.209301,1.220858,0.112244,6.173658
0.050000,0.706053,13.808172,0.707707,1.270625,1.226490,0.112635,6.162150
0.050000,0.772127,13.799727,0.774318,1.332228,1.232060,0.111410,6.149960
0.050000,0.841154,13.790024,0.844023,1.394102,1.237473,0.108260,6.137071
0.050000,0.913116,13.778934,0.916835,1.456233,1.242616,0.102866,6.123468
0.050000,0.987991,13.766322,0.992765,1.518601,1.247360,0.094878,6.109138
0.050000,1.065751,13.752046,1.071824,1.581179,1.251555,0.083897,6.094068
0.050000,1.146357,13.735957,1.154020,1.643930,1.255033,0.069554,6.078247
0.050000,1.229765,13.717898,1.239361,1.706811,1.257606,0.051466,6.061669
0.050000,1.315920,13.697710,1.327849,1.769764,1.259069,0.029260,6.044329
0.050000,1.404754,13.675226,1.419485,1.832724,1.259201,0.002638,6.026226
0.050000,1.496192,13.650276,1.514266,1.895613,1.257768,-0.028661,6.007365
0.050000,1.590142,13.622688,1.612183,1.958339,1.254531,-0.064741,5.987755
0.050000,1.686501,13.592289,1.713223,2.020802,1.249251,-0.105594,5.967411
0.050000,1.785150,13.558907,1.817367,2.082887,1.241700,-0.151019,5.946357
0.050000,1.885958,13.522372,1.924591,2.144470,1.231671,-0.200581,5.924621
0.050000,1.988776,13.482522,2.034862,2.205420,1.218990,-0.253622,5.902240
0.050000,2.093445,13.439199,2.148142,2.265596,1.203531,-0.309176,5.879261
0.050000,2.199788,13.392258,2.264384,2.324858,1.185228,-0.366061,5.855737
0.050000,2.307619,13.341563,2.383538,2.383062,1.164089,-0.422797,5.831730
0.050000,2.416741,13.286998,2.505541,2.440072,1.140201,-0.477748,5.807311
0.050000,2.526946,13.228460,2.630329,2.495759,1.113745,-0.529131,5.782556
0.050000,2.638025,13.165866,2.757830,2.550009,1.084987,-0.575142,5.757552
0.050000,2.749760,13.099154,2.887966,2.602723,1.054284,-0.614063,5.732388
0.050000,2.861940,13.028283,3.020657,2.653826,1.022065,-0.644383,5.707158
0.050000,2.974353,12.953233,3.155820,2.703267,0.988819,-0.664917,5.681962
0.050000,3.086795,12.874005,3.293371,2.751021,0.955074,-0.674898,5.656898
0.050000,3.199075,12.790624,3.433226,2.797090,0.921372,-0.674046,5.632065
0.050000,3.311014,12.703130,3.575301,2.841502,0.888242,-0.662596,5.607560
0.050000,3.422447,12.611584,3.719517,2.884311,0.856178,-0.641276,5.583479
0.050000,3.533231,12.516061,3.865796,2.925591,0.825616,-0.611253,5.559911
0.050000,3.643239,12.416649,4.014068,2.965437,0.796914,-0.574042,5.536940
0.050000,3.752369,12.313450,4.164266,3.003954,0.770344,-0.531394,5.514645
0.050000,3.860537,12.206572,4.316329,3.041259,0.746085,-0.485174,5.493097
0.050000,3.967681,12.096131,4.470202,3.077470,0.724223,-0.437249,5.472360
0.050000,4.073762,11.982249,4.625837,3.112707,0.704753,-0.389389,5.452492
0.050000,4.178759,11.865048,4.783192,3.147087,0.687594,-0.343184,5.433543
0.050000,4.282673,11.744656,4.942228,3.180717,0.672594,-0.300001,5.415557
0.050000,4.385521,11.621198,5.102912,3.213694,0.659547,-0.260951,5.398573
0.050000,4.487338,11.494801,5.265218,3.246104,0.648202,-0.226901,5.382624
0.050000,4.588176,11.365591,5.429118,3.278018,0.638278,-0.198466,5.367738
0.050000,4.688102,11.233695,5.594593,3.309492,0.629475,-0.176069,5.353943
0.050000,4.787194,11.099236,5.761621,3.340566,0.621477,-0.159949,5.341262
0.050000,4.885546,10.962340,5.930185,3.371264,0.613966,-0.150226,5.329716
0.050000,4.983261,10.823132,6.100264,3.401595,0.606620,-0.146925,5.319327
0.050000,5.080456,10.681739,6.271842,3.431551,0.599119,-0.150018,5.310117
0.050000,5.177257,10.538289,6.444897,3.461108,0.591146,-0.159468,5.302110
0.050000,5.273800,10.392915,6.619409,3.490227,0.582384,-0.175238,5.295332
0.050000,5.370232,10.245753,6.795351,3.518853,0.572517,-0.197333,5.289811
0.050000,5.466707,10.096944,6.972697,3.546915,0.561227,-0.225801,5.285580
0.050000,5.563393,9.946640,7.151413,3.574324,0.548189,-0.260752,5.282679
0.050000,5.660463,9.794999,7.331462,3.600978,0.533071,-0.302362,5.281151
0.050000,5.758104,9.642193,7.512800,3.626754,0.515528,-0.350860,5.281047
0.050000,5.856508,9.488406,7.695376,3.651514,0.495202,-0.406518,5.282429
0.050000,5.955881,9.333839,7.879131,3.675100,0.471721,-0.469619,5.285364
0.050000,6.056437,9.178712,8.063997,3.697335,0.444701,-0.540403,5.289932
0.050000,6.158400,9.023269,8.249898,3.718023,0.413752,-0.618991,5.296225
0.050000,6.262003,8.867775,8.436746,3.736947,0.378489,-0.705256,5.304345
0.050000,6.367491,8.712529,8.624440,3.753875,0.338556,-0.798651,5.314410
0.050000,6.475113,8.557860,8.812868,3.768558,0.293659,-0.897938,5.326552
0.050000,6.584441,8.405079,9.000736,3.757369,-0.223787,-10.348938,5.340823
0.050000,6.695018,8.255456,9.186785,3.720988,-0.727623,-10.076711,5.357233
0.050000,6.807046,8.109295,9.370941,3.683115,-0.757464,-0.596821,5.375870
0.050000,6.920713,7.966919,9.553126,3.643689,-0.788516,-0.621045,5.396826
