dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000922,12.150000,0.001250,0.050000,1.000000,20.000000,6.282984
0.050000,0.004084,12.149998,0.004412,0.063240,0.264792,-14.704161,6.282292
0.050000,0.009353,12.149990,0.009681,0.105371,0.842633,11.556821,6.281137
0.050000,0.016726,12.149969,0.017054,0.147461,0.841790,-0.016853,6.279517
0.050000,0.026200,12.149925,0.026528,0.189491,0.840610,-0.023601,6.277429
0.050000,0.037772,12.149843,0.038100,0.231446,0.839093,-0.030352,6.274867
0.050000,0.051437,12.149709,0.051766,0.273308,0.837238,-0.037090,6.271826
0.050000,0.067189,12.149502,0.067519,0.315060,0.835046,-0.043839,6.268300
0.050000,0.085021,12.149201,0.085353,0.356686,0.832519,-0.050546,6.264282
0.050000,0.104925,12.148780,0.105262,0.398169,0.829657,-0.057231,6.259762
0.050000,0.126892,12.148210,0.127236,0.439492,0.826466,-0.063833,6.254732
0.050000,0.150912,12.147460,0.151268,0.480640,0.822948,-0.070351,6.249182
0.050000,0.176974,12.146494,0.177348,0.521595,0.819112,-0.076723,6.243099
0.050000,0.205065,12.145274,0.205465,0.562344,0.814968,-0.082890,6.236472
0.050000,0.235170,12.143759,0.235609,0.602870,0.810528,-0.088800,6.229288
0.050000,0.267274,12.141902,0.267767,0.643161,0.805811,-0.094339,6.221533
0.050000,0.301361,12.139655,0.301927,0.683202,0.800838,-0.099445,6.213192
0.050000,0.337410,12.136966,0.338076,0.722985,0.795641,-0.103941,6.204250
0.050000,0.375401,12.133779,0.376201,0.762497,0.790255,-0.107720,6.194691
0.050000,0.415312,12.130033,0.416288,0.801734,0.784726,-0.110577,6.184499
0.050000,0.457119,12.125666,0.458322,0.840689,0.779110,-0.112330,6.173658
0.050000,0.500796,12.120609,0.502290,0.879363,0.773474,-0.112726,6.162150
0.050000,0.546313,12.114791,0.548178,0.917758,0.767899,-0.111503,6.149960
0.050000,0.593642,12.108138,0.595972,0.955882,0.762480,-0.108368,6.137071
0.050000,0.642750,12.100571,0.645660,0.993748,0.757331,-0.102986,6.123468
0.050000,0.693602,12.092006,0.697228,1.031377,0.752581,-0.094994,6.109138
0.050000,0.746164,12.082356,0.750668,1.068796,0.748380,-0.084031,6.094068
0.050000,0.800396,12.071531,0.805970,1.106041,0.744895,-0.069696,6.078247
0.050000,0.856260,12.059437,0.863128,1.143157,0.742315,-0.051606,6.061669
0.050000,0.913713,12.045974,0.922138,1.180199,0.740844,-0.029408,6.044329
0.050000,0.972715,12.031041,0.983000,1.217234,0.740705,-0.002776,6.026226
0.050000,1.033220,12.014532,1.045717,1.254341,0.742131,0.028513,6.007365
0.050000,1.095184,11.996337,1.110297,1.291609,0.745361,0.064604,5.987755
0.050000,1.158562,11.976343,1.176754,1.329141,0.750635,0.105472,5.967411
0.050000,1.223308,11.954434,1.245107,1.367050,0.758180,0.150911,5.946357
0.050000,1.289376,11.930490,1.315380,1.405460,0.768206,0.200504,5.924621
0.050000,1.356720,11.904389,1.387605,1.444504,0.780884,0.253564,5.902240
0.050000,1.425294,11.876005,1.461821,1.484321,0.796342,0.309166,5.879261
0.050000,1.495053,11.845212,1.538074,1.525054,0.814646,0.366082,5.855737
0.050000,1.565951,11.811881,1.616416,1.566843,0.835790,0.422872,5.831730
0.050000,1.637943,11.775881,1.696907,1.609827,0.859683,0.477873,5.807311
0.050000,1.710985,11.737083,1.779614,1.654135,0.886149,0.529308,5.782556
0.050000,1.785031,11.695355,1.864608,1.699880,0.914917,0.575372,5.757552
0.050000,1.860036,11.650572,1.951966,1.747162,0.945635,0.614342,5.732388
0.050000,1.935956,11.602606,2.041769,1.796056,0.977870,0.644709,5.707158
0.050000,2.012745,11.551337,2.134099,1.846612,1.011134,0.665279,5.681962
0.050000,2.090356,11.496650,2.229042,1.898857,1.044898,0.675290,5.656898
0.050000,2.168743,11.438435,2.326682,1.952788,1.078621,0.674457,5.632065
0.050000,2.247859,11.376593,2.427101,2.008377,1.111772,0.663013,5.607560
0.050000,2.327659,11.311031,2.530379,2.065570,1.143856,0.641688,5.583479
0.050000,2.408098,11.241668,2.636594,2.124292,1.174439,0.611649,5.559911
0.050000,2.489132,11.168436,2.745816,2.184450,1.203159,0.574412,5.536940
0.050000,2.570722,11.091276,2.858113,2.245937,1.229746,0.531729,5.514645
0.050000,2.652831,11.010142,2.973545,2.308638,1.254019,0.485469,5.493097
0.050000,2.735426,10.925000,3.092167,2.372433,1.275894,0.437500,5.472360
0.050000,2.818483,10.835830,3.214027,2.437201,1.295374,0.389592,5.452492
0.050000,2.901984,10.742620,3.339168,2.502828,1.312541,0.343340,5.433543
0.050000,2.985917,10.645372,3.467628,2.569206,1.327546,0.300109,5.415557
0.050000,3.070283,10.544096,3.599440,2.636236,1.340597,0.261018,5.398573
0.050000,3.155089,10.438812,3.734632,2.703833,1.351943,0.226922,5.382624
0.050000,3.240357,10.329550,3.873228,2.771926,1.361866,0.198452,5.367738
0.050000,3.326119,10.216344,4.015251,2.840459,1.370667,0.176018,5.353943
0.050000,3.412419,10.099239,4.160721,2.909392,1.378660,0.159869,5.341262
0.050000,3.499317,9.978282,4.309656,2.978701,1.386166,0.150116,5.329716
0.050000,3.586884,9.853529,4.462074,3.048376,1.393505,0.146786,5.319327
0.050000,3.675209,9.725037,4.617996,3.118426,1.400998,0.149856,5.310117
0.050000,3.764394,9.592870,4.777439,3.188874,1.408962,0.159277,5.302110
0.050000,3.854561,9.457094,4.940427,3.259760,1.417713,0.175022,5.295332
0.050000,3.945848,9.317782,5.106984,3.331138,1.427567,0.197085,5.289811
0.050000,4.038411,9.175007,5.277138,3.403080,1.438843,0.225518,5.285580
0.050000,4.132427,9.028851,5.450922,3.475673,1.451865,0.260430,5.282679
0.050000,4.228097,8.879398,5.628373,3.549022,1.466964,0.301989,5.281151
0.050000,4.325642,8.726739,5.809535,3.623246,1.484485,0.350426,5.281047
0.050000,4.425313,8.570974,5.994460,3.698485,1.504786,0.406009,5.282429
0.050000,4.527385,8.412210,6.183204,3.774897,1.528237,0.469016,5.285364
0.050000,4.632166,8.250568,6.375837,3.852658,1.555221,0.539683,5.289932
0.050000,4.739997,8.086180,6.572436,3.931964,1.586127,0.618125,5.296225
0.050000,4.851257,7.919200,6.773087,4.013031,1.621338,0.704210,5.304345
0.050000,4.966363,7.749803,6.977892,4.096092,1.661207,0.797381,5.314410
0.050000,5.085778,7.578192,7.186961,4.181393,1.706026,0.896396,5.326552
0.050000,5.209228,7.405686,7.399090,4.242563,1.223406,-9.652400,5.340823
0.050000,5.336389,7.233630,7.613036,4.278923,0.727185,-9.924422,5.357233
0.050000,5.467695,7.062327,7.828874,4.316770,0.756944,0.595164,5.375870
0.050000,5.603595,6.892116,8.046682,4.356165,0.787904,0.619213,5.396826
0.050000,5.744545,6.723387,8.266537,4.397102,0.818750,0.616916,5.420191
0.050000,5.891002,6.556585,8.488512,4.439488,0.847722,0.579430,5.446050
0.050000,6.043414,6.392219,8.712668,4.483116,0.872548,0.496536,5.474478
0.050000,6.202208,6.230870,8.939050,4.527636,0.890411,0.357253,5.505526
0.050000,6.367766,6.073198,9.167676,4.572535,0.897965,0.151081,5.539217
0.050000,6.540409,5.919937,9.398532,4.617108,0.891463,-0.130049,5.575532
0.050000,6.720364,5.771898,9.631555,4.660458,0.867010,-0.489045,5.614400
0.050000,6.907744,5.629950,9.866630,4.701508,0.820988,-0.920454,5.655685
0.050000,7.102516,5.495005,10.103582,4.739039,0.750617,-1.407421,5.699180
0.050000,7.304482,5.367984,10.342170,4.771770,0.654620,-1.919939,5.744602
0.050000,7.513264,5.249776,10.582093,4.798461,0.533835,-2.415689,5.791596
0.050000,7.728308,5.141195,10.822996,4.818042,0.391612,-2.844467,5.839744
0.050000,7.948900,5.042935,11.064482,4.829732,0.233803,-3.156174,5.888580
0.050000,8.174196,4.955529,11.306139,4.833145,0.068264,-3.310793,5.937617
0.050000,8.403270,4.879322,11.547556,4.828340,-0.096110,-3.287468,5.986371
0.050000,8.635160,4.814460,11.788347,4.815810,-0.250585,-3.089506,6.034387
0.050000,8.868921,4.760892,12.028168,4.796422,-0.387760,-2.743498,6.081261
0.050000,9.103670,4.718390,12.266733,4.771302,-0.502400,-2.292803,6.126656
0.050000,9.338612,4.686581,12.503819,4.741713,-0.591798,-1.787957,6.170308
0.050000,9.573066,4.664980,12.739265,4.708930,-0.655650,-1.277046,6.212030
0.050000,9.806467,4.653026,12.972973,4.674151,-0.695590,-0.798787,6.251704
0.050000,10.033124,4.650000,13.199650,4.533549,-2.812032,-42.328849,0.000000
0.050000,10.233124,4.650000,13.399650,4.000000,-10.670979,-157.178933,0.000000
0.050000,10.433124,4.650000,13.599650,4.000000,-0.000000,213.419578,0.000000
0.050000,10.633124,4.650000,13.799650,4.000000,0.000000,0.000000,0.000000
0.050000,10.833124,4.650000,13.999650,4.000000,0.000000,-0.000000,0.000000
0.050000,11.033124,4.650000,14.199650,4.000000,-0.000000,-0.000000,0.000000
0.050000,11.233124,4.650000,14.399650,4.000000,-0.000000,0.000000,0.000000
0.050000,11.433124,4.650000,14.599650,4.000000,0.000000,0.000000,0.000000
0.050000,11.633124,4.650000,14.799650,4.000000,0.000000,0.000000,0.000000
0.050000,11.833124,4.650000,14.999650,4.000000,-0.000000,-0.000000,0.000000
0.050000,12.033124,4.650000,15.199650,4.000000,0.000000,0.000000,0.000000
0.050000,12.233124,4.650000,15.399650,4.000000,0.000000,0.000000,0.000000
0.050000,12.433124,4.650000,15.599650,4.000000,0.000000,-0.000000,0.000000
0.050000,12.633124,4.650000,15.799650,4.000000,-0.000000,-0.000000,0.000000
0.050000,12.833124,4.650000,15.999650,4.000000,0.000000,0.000000,0.000000
0.050000,13.033124,4.650000,16.199650,4.000000,0.000000,0.000000,0.000000
0.050000,13.233124,4.650000,16.399650,4.000000,-0.000000,-0.000000,0.000000
0.050000,13.433124,4.650000,16.599650,4.000000,0.000000,0.000000,0.000000
0.050000,13.633124,4.650000,16.799650,4.000000,0.000000,0.000000,0.000000
0.050000,13.833124,4.650000,16.999650,4.000000,0.000000,-0.000000,0.000000
0.050000,14.033124,4.650000,17.199650,4.000000,0.000000,-0.000000,0.000000
0.050000,14.233124,4.650000,17.399650,4.000000,0.000000,0.000000,0.000000
0.050000,14.433124,4.650000,17.599650,4.000000,-0.000000,-0.000000,0.000000
0.050000,14.633124,4.650000,17.799650,4.000000,0.000000,0.000000,0.000000
0.050000,14.833124,4.650000,17.999650,4.000000,0.000000,0.000000,0.000000
0.050000,15.033124,4.650000,18.199650,4.000000,0.000000,0.000000,0.000000
0.050000,15.233124,4.650000,18.399650,4.000000,0.000000,0.000000,0.000000
0.050000,15.432285,4.650000,18.598811,3.983217,-0.335669,-6.713386,0.000000
0.050000,15.629357,4.650000,18.795883,3.941433,-0.835669,-10.000000,0.000000
0.050000,15.823929,4.650000,18.990454,3.891433,-1.000000,-3.286614,0.000000
0.050000,16.016000,4.650000,19.182526,3.841433,-1.000000,-0.000000,0.000000
0.050000,16.205572,4.650000,19.372098,3.791433,-1.000000,0.000000,0.000000
0.050000,16.392644,4.650000,19.559169,3.741433,-1.000000,0.000000,0.000000
0.050000,16.577215,4.650000,19.743741,3.691433,-1.000000,-0.000000,0.000000
0.050000,16.759287,4.650000,19.925813,3.641433,-1.000000,0.000000,0.000000
0.050000,16.938859,4.650000,20.105384,3.591433,-1.000000,-0.000000,0.000000
0.050000,17.122479,4.650477,20.289005,3.672413,1.619596,52.391923,0.007780
0.050000,17.306855,4.652980,20.473398,3.687865,0.309039,-26.211137,0.019336
0.050000,17.488378,4.657510,20.654978,3.631604,-1.125226,-28.685303,0.030524
0.050000,17.667031,4.663935,20.833747,3.575363,-1.124808,0.008365,0.041344
0.050000,17.842798,4.672130,21.009705,3.519161,-1.124044,0.015263,0.051800
0.050000,18.015669,4.681970,21.182855,3.463013,-1.122968,0.021520,0.061894
0.050000,18.185636,4.693337,21.353202,3.406932,-1.121611,0.027151,0.071630
0.050000,18.352695,4.706115,21.520748,3.350932,-1.120002,0.032172,0.081013
0.050000,18.516843,4.720191,21.685500,3.295023,-1.118172,0.036610,0.090048
0.050000,18.678083,4.735460,21.847460,3.239216,-1.116147,0.040493,0.098742
0.050000,18.836416,4.751816,22.006636,3.183518,-1.113955,0.043852,0.107100
0.050000,18.991848,4.769160,22.163033,3.127937,-1.111618,0.046722,0.115130
0.050000,19.144386,4.787398,22.316657,3.072479,-1.109162,0.049137,0.122839
0.050000,19.294037,4.806439,22.467515,3.017149,-1.106605,0.051133,0.130235
0.050000,19.440811,4.826194,22.615612,2.961951,-1.103968,0.052744,0.137325
0.050000,19.584718,4.846582,22.760956,2.906887,-1.101268,0.054004,0.144116
0.050000,19.725770,4.867522,22.903555,2.851961,-1.098520,0.054946,0.150618
0.050000,19.863979,4.888939,23.043413,2.797174,-1.095740,0.055602,0.156839
0.050000,19.999358,4.910762,23.180540,2.742527,-1.092940,0.056000,0.162786
0.050000,20.131920,4.932923,23.314941,2.688021,-1.090132,0.056169,0.168467
0.050000,20.261677,4.955356,23.446623,2.633654,-1.087325,0.056134,0.173892
0.050000,20.388645,4.978000,23.575595,2.579428,-1.084529,0.055919,0.179069
0.050000,20.512837,5.000798,23.701862,2.525340,-1.081752,0.055545,0.184005
0.050000,20.634267,5.023694,23.825431,2.471390,-1.079000,0.055033,0.188708
0.050000,20.752949,5.046637,23.946310,2.417576,-1.076280,0.054401,0.193187
0.050000,20.868896,5.069577,24.064505,2.363896,-1.073597,0.053665,0.197450
0.050000,20.982122,5.092469,24.180022,2.310349,-1.070955,0.052839,0.201504
0.050000,21.092642,5.115268,24.292869,2.256931,-1.068358,0.051936,0.205357
0.050000,21.200467,5.137934,24.403051,2.203640,-1.065810,0.050969,0.209016
0.050000,21.305612,5.160428,24.510575,2.150475,-1.063312,0.049948,0.212489
0.050000,21.408088,5.182715,24.615446,2.097431,-1.060868,0.048880,0.215783
0.050000,21.507908,5.204759,24.717672,2.044507,-1.058479,0.047776,0.218905
0.050000,21.605084,5.226529,24.817257,1.991700,-1.056147,0.046641,0.221862
0.050000,21.699628,5.247996,24.914207,1.939006,-1.053873,0.045482,0.224661
0.050000,21.791551,5.269131,25.008528,1.886423,-1.051658,0.044303,0.227307
0.050000,21.880864,5.289907,25.100225,1.833948,-1.049503,0.043110,0.229808
0.050000,21.967577,5.310302,25.189304,1.781578,-1.047407,0.041905,0.232170
0.050000,22.051700,5.330290,25.275770,1.729309,-1.045373,0.040693,0.234398
0.050000,22.133243,5.349853,25.359627,1.677139,-1.043399,0.039476,0.236498
0.050000,22.212216,5.368969,25.440880,1.625065,-1.041486,0.038257,0.238476
0.050000,22.288626,5.387620,25.519534,1.573083,-1.039634,0.037036,0.240338
0.050000,22.362484,5.405790,25.595594,1.521191,-1.037843,0.035817,0.242089
0.050000,22.433796,5.423462,25.669063,1.469385,-1.036114,0.034599,0.243733
0.050000,22.502571,5.440621,25.739946,1.417663,-1.034444,0.033384,0.245276
0.050000,22.568816,5.457254,25.808247,1.366021,-1.032836,0.032173,0.246722
0.050000,22.632538,5.473349,25.873970,1.314457,-1.031287,0.030966,0.248077
0.050000,22.693743,5.488893,25.937118,1.262967,-1.029799,0.029763,0.249343
0.050000,22.752438,5.503877,25.997696,1.211549,-1.028371,0.028566,0.250527
0.050000,22.808629,5.518289,26.055706,1.160198,-1.027002,0.027373,0.251630
0.050000,22.862321,5.532122,26.111151,1.108914,-1.025693,0.026185,0.252659
0.050000,22.913521,5.545367,26.164036,1.057692,-1.024443,0.025002,0.253615
0.050000,22.962232,5.558015,26.214363,1.006529,-1.023252,0.023824,0.254503
0.050000,23.008459,5.570062,26.262134,0.955423,-1.022119,0.022651,0.255326
0.050000,23.052207,5.581499,26.307352,0.904371,-1.021045,0.021483,0.256087
0.050000,23.093480,5.592321,26.350021,0.853369,-1.020029,0.020318,0.256789
0.050000,23.132282,5.602523,26.390141,0.802416,-1.019071,0.019158,0.257435
0.050000,23.168617,5.612101,26.427717,0.751507,-1.018171,0.018001,0.258028
0.050000,23.202486,5.621049,26.462749,0.700641,-1.017329,0.016848,0.258569
0.050000,23.233895,5.629365,26.495240,0.649814,-1.016544,0.015698,0.259062
0.050000,23.262845,5.637044,26.525191,0.599023,-1.015816,0.014551,0.259509
0.050000,23.289339,5.644084,26.552604,0.548265,-1.015146,0.013407,0.259911
0.050000,23.313379,5.650481,26.577481,0.497539,-1.014533,0.012266,0.260270
0.050000,23.334968,5.656234,26.599823,0.446840,-1.013976,0.011126,0.260588
0.050000,23.354107,5.661341,26.619631,0.396166,-1.013477,0.009989,0.260866
0.050000,23.370797,5.665798,26.636907,0.345514,-1.013034,0.008853,0.261106
0.050000,23.385041,5.669606,26.651651,0.294882,-1.012648,0.007719,0.261309
0.050000,23.396840,5.672762,26.663864,0.244266,-1.012319,0.006587,0.261476
0.050000,23.406194,5.675266,26.673548,0.193664,-1.012046,0.005455,0.261607
0.050000,23.413104,5.677117,26.680701,0.143072,-1.011830,0.004324,0.261704
0.050000,23.417571,5.678313,26.685326,0.092489,-1.011670,0.003194,0.261766
0.050000,23.419595,5.678855,26.687421,0.041910,-1.011567,0.002065,0.261794
0.050000,23.419996,5.678963,26.687837,0.008311,-0.671986,6.791617,0.261799
0.050000,23.419996,5.678963,26.687837,0.000000,-0.166222,10.115275,0.261799
