dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000997,23.850000,0.001250,0.050000,1.000000,20.000000,0.000097
0.050000,0.004460,23.850001,0.004713,0.069259,0.385180,-12.296403,0.000435
0.050000,0.010232,23.850005,0.010485,0.115441,0.923650,10.769398,0.000997
0.050000,0.018314,23.850016,0.018567,0.161639,0.923945,0.005898,0.001783
0.050000,0.028706,23.850040,0.028960,0.207857,0.924358,0.008265,0.002792
0.050000,0.041411,23.850083,0.041665,0.254101,0.924890,0.010637,0.004021
0.050000,0.056430,23.850155,0.056684,0.300378,0.925541,0.013017,0.005469
0.050000,0.073765,23.850264,0.074018,0.346694,0.926311,0.015406,0.007134
0.050000,0.093417,23.850423,0.093671,0.393054,0.927201,0.017805,0.009014
0.050000,0.115389,23.850644,0.115644,0.439464,0.928212,0.020214,0.011104
0.050000,0.139683,23.850941,0.139941,0.485931,0.929343,0.022632,0.013402
0.050000,0.166304,23.851332,0.166564,0.532461,0.930596,0.025060,0.015904
0.050000,0.195252,23.851831,0.195517,0.579060,0.931971,0.027495,0.018607
0.050000,0.226533,23.852459,0.226804,0.625733,0.933468,0.029936,0.021505
0.050000,0.260148,23.853234,0.260428,0.672488,0.935087,0.032380,0.024594
0.050000,0.296102,23.854177,0.296394,0.719329,0.936828,0.034824,0.027868
0.050000,0.334399,23.855311,0.334708,0.766264,0.938691,0.037264,0.031323
0.050000,0.375041,23.856658,0.375373,0.813297,0.940676,0.039697,0.034953
0.050000,0.418034,23.858244,0.418394,0.860436,0.942782,0.042116,0.038751
0.050000,0.463380,23.860092,0.463779,0.907687,0.945008,0.044518,0.042710
0.050000,0.511085,23.862229,0.511531,0.955055,0.947353,0.046894,0.046825
0.050000,0.561153,23.864682,0.561659,1.002545,0.949815,0.049240,0.051087
0.050000,0.613586,23.867479,0.614167,1.050165,0.952392,0.051548,0.055489
0.050000,0.668391,23.870648,0.669063,1.097919,0.955083,0.053812,0.060023
0.050000,0.725570,23.874219,0.726354,1.145813,0.957884,0.056024,0.064681
0.050000,0.785128,23.878220,0.786046,1.193853,0.960793,0.058178,0.069454
0.050000,0.847070,23.882681,0.848148,1.242043,0.963806,0.060265,0.074334
0.050000,0.911399,23.887633,0.912668,1.290389,0.966920,0.062280,0.079311
0.050000,0.978120,23.893107,0.979613,1.338896,0.970131,0.064216,0.084376
0.050000,1.047236,23.899132,1.048991,1.387567,0.973434,0.066066,0.089519
0.050000,1.118752,23.905740,1.120811,1.436409,0.976825,0.067826,0.094730
0.050000,1.192671,23.912960,1.195083,1.485424,0.980300,0.069489,0.099999
0.050000,1.268998,23.920824,1.271813,1.534616,0.983853,0.071056,0.105316
0.050000,1.347736,23.929361,1.351013,1.583990,0.987479,0.072518,0.110669
0.050000,1.428889,23.938601,1.432690,1.633549,0.991172,0.073878,0.116048
0.050000,1.512461,23.948573,1.516855,1.683295,0.994929,0.075133,0.121443
0.050000,1.598456,23.959305,1.603517,1.733232,0.998743,0.076284,0.126841
0.050000,1.686877,23.970825,1.692685,1.783363,1.002610,0.077334,0.132231
0.050000,1.777728,23.983158,1.784369,1.833689,1.006524,0.078287,0.137602
0.050000,1.871013,23.996331,1.878580,1.884213,1.010482,0.079145,0.142942
0.050000,1.966736,24.010369,1.975327,1.934937,1.014477,0.079919,0.148240
0.050000,2.064901,24.025293,2.074620,1.985862,1.018508,0.080611,0.153483
0.050000,2.165512,24.041126,2.176469,2.036991,1.022570,0.081236,0.158660
0.050000,2.268574,24.057888,2.280886,2.088324,1.026660,0.081801,0.163759
0.050000,2.374092,24.075597,2.387879,2.139863,1.030776,0.082322,0.168767
0.050000,2.482070,24.094270,2.497459,2.191609,1.034916,0.082807,0.173672
0.050000,2.592513,24.113921,2.609637,2.243563,1.039080,0.083277,0.178462
0.050000,2.705428,24.134563,2.724424,2.295726,1.043267,0.083744,0.183125
0.050000,2.820821,24.156206,2.841829,2.348100,1.047479,0.084226,0.187649
0.050000,2.938698,24.178859,2.961863,2.400686,1.051716,0.084743,0.192020
0.050000,3.059068,24.202526,3.084537,2.453485,1.055981,0.085310,0.196227
0.050000,3.181938,24.227211,3.209862,2.506499,1.060279,0.085954,0.200256
0.050000,3.307317,24.252914,3.337849,2.559729,1.064614,0.086689,0.204095
0.050000,3.435215,24.279631,3.468508,2.613179,1.068991,0.087542,0.207732
0.050000,3.565643,24.307358,3.601850,2.666850,1.073417,0.088533,0.211152
0.050000,3.698612,24.336085,3.737887,2.720745,1.077902,0.089686,0.214344
0.050000,3.834136,24.365800,3.876631,2.774868,1.082453,0.091024,0.217293
0.050000,3.972229,24.396487,4.018092,2.829222,1.087081,0.092573,0.219985
0.050000,4.112905,24.428126,4.162282,2.883812,1.091799,0.094356,0.222408
0.050000,4.256183,24.460693,4.309214,2.938642,1.096619,0.096400,0.224547
0.050000,4.402079,24.494161,4.458900,2.993720,1.101556,0.098730,0.226387
0.050000,4.550615,24.528498,4.611353,3.049051,1.106624,0.101371,0.227913
0.050000,4.701810,24.563667,4.766585,3.104644,1.111842,0.104351,0.229111
0.050000,4.855690,24.599627,4.924610,3.160505,1.117227,0.107695,0.229963
0.050000,5.012278,24.636331,5.085443,3.216645,1.122798,0.111430,0.230455
0.050000,5.171602,24.673727,5.249096,3.273074,1.128577,0.115581,0.230568
0.050000,5.333690,24.711757,5.415586,3.329803,1.134586,0.120174,0.230286
0.050000,5.498574,24.750359,5.584929,3.386845,1.140847,0.125232,0.229589
0.050000,5.666287,24.789461,5.757139,3.444215,1.147386,0.130778,0.228458
0.050000,5.836863,24.828988,5.932236,3.501926,1.154228,0.136831,0.226875
0.050000,6.010341,24.868854,6.110236,3.559996,1.161398,0.143407,0.224816
0.050000,6.186761,24.908968,6.291158,3.618442,1.168924,0.150519,0.222260
0.050000,6.366162,24.949229,6.475022,3.677284,1.176833,0.158169,0.219185
0.050000,6.548591,24.989529,6.661849,3.736541,1.185150,0.166357,0.215565
0.050000,6.734093,25.029749,6.851661,3.796237,1.193904,0.175065,0.211374
0.050000,6.922716,25.069760,7.044480,3.856392,1.203117,0.184266,0.206586
0.050000,7.114509,25.109423,7.240332,3.917033,1.212813,0.193912,0.201172
0.050000,7.309525,25.148586,7.439241,3.978183,1.223009,0.203933,0.195102
0.050000,7.507815,25.187086,7.641235,4.039869,1.233721,0.214228,0.188345
0.050000,7.709434,25.224746,7.846341,4.102117,1.244954,0.224665,0.180867
0.050000,7.913159,25.261151,8.053293,4.139048,0.738619,-10.126701,0.172687
0.050000,8.117747,25.295915,8.260813,4.150399,0.227015,-10.232076,0.163839
0.050000,8.323214,25.328890,8.468910,4.161938,0.230790,0.075489,0.154312
0.050000,8.529577,25.359923,8.677593,4.173668,0.234588,0.075978,0.144095
0.050000,8.736847,25.388855,8.886872,4.185585,0.238346,0.075148,0.133177
0.050000,8.945030,25.415526,9.096757,4.197684,0.241986,0.072796,0.121547
0.050000,9.154127,25.439770,9.307254,4.209955,0.245421,0.068715,0.109196
0.050000,9.364133,25.461416,9.518374,4.222383,0.248555,0.062681,0.096112
0.050000,9.575038,25.480292,9.730121,4.234947,0.251279,0.054465,0.082290
0.050000,9.786821,25.496219,9.942502,4.247621,0.253471,0.043844,0.067722
0.050000,9.999454,25.509018,10.155521,4.260371,0.255001,0.030599,0.052404
0.050000,10.212901,25.518507,10.369178,4.273157,0.255728,0.014543,0.036333
0.050000,10.427114,25.524503,10.583475,4.285932,0.255504,-0.004484,0.019510
0.050000,10.642034,25.526820,10.798407,4.298641,0.254175,-0.026582,0.001940
0.050000,10.857589,25.525277,11.013968,4.311220,0.251585,-0.051783,6.266815
0.050000,11.073697,25.519693,11.230148,4.323599,0.247584,-0.080027,6.247775
0.050000,11.290260,25.509890,11.446933,4.335701,0.242027,-0.111147,6.228024
0.050000,11.507169,25.495700,11.664305,4.347440,0.234784,-0.144847,6.207582
0.050000,11.724298,25.476957,11.882241,4.358728,0.225750,-0.180696,6.186476
0.050000,11.941509,25.453509,12.100715,4.369470,0.214844,-0.218110,6.164737
0.050000,12.158652,25.425215,12.319694,4.379571,0.202026,-0.256366,6.142404
0.050000,12.375563,25.391948,12.539140,4.388936,0.187296,-0.294601,6.119520
0.050000,12.592066,25.353596,12.759014,4.397471,0.170703,-0.331847,6.096133
0.050000,12.807976,25.310068,12.979268,4.405089,0.152351,-0.367049,6.072298
