dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001162,22.150000,0.001250,0.050000,1.000000,20.000000,0.000097
0.050000,0.005199,22.150001,0.005287,0.080741,0.614820,-7.703597,0.000435
0.050000,0.011927,22.150006,0.012015,0.134559,1.076350,9.230602,0.000997
0.050000,0.021345,22.150019,0.021433,0.188361,1.076055,-0.005900,0.001783
0.050000,0.033452,22.150047,0.033540,0.242143,1.075642,-0.008266,0.002792
0.050000,0.048247,22.150097,0.048335,0.295899,1.075110,-0.010639,0.004021
0.050000,0.065728,22.150180,0.065816,0.349622,1.074459,-0.013020,0.005469
0.050000,0.085893,22.150307,0.085982,0.403306,1.073689,-0.015410,0.007134
0.050000,0.108739,22.150492,0.108829,0.456946,1.072798,-0.017808,0.009014
0.050000,0.134265,22.150748,0.134356,0.510536,1.071787,-0.020218,0.011104
0.050000,0.162466,22.151094,0.162559,0.564068,1.070655,-0.022637,0.013402
0.050000,0.193340,22.151547,0.193436,0.617538,1.069402,-0.025064,0.015904
0.050000,0.226882,22.152125,0.226983,0.670940,1.068027,-0.027499,0.018607
0.050000,0.263088,22.152852,0.263196,0.724266,1.066530,-0.029940,0.021505
0.050000,0.301953,22.153748,0.302072,0.777512,1.064911,-0.032385,0.024594
0.050000,0.343472,22.154837,0.343605,0.830670,1.063170,-0.034829,0.027868
0.050000,0.387640,22.156145,0.387792,0.883736,1.061306,-0.037270,0.031323
0.050000,0.434449,22.157697,0.434627,0.936702,1.059321,-0.039701,0.034953
0.050000,0.483894,22.159520,0.484105,0.989562,1.057215,-0.042121,0.038751
0.050000,0.535966,22.161642,0.536221,1.042312,1.054989,-0.044522,0.042710
0.050000,0.590658,22.164092,0.590968,1.094944,1.052644,-0.046898,0.046825
0.050000,0.647962,22.166900,0.648341,1.147453,1.050182,-0.049244,0.051087
0.050000,0.707869,22.170096,0.708332,1.199833,1.047604,-0.051551,0.055489
0.050000,0.770368,22.173710,0.770936,1.252079,1.044913,-0.053815,0.060023
0.050000,0.835451,22.177774,0.836146,1.304185,1.042112,-0.056026,0.064681
0.050000,0.903106,22.182318,0.903953,1.356145,1.039203,-0.058179,0.069454
0.050000,0.973321,22.187375,0.974351,1.407954,1.036190,-0.060266,0.074334
0.050000,1.046087,22.192977,1.047331,1.459608,1.033076,-0.062280,0.079311
0.050000,1.121389,22.199154,1.122886,1.511101,1.029865,-0.064215,0.084376
0.050000,1.199215,22.205939,1.201008,1.562429,1.026562,-0.066065,0.089519
0.050000,1.279552,22.213362,1.281687,1.613588,1.023171,-0.067823,0.094730
0.050000,1.362387,22.221453,1.364916,1.664573,1.019696,-0.069488,0.099999
0.050000,1.447704,22.230243,1.450685,1.715380,1.016144,-0.071051,0.105316
0.050000,1.535490,22.239761,1.538985,1.766006,1.012518,-0.072514,0.110669
0.050000,1.625729,22.250036,1.629807,1.816447,1.008824,-0.073873,0.116048
