dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001148,4.850000,0.001250,0.050000,1.000000,20.000000,6.283093
0.050000,0.005174,4.849999,0.005276,0.080513,0.610269,-7.794619,6.282768
0.050000,0.011883,4.849994,0.011985,0.134180,1.073336,9.261334,6.282228
0.050000,0.021274,4.849982,0.021376,0.187834,1.073070,-0.005312,6.281474
0.050000,0.033348,4.849955,0.033450,0.241469,1.072698,-0.007443,6.280505
0.050000,0.048102,4.849907,0.048204,0.295080,1.072219,-0.009580,6.279324
0.050000,0.065535,4.849828,0.065637,0.348661,1.071633,-0.011724,6.277932
0.050000,0.085645,4.849706,0.085747,0.402208,1.070939,-0.013877,6.276331
0.050000,0.108430,4.849529,0.108533,0.455715,1.070137,-0.016040,6.274525
0.050000,0.133887,4.849283,0.133992,0.509176,1.069226,-0.018211,6.272514
0.050000,0.162015,4.848952,0.162121,0.562587,1.068207,-0.020394,6.270303
0.050000,0.192809,4.848518,0.192918,0.615941,1.067078,-0.022584,6.267895
0.050000,0.226266,4.847963,0.226380,0.669232,1.065838,-0.024784,6.265293
0.050000,0.262382,4.847266,0.262503,0.722457,1.064489,-0.026991,6.262501
0.050000,0.301153,4.846406,0.301283,0.775608,1.063029,-0.029203,6.259524
0.050000,0.342574,4.845360,0.342717,0.828681,1.061458,-0.031416,6.256367
0.050000,0.386639,4.844105,0.386801,0.881670,1.059776,-0.033630,6.253033
0.050000,0.433344,4.842614,0.433529,0.934569,1.057984,-0.035840,6.249529
0.050000,0.482681,4.840862,0.482898,0.987373,1.056082,-0.038040,6.245860
0.050000,0.534645,4.838822,0.534902,1.040077,1.054071,-0.040230,6.242032
0.050000,0.589228,4.836465,0.589535,1.092674,1.051951,-0.042400,6.238051
0.050000,0.646422,4.833763,0.646793,1.145161,1.049723,-0.044548,6.233924
0.050000,0.706220,4.830687,0.706670,1.197530,1.047390,-0.046666,6.229657
0.050000,0.768612,4.827206,0.769159,1.249778,1.044953,-0.048750,6.225259
0.050000,0.833589,4.823290,0.834254,1.301898,1.042413,-0.050792,6.220735
0.050000,0.901141,4.818909,0.901948,1.353887,1.039774,-0.052787,6.216095
0.050000,0.971259,4.814030,0.972235,1.405739,1.037037,-0.054728,6.211345
0.050000,1.043930,4.808622,1.045107,1.457449,1.034207,-0.056609,6.206495
0.050000,1.119144,4.802655,1.120558,1.509014,1.031286,-0.058423,6.201553
0.050000,1.196890,4.796097,1.198580,1.560427,1.028277,-0.060165,6.196528
0.050000,1.277154,4.788917,1.279164,1.611687,1.025186,-0.061831,6.191428
0.050000,1.359923,4.781085,1.362303,1.662788,1.022015,-0.063413,6.186264
0.050000,1.445185,4.772570,1.447990,1.713726,1.018770,-0.064911,6.181045
0.050000,1.532926,4.763343,1.536214,1.764499,1.015454,-0.066318,6.175780
0.050000,1.623132,4.753374,1.626970,1.815102,1.012072,-0.067634,6.170480
0.050000,1.715789,4.742636,1.720246,1.865534,1.008629,-0.068855,6.165154
0.050000,1.810881,4.731101,1.816036,1.915790,1.005130,-0.069982,6.159814
0.050000,1.908395,4.718743,1.914329,1.965869,1.001579,-0.071016,6.154468
0.050000,2.008315,4.705538,2.015118,2.015768,0.997981,-0.071959,6.149129
0.050000,2.110625,4.691461,2.118392,2.065485,0.994341,-0.072809,6.143806
0.050000,2.215311,4.676490,2.224143,2.115018,0.990662,-0.073578,6.138511
0.050000,2.322357,4.660606,2.332361,2.164366,0.986949,-0.074266,6.133254
0.050000,2.431748,4.643787,2.443037,2.213526,0.983205,-0.074880,6.128046
0.050000,2.543469,4.626018,2.556162,2.262498,0.979433,-0.075429,6.122899
0.050000,2.657504,4.607283,2.671726,2.311280,0.975637,-0.075925,6.117824
0.050000,2.773839,4.587568,2.789720,2.359871,0.971819,-0.076370,6.112831
0.050000,2.892458,4.566862,2.910133,2.408270,0.967979,-0.076786,6.107933
0.050000,3.013349,4.545155,3.032957,2.456476,0.964120,-0.077178,6.103140
0.050000,3.136496,4.522440,3.158181,2.504488,0.960242,-0.077561,6.098464
0.050000,3.261886,4.498713,3.285797,2.552305,0.956345,-0.077952,6.093917
0.050000,3.389506,4.473972,3.415793,2.599926,0.952426,-0.078366,6.089509
0.050000,3.519344,4.448216,3.548161,2.647351,0.948486,-0.078817,6.085253
0.050000,3.651387,4.421450,3.682889,2.694577,0.944519,-0.079324,6.081160
0.050000,3.785625,4.393679,3.819970,2.741603,0.940524,-0.079906,6.077242
0.050000,3.922046,4.364911,3.959391,2.788427,0.936495,-0.080580,6.073511
0.050000,4.060641,4.335158,4.101143,2.835049,0.932427,-0.081364,6.069979
0.050000,4.201400,4.304436,4.245217,2.881464,0.928313,-0.082282,6.066657
0.050000,4.344316,4.272762,4.391600,2.927672,0.924145,-0.083350,6.063559
0.050000,4.489381,4.240158,4.540284,2.973668,0.919916,-0.084591,6.060696
0.050000,4.636587,4.206649,4.691256,3.019448,0.915614,-0.086026,6.058081
0.050000,4.785930,4.172263,4.844506,3.065010,0.911231,-0.087677,6.055728
0.050000,4.937404,4.137032,5.000024,3.110347,0.906752,-0.089565,6.053648
0.050000,5.091006,4.100993,5.157797,3.155456,0.902167,-0.091713,6.051857
0.050000,5.246731,4.064185,5.317813,3.200329,0.897460,-0.094143,6.050367
0.050000,5.404579,4.026654,5.480061,3.244959,0.892616,-0.096879,6.049193
0.050000,5.564547,3.988448,5.644528,3.289340,0.887618,-0.099943,6.048349
0.050000,5.726634,3.949621,5.811201,3.333463,0.882451,-0.103358,6.047851
0.050000,5.890842,3.910231,5.980067,3.377318,0.877093,-0.107145,6.047715
0.050000,6.057170,3.870341,6.151112,3.420894,0.871527,-0.111328,6.047957
0.050000,6.225620,3.830020,6.324321,3.464180,0.865731,-0.115927,6.048593
0.050000,6.396195,3.789342,6.499679,3.507165,0.859683,-0.120961,6.049642
