dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001060,4.850000,0.001250,0.050000,1.000000,20.000000,0.000022
0.050000,0.004745,4.850000,0.004934,0.073686,0.473720,-10.525590,0.000100
0.050000,0.010885,4.850001,0.011075,0.122811,0.982505,10.175695,0.000228
0.050000,0.019482,4.850004,0.019672,0.171938,0.982543,0.000747,0.000408
0.050000,0.030536,4.850010,0.030725,0.221068,0.982595,0.001046,0.000640
0.050000,0.044046,4.850020,0.044235,0.270201,0.982662,0.001345,0.000922
0.050000,0.060013,4.850038,0.060202,0.319338,0.982744,0.001645,0.001255
0.050000,0.078437,4.850064,0.078626,0.368481,0.982842,0.001945,0.001638
0.050000,0.099318,4.850103,0.099508,0.417628,0.982954,0.002246,0.002072
0.050000,0.122657,4.850157,0.122847,0.466782,0.983081,0.002547,0.002556
0.050000,0.148454,4.850230,0.148644,0.515944,0.983224,0.002849,0.003088
0.050000,0.176710,4.850325,0.176900,0.565113,0.983381,0.003152,0.003670
0.050000,0.207424,4.850448,0.207614,0.614290,0.983554,0.003456,0.004300
0.050000,0.240597,4.850602,0.240788,0.663477,0.983742,0.003760,0.004978
0.050000,0.276231,4.850792,0.276422,0.712675,0.983945,0.004065,0.005703
0.050000,0.314324,4.851024,0.314516,0.761883,0.984164,0.004372,0.006474
0.050000,0.354878,4.851303,0.355071,0.811103,0.984398,0.004679,0.007292
0.050000,0.397894,4.851635,0.398088,0.860335,0.984647,0.004987,0.008154
0.050000,0.443371,4.852027,0.443567,0.909581,0.984912,0.005297,0.009061
0.050000,0.491311,4.852484,0.491509,0.958840,0.985192,0.005607,0.010012
0.050000,0.541714,4.853014,0.541914,1.008115,0.985488,0.005918,0.011005
0.050000,0.594581,4.853623,0.594785,1.057405,0.985800,0.006231,0.012040
0.050000,0.649912,4.854319,0.650120,1.106711,0.986127,0.006544,0.013116
0.050000,0.707708,4.855109,0.707922,1.156035,0.986470,0.006859,0.014232
0.050000,0.767970,4.856002,0.768191,1.205376,0.986829,0.007174,0.015386
0.050000,0.830699,4.857005,0.830928,1.254736,0.987203,0.007490,0.016578
0.050000,0.895895,4.858126,0.896133,1.304116,0.987594,0.007807,0.017806
0.050000,0.963560,4.859373,0.963809,1.353516,0.988000,0.008125,0.019070
0.050000,1.033693,4.860757,1.033956,1.402937,0.988422,0.008444,0.020368
0.050000,1.106296,4.862284,1.106575,1.452380,0.988860,0.008763,0.021699
0.050000,1.181369,4.863965,1.181667,1.501846,0.989314,0.009083,0.023061
0.050000,1.258914,4.865807,1.259234,1.551335,0.989785,0.009404,0.024453
0.050000,1.338931,4.867821,1.339277,1.600848,0.990271,0.009725,0.025873
0.050000,1.421421,4.870016,1.421796,1.650387,0.990773,0.010046,0.027321
0.050000,1.506385,4.872400,1.506793,1.699952,0.991291,0.010367,0.028795
0.050000,1.593824,4.874985,1.594271,1.749543,0.991826,0.010689,0.030292
0.050000,1.683739,4.877778,1.684229,1.799162,0.992376,0.011011,0.031812
0.050000,1.776130,4.880789,1.776669,1.848809,0.992943,0.011332,0.033353
0.050000,1.870999,4.884029,1.871593,1.898485,0.993526,0.011654,0.034912
0.050000,1.968347,4.887506,1.969003,1.948192,0.994124,0.011975,0.036489
0.050000,2.068174,4.891230,2.068899,1.997928,0.994739,0.012295,0.038082
0.050000,2.170481,4.895210,2.171284,2.047697,0.995370,0.012615,0.039688
0.050000,2.275270,4.899456,2.276159,2.097498,0.996017,0.012935,0.041305
0.050000,2.382542,4.903978,2.383526,2.147332,0.996679,0.013253,0.042933
0.050000,2.492296,4.908783,2.493386,2.197200,0.997358,0.013571,0.044568
0.050000,2.604536,4.913881,2.605741,2.247102,0.998052,0.013888,0.046209
0.050000,2.719261,4.919281,2.720593,2.297040,0.998763,0.014204,0.047854
0.050000,2.836473,4.924991,2.837944,2.347015,0.999489,0.014519,0.049500
0.050000,2.956172,4.931020,2.957795,2.397026,1.000230,0.014833,0.051146
0.050000,3.078361,4.937376,3.080149,2.447076,1.000988,0.015146,0.052788
0.050000,3.203040,4.944067,3.205007,2.497164,1.001760,0.015457,0.054426
0.050000,3.330210,4.951099,3.332371,2.547291,1.002549,0.015767,0.056056
0.050000,3.459873,4.958481,3.462244,2.597459,1.003352,0.016076,0.057676
0.050000,3.592030,4.966219,3.594628,2.647667,1.004172,0.016383,0.059283
0.050000,3.726682,4.974319,3.729524,2.697918,1.005006,0.016689,0.060876
0.050000,3.863832,4.982787,3.866934,2.748210,1.005856,0.016994,0.062452
0.050000,4.003479,4.991630,4.006862,2.798547,1.006721,0.017297,0.064008
0.050000,4.145627,5.000851,4.149308,2.848927,1.007601,0.017600,0.065542
0.050000,4.290276,5.010455,4.294275,2.899351,1.008496,0.017901,0.067051
0.050000,4.437428,5.020447,4.441766,2.949822,1.009406,0.018201,0.068532
0.050000,4.587085,5.030829,4.591783,3.000338,1.010331,0.018500,0.069983
0.050000,4.739249,5.041604,4.744328,3.050902,1.011271,0.018799,0.071400
0.050000,4.893922,5.052775,4.899404,3.101513,1.012226,0.019097,0.072782
0.050000,5.051106,5.064342,5.057013,3.152173,1.013195,0.019394,0.074124
0.050000,5.210802,5.076307,5.217157,3.202882,1.014180,0.019691,0.075425
0.050000,5.373014,5.088668,5.379839,3.253641,1.015179,0.019988,0.076682
0.050000,5.537743,5.101426,5.545061,3.304450,1.016194,0.020285,0.077891
0.050000,5.704993,5.114578,5.712827,3.355312,1.017223,0.020583,0.079049
0.050000,5.874764,5.128122,5.883138,3.406225,1.018267,0.020880,0.080153
0.050000,6.047062,5.142053,6.055998,3.457191,1.019326,0.021179,0.081201
0.050000,6.221887,5.156369,6.231408,3.508211,1.020400,0.021478,0.082188
0.050000,6.399244,5.171062,6.409373,3.559286,1.021488,0.021779,0.083113
0.050000,6.579135,5.186126,6.589893,3.610415,1.022593,0.022081,0.083971
0.050000,6.761564,5.201555,6.772973,3.661601,1.023712,0.022385,0.084759
0.050000,6.946534,5.217338,6.958616,3.712843,1.024846,0.022691,0.085474
0.050000,7.134048,5.233467,7.146823,3.764143,1.025996,0.022999,0.086113
0.050000,7.324112,5.249929,7.337598,3.815501,1.027162,0.023309,0.086671
0.050000,7.516728,5.266713,7.530944,3.866918,1.028343,0.023622,0.087147
0.050000,7.711901,5.283805,7.726863,3.918395,1.029540,0.023937,0.087535
0.050000,7.909635,5.301189,7.925360,3.969933,1.030753,0.024256,0.087833
0.050000,8.108690,5.318740,8.125187,3.996548,0.532309,-9.968872,0.088036
0.050000,8.307825,5.336328,8.325097,3.998201,0.033048,-9.985227,0.088142
0.050000,8.507041,5.353936,8.525090,3.999853,0.033047,-0.000022,0.088151
0.050000,8.706340,5.371543,8.725165,4.001505,0.033046,-0.000003,0.088062
0.050000,8.905723,5.389129,8.925323,4.003158,0.033047,0.000016,0.087877
0.050000,9.105194,5.406677,9.125564,4.004810,0.033049,0.000034,0.087594
0.050000,9.304752,5.424165,9.325887,4.006463,0.033052,0.000052,0.087214
0.050000,9.504400,5.441575,9.526293,4.008115,0.033055,0.000070,0.086736
0.050000,9.704140,5.458887,9.726781,4.009768,0.033059,0.000085,0.086162
0.050000,9.903972,5.476081,9.927352,4.011421,0.033064,0.000100,0.085490
0.050000,10.103900,5.493139,10.128006,4.013075,0.033070,0.000113,0.084721
0.050000,10.303923,5.510040,10.328742,4.014729,0.033076,0.000123,0.083854
0.050000,10.504045,5.526765,10.529561,4.016383,0.033083,0.000132,0.082890
0.050000,10.704266,5.543294,10.730463,4.018037,0.033089,0.000137,0.081829
0.050000,10.904587,5.559608,10.931448,4.019692,0.033096,0.000140,0.080671
0.050000,11.105010,5.575687,11.132515,4.021347,0.033103,0.000139,0.079415
0.050000,11.305537,5.591510,11.333665,4.023003,0.033110,0.000135,0.078062
0.050000,11.506169,5.607059,11.534898,4.024659,0.033117,0.000127,0.076612
0.050000,11.706906,5.622313,11.736214,4.026315,0.033122,0.000114,0.075064
0.050000,11.907749,5.637253,11.937613,4.027971,0.033127,0.000098,0.073418
0.050000,12.108701,5.651859,12.139094,4.029628,0.033131,0.000076,0.071675
0.050000,12.309760,5.666110,12.340658,4.031284,0.033133,0.000049,0.069835
0.050000,12.510929,5.679988,12.542305,4.032941,0.033134,0.000017,0.067897
0.050000,12.712208,5.693471,12.744035,4.034598,0.033133,-0.000021,0.065862
0.050000,12.913597,5.706540,12.945848,4.036254,0.033130,-0.000064,0.063730
0.050000,13.115097,5.719175,13.147743,4.037910,0.033124,-0.000115,0.061499
0.050000,13.316708,5.731356,13.349722,4.039566,0.033116,-0.000171,0.059172
0.050000,13.518429,5.743062,13.551783,4.041221,0.033104,-0.000235,0.056747
0.050000,13.720262,5.754274,13.753927,4.042876,0.033089,-0.000306,0.054225
0.050000,13.922205,5.764972,13.956153,4.044529,0.033069,-0.000384,0.051606
0.050000,14.124259,5.775134,14.158462,4.046182,0.033046,-0.000470,0.048889
0.050000,14.326422,5.784742,14.360854,4.047833,0.033018,-0.000564,0.046075
0.050000,14.527910,5.793741,14.562542,4.033771,-0.281227,-6.284895,0.043176
0.050000,14.727455,5.802068,14.762261,3.994364,-0.788138,-10.138221,0.040211
0.050000,14.924572,5.809702,14.959525,3.945295,-0.981396,-3.865162,0.037192
0.050000,15.119256,5.816648,15.154333,3.896162,-0.982643,-0.024944,0.034122
0.050000,15.311502,5.822912,15.346682,3.846968,-0.983877,-0.024680,0.031004
0.050000,15.501306,5.828499,15.536568,3.797714,-0.985098,-0.024411,0.027843
0.050000,15.688661,5.833418,15.723988,3.748398,-0.986305,-0.024135,0.024641
0.050000,15.873563,5.837677,15.908939,3.699024,-0.987497,-0.023854,0.021402
0.050000,16.056007,5.841285,16.091418,3.649590,-0.988676,-0.023566,0.018130
0.050000,16.235987,5.844252,16.271423,3.600098,-0.989839,-0.023271,0.014828
0.050000,16.413499,5.846590,16.448950,3.550548,-0.990988,-0.022969,0.011500
0.050000,16.588538,5.848311,16.623998,3.500942,-0.992121,-0.022660,0.008149
0.050000,16.761099,5.849427,16.796562,3.451280,-0.993238,-0.022344,0.004777
0.050000,16.931176,5.849952,16.966640,3.401564,-0.994339,-0.022020,0.001389
0.050000,17.078627,5.850852,17.114094,2.949080,-9.049678,-161.106788,0.021607
0.050000,17.210596,5.856057,17.246165,2.641419,-6.153204,57.929476,0.057043
0.050000,17.341176,5.865747,17.377105,2.618800,-0.452398,114.016136,0.090869
0.050000,17.470386,5.879629,17.507058,2.599066,-0.394662,1.154705,0.122915
0.050000,17.598230,5.897402,17.636132,2.581470,-0.351928,0.854681,0.153057
0.050000,17.724704,5.918759,17.764396,2.565293,-0.323545,0.567673,0.181209
0.050000,17.849796,5.943391,17.891890,2.549883,-0.308201,0.306871,0.207327
0.050000,17.973489,5.970989,18.018624,2.534674,-0.304179,0.080440,0.231400
0.050000,18.095760,6.001246,18.144584,2.519195,-0.309579,-0.108004,0.253443
0.050000,18.216590,6.033858,18.269737,2.503070,-0.322503,-0.258466,0.273493
0.050000,18.335957,6.068531,18.394038,2.486011,-0.341177,-0.373494,0.291606
0.050000,18.453841,6.104980,18.517428,2.467809,-0.364036,-0.457166,0.307849
0.050000,18.570226,6.142931,18.639844,2.448322,-0.389749,-0.514266,0.322298
0.050000,18.685097,6.182123,18.761217,2.427460,-0.417233,-0.549679,0.335033
0.050000,18.798443,6.222308,18.881476,2.405178,-0.445633,-0.567997,0.346137
0.050000,18.910255,6.263254,19.000549,2.381463,-0.474298,-0.573307,0.355696
0.050000,19.020525,6.304741,19.118366,2.356326,-0.502752,-0.569087,0.363792
0.050000,19.129247,6.346567,19.234855,2.329793,-0.530663,-0.558203,0.370508
0.050000,19.236414,6.388543,19.349950,2.301902,-0.557810,-0.542946,0.375924
0.050000,19.342022,6.430494,19.463585,2.272699,-0.584065,-0.525101,0.380116
0.050000,19.446064,6.472258,19.575697,2.242231,-0.609366,-0.506017,0.383160
0.050000,19.548533,6.513688,19.686224,2.210546,-0.633700,-0.486688,0.385126
0.050000,19.649419,6.554650,19.795109,2.177691,-0.657091,-0.467815,0.386083
0.050000,19.748711,6.595020,19.902294,2.143712,-0.679584,-0.449868,0.386098
0.050000,19.846397,6.634688,20.007727,2.108650,-0.701241,-0.433138,0.385235
0.050000,19.942459,6.673555,20.111354,2.072543,-0.722130,-0.417774,0.383554
